id,Hect_ID,ID_1
"10402","1","10402"
"9496","2","9496"
"45295","3","45295"
"49453","4","49453"
"30592","5","30592"
"37207","6","37207"
"23330","7","23330"
"25637","8","25637"
"57011","9","57011"
"61397","10","61397"
"31266","11","31266"
"70089","12","70089"
"12175","13","12175"
"42643","14","42643"
"18679","15","18679"
"19733","16","19733"
"17504","17","17504"
"30923","18","30923"
"35687","19","35687"
"5556","20","5556"
"7446","21","7446"
"50010","22","50010"
"39654","23","39654"
"6838","24","6838"
"20674","25","20674"
"20713","26","20713"
"26194","27","26194"
"58552","28","58552"
"33185","29","33185"
"45659","30","45659"
"53975","31","53975"
"53636","32","53636"
"5739","33","5739"
"9330","34","9330"
"5022","35","5022"
"52461","36","52461"
"54579","37","54579"
"12919","38","12919"
"16699","39","16699"
"21046","40","21046"
"8044","41","8044"
"25054","42","25054"
"48301","43","48301"
"10162","44","10162"
"12241","45","12241"
"28156","46","28156"
"48905","47","48905"
"10269","48","10269"
"15411","49","15411"
"16545","50","16545"
"50565","51","50565"
"7701","52","7701"
"23766","53","23766"
"47202","54","47202"
"69165","55","69165"
"33742","56","33742"
"17716","57","17716"
"30190","58","30190"
"14801","59","14801"
"27692","60","27692"
"29771","61","29771"
"3161","62","3161"
"13367","63","13367"
"29660","64","29660"
"31739","65","31739"
"3498","66","3498"
"9735","67","9735"
"26217","68","26217"
"12379","69","12379"
"20317","70","20317"
"16198","71","16198"
"16724","72","16724"
"34490","73","34490"
"23984","74","23984"
"12603","75","12603"
"13885","76","13885"
"9010","77","9010"
"15058","78","15058"
"21484","79","21484"
"16568","80","16568"
"57998","81","57998"
"24654","82","24654"
"33537","83","33537"
"13731","84","13731"
"32820","85","32820"
"37545","86","37545"
"41325","87","41325"
"11083","88","11083"
"29227","89","29227"
"46802","90","46802"
"25862","91","25862"
"9489","92","9489"
"14103","93","14103"
"24498","94","24498"
"63093","95","63093"
"39049","96","39049"
"55870","97","55870"
"17164","98","17164"
"20755","99","20755"
"38332","100","38332"
"13076","101","13076"
"23321","102","23321"
"6917","103","6917"
"29825","104","29825"
"15835","105","15835"
"46264","106","46264"
"38096","107","38096"
"17345","108","17345"
"41537","109","41537"
"42669","110","42669"
"50983","111","50983"
"9473","112","9473"
"11552","113","11552"
"6527","114","6527"
"31475","115","31475"
"19040","116","19040"
"22631","117","22631"
"53816","118","53816"
"59297","119","59297"
"9132","120","9132"
"13668","121","13668"
"22173","122","22173"
"42246","123","42246"
"38505","124","38505"
"43041","125","43041"
"45309","126","45309"
"65004","127","65004"
"66516","128","66516"
"10792","129","10792"
"20092","130","20092"
"17255","131","17255"
"4442","132","4442"
"7694","133","7694"
"30752","134","30752"
"18387","135","18387"
"15213","136","15213"
"45642","137","45642"
"28860","138","28860"
"42846","139","42846"
"27387","140","27387"
"60273","141","60273"
"71991","142","71991"
"6706","143","6706"
"23338","144","23338"
"25417","145","25417"
"4099","146","4099"
"5800","147","5800"
"63673","148","63673"
"69532","149","69532"
"55505","150","55505"
