system:index,bottom,id,left,mean_slope,right,top,.geo
00000000000000000029,-19.016079988000012,16568,-40.178762092,1.137,-40.177866092,-19.01518398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.178761235240934,-19.016081683951146],[-40.1778649976992,-19.01608166825091],[-40.1778649976992,-19.015185444221355],[-40.178761235240934,-19.01518539382027],[-40.178761235240934,-19.016081683951146]]]}"
00000000000000000075,-19.05102398800001,57998,-39.982538092000006,4.583,-39.98164209200001,-19.05012798800001,"{""type"":""Polygon"",""coordinates"":[[[-39.982538508730336,-19.05102318194696],[-39.981642230055755,-19.051023201678532],[-39.981642230055755,-19.0501269448322],[-39.982538508730336,-19.050126933478424],[-39.982538508730336,-19.05102318194696]]]}"
0000000000000000003d,-18.97934398800001,24654,-40.140234092,2.915,-40.139338092,-18.978447988000006,"{""type"":""Polygon"",""coordinates"":[[[-40.14023460016284,-18.97934317473703],[-40.13933833043959,-18.97934315554306],[-40.13933833043959,-18.978446859035284],[-40.14023460016284,-18.97844688665665],[-40.14023460016284,-18.97934317473703]]]}"
00000000000000000052,-18.97934398800001,33537,-40.09812209200001,8.087,-40.09722609200001,-18.978447988000006,"{""type"":""Polygon"",""coordinates"":[[[-40.09812290530416,-18.97934311910359],[-40.09722662954699,-18.97934317448875],[-40.09722662954699,-18.97844685513973],[-40.09812290530416,-18.97844688275762],[-40.09812290530416,-18.97934311910359]]]}"
0000000000000000001f,-19.014287988000014,13731,-40.192202092,3.182,-40.191306092000005,-19.01339198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.19220099506415,-19.01428913618447],[-40.19130472557638,-19.014289106737582],[-40.19130472557638,-19.01339286699938],[-40.19220099506414,-19.0133928303603],[-40.19220099506415,-19.01428913618447]]]}"
00000000000000000050,-19.014287988000014,32820,-40.101706092,3.299,-40.100810092,-19.01339198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.10170795232195,-19.014289121530755],[-40.100811730238796,-19.01428915635809],[-40.100811730238796,-19.01339288604244],[-40.101707952321945,-19.013392859628485],[-40.10170795232195,-19.014289121530755]]]}"
00000000000000000056,-19.014287988000014,37545,-40.079306092,6.027,-40.078410092000006,-19.01339198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.07930549145753,-19.01428915805016],[-40.07840916870752,-19.014289129244688],[-40.07840916870752,-19.013392872520896],[-40.079305491457525,-19.013392835121515],[-40.07930549145753,-19.01428915805016]]]}"
0000000000000000005c,-19.014287988000014,41325,-40.061386092,8.421,-40.060490092,-19.01339198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.06138431230702,-19.014289131017744],[-40.06048803454957,-19.014289123406396],[-40.06048803454957,-19.013392847865344],[-40.06138431230702,-19.013392863879318],[-40.06138431230702,-19.014289131017744]]]}"
00000000000000000015,-19.012495988000012,11083,-40.204746092,3.02,-40.203850092,-19.01159998800001,"{""type"":""Polygon"",""coordinates"":[[[-40.20474446375634,-19.012496544086265],[-40.203848149039516,-19.012496569350603],[-40.203848149039516,-19.011600305548736],[-40.20474446375634,-19.011600288727262],[-40.20474446375634,-19.012496544086265]]]}"
00000000000000000047,-19.012495988000012,29227,-40.118730092,8.786,-40.117834092,-19.01159998800001,"{""type"":""Polygon"",""coordinates"":[[[-40.118728386060546,-19.01249653752519],[-40.11783210631847,-19.012496602958688],[-40.11783210631847,-19.01160027554251],[-40.118728386060546,-19.01160029310968],[-40.118728386060546,-19.01249653752519]]]}"
00000000000000000066,-19.010703988000014,46802,-40.035402092000005,2.324,-40.03450609200001,-19.00980798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.0354011437198,-19.010704027410096],[-40.03450486932956,-19.01070400720388],[-40.03450486932956,-19.009807725740355],[-40.0354011437198,-19.00980775434229],[-40.0354011437198,-19.010704027410096]]]}"
