"","date","EVI_hectareID_12","EVI_sd_hectareID_12","EVI_hectareID_02","EVI_sd_hectareID_02","EVI_hectareID_06","EVI_sd_hectareID_06","EVI_hectareID_11","EVI_sd_hectareID_11","EVI_hectareID_63","EVI_sd_hectareID_63","EVI_hectareID_62","EVI_sd_hectareID_62","EVI_hectareID_61","EVI_sd_hectareID_61","EVI_hectareID_26","EVI_sd_hectareID_26","EVI_hectareID_25","EVI_sd_hectareID_25","EVI_hectareID_24","EVI_sd_hectareID_24","EVI_hectareID_23","EVI_sd_hectareID_23","EVI_hectareID_21","EVI_sd_hectareID_21","EVI_hectareID_22","EVI_sd_hectareID_22","EVI_hectareID_20","EVI_sd_hectareID_20","EVI_hectareID_64","EVI_sd_hectareID_64","EVI_hectareID_34","EVI_sd_hectareID_34","EVI_hectareID_33","EVI_sd_hectareID_33","EVI_hectareID_32","EVI_sd_hectareID_32","EVI_hectareID_31","EVI_sd_hectareID_31","EVI_hectareID_30","EVI_sd_hectareID_30","EVI_hectareID_29","EVI_sd_hectareID_29","EVI_hectareID_28","EVI_sd_hectareID_28","EVI_hectareID_42","EVI_sd_hectareID_42","EVI_hectareID_41","EVI_sd_hectareID_41","EVI_hectareID_39","EVI_sd_hectareID_39","EVI_hectareID_38","EVI_sd_hectareID_38","EVI_hectareID_37","EVI_sd_hectareID_37","EVI_hectareID_35","EVI_sd_hectareID_35","EVI_hectareID_50","EVI_sd_hectareID_50","EVI_hectareID_48","EVI_sd_hectareID_48","EVI_hectareID_47","EVI_sd_hectareID_47","EVI_hectareID_46","EVI_sd_hectareID_46","EVI_hectareID_45","EVI_sd_hectareID_45","EVI_hectareID_44","EVI_sd_hectareID_44","EVI_hectareID_43","EVI_sd_hectareID_43","EVI_hectareID_58","EVI_sd_hectareID_58","EVI_hectareID_57","EVI_sd_hectareID_57","EVI_hectareID_56","EVI_sd_hectareID_56","EVI_hectareID_55","EVI_sd_hectareID_55","EVI_hectareID_54","EVI_sd_hectareID_54","EVI_hectareID_52","EVI_sd_hectareID_52","EVI_hectareID_51","EVI_sd_hectareID_51","EVI_hectareID_59","EVI_sd_hectareID_59","EVI_hectareID_49","EVI_sd_hectareID_49","EVI_hectareID_53","EVI_sd_hectareID_53"
"1",2018-12-15,0.614491,0.030863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.518206,0.020562,0.669362,0.037656,0.441064,0.010929,NA,NA,NA,NA,0.515176,0.021433,0.597067,0.028169,0.608081,0.025516,0.507801,0,0.525059,0.027972,NA,NA,NA,NA,0.498098,0.0189915,0.657487,0.0477805,NA,NA,0.203568,0.078805,NA,NA,NA,NA,NA,NA,0.5588475,0.0191875,0.582345,0.03249,0.638281,0.0639985,0.532134,0.015226,NA,NA,0.54897,0.035665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6006875,0.0486185,NA,NA,0.609827,0.055983,NA,NA,NA,NA,0.687238,0.03705,NA,NA,0.563699,0.041583,0.585277,0.054262
"2",2018-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.659439,0.046703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653127,0.025464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2019-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.807979,0.0368605,NA,NA,NA,NA
"4",2019-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.626147,0.064179,NA,NA,NA,NA,NA,NA,NA,NA,0.533204,0.027902,0.531653,0.0274485,NA,NA,0.594251,0.023469,0.580506,0.026442,0.537485,0.02626,NA,NA,0.571544,0.016539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63237,0.032414,0.6375065,0.0666215,NA,NA,NA,NA,0.567202,0.033883,NA,NA,0.58325,0.030043,0.193681,0.059211,NA,NA,0.669313,0.025644,0.64116,0.0775585,0.575594,0.0214855,0.595124,0.043245,NA,NA,0.59364,0.0472675,0.665615,0.037976,0.366147,0.0346125,0.555562,0.037685,0.598386,0.063728
"5",2019-01-24,NA,NA,0.549449,0.025553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583583,0.026552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354492,0.083923,NA,NA,NA,NA,NA,NA,NA,NA,0.552613,0.0887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.600282,0.02127,NA,NA,NA,NA,0.368674,0.0435525,0.670409,0.066331,NA,NA,NA,NA,NA,NA,0.650484,0.0385945,NA,NA,NA,NA
"6",2019-01-29,NA,NA,NA,NA,NA,NA,0.6295885,0.064913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5048695,0.0521565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2019-02-03,NA,NA,0.455899,0.054866,0.531565,0.029677,NA,NA,NA,NA,NA,NA,NA,NA,0.542795,0.055521,0.53361,0.011986,0.581981,0.103324,NA,NA,0.5291505,0.026329,NA,NA,NA,NA,NA,NA,0.538567,0.030112,NA,NA,NA,NA,0.4962035,0.0188265,NA,NA,NA,NA,0.327077,0.056346,NA,NA,NA,NA,NA,NA,0.5529035,0.0190255,0.545964,0.039967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545126,0.027588,0.559731,0.024068,NA,NA,0.639992,0.029812,NA,NA,NA,NA,NA,NA,0.651147,0.047374,NA,NA,0.622607,0.042101,NA,NA,0.5974905,0.0359295,NA,NA
"8",2019-02-08,NA,NA,0.499074,0.022899,0.539994,0.050189,NA,NA,NA,NA,0.5364155,0.120253,0.531752,0.019387,NA,NA,0.473189,0.051728,NA,NA,0.48718,0.023614,0.557155,0.026294,NA,NA,0.601149,0.02211,0.508887,0.052491,0.446789,0.028081,0.564165,0.0248675,NA,NA,0.474015,0.019251,NA,NA,0.512911,0.018634,NA,NA,0.65133,0.02722,0.618035,0.025822,NA,NA,0.561953,0.0207585,NA,NA,NA,NA,0.512347,0.012739,NA,NA,NA,NA,0.523737,0.020667,0.499744,0.022991,0.511545,0.020865,0.593182,0.025499,NA,NA,0.4933165,0.0718475,0.449227,0.033353,NA,NA,0.620082,0.038509,0.4405265,0.0434395,0.631681,0.03466,0.391498,0.0350415,0.579496,0.0380035,NA,NA
"9",2019-02-13,0.550101,0.032916,0.504179,0.023136,0.527109,0.047578,0.5695815,0.032342,NA,NA,0.5641955,0.0520495,NA,NA,0.518765,0.055411,0.477549,0.009802,0.464355,0.101114,NA,NA,0.5009335,0.0229365,0.563671,0.031059,0.513943,0.01847,0.506916,0.022081,0.499364,0.019899,0.554983,0.022369,0.522108,0.013555,0.4659205,0.0174035,0.6251435,0.0353405,0.446411,0.017682,0.33239,0.049832,0.531229,0.025,NA,NA,0.5436995,0.020312,0.526799,0.0164655,NA,NA,0.592339,0.0545785,0.491126,0.01172,0.433852,0.021144,0.535265,0.040071,0.509843,0.019636,0.486855,0.022751,0.501801,0.020031,0.544135,0.022543,0.573039,0.029863,0.618567,0.073463,0.520796,0.0186405,0.597083,0.053896,0.606546,0.046048,0.557035,0.046794,0.624201,0.033761,0.6124345,0.036392,0.5405785,0.0344705,0.542349,0.067784
"10",2019-02-23,NA,NA,NA,NA,NA,NA,NA,NA,0.533467,0.0392515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5038155,0.022812,NA,NA,NA,NA,0.437587,0.039001,NA,NA,NA,NA,NA,NA,0.5976695,0.068099,NA,NA,0.724762,0.0629855,0.55382,0.019799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6357065,0.056634,0.647853,0.037595,0.654881,0.0415935,0.53735,0.0733465,0.583355,0.154992
