"","date","EVI_hectareID_27","EVI_sd_hectareID_27","EVI_hectareID_26","EVI_sd_hectareID_26","EVI_hectareID_17","EVI_sd_hectareID_17","EVI_hectareID_24","EVI_sd_hectareID_24","EVI_hectareID_09","EVI_sd_hectareID_09","EVI_hectareID_11","EVI_sd_hectareID_11","EVI_hectareID_31","EVI_sd_hectareID_31","EVI_hectareID_07","EVI_sd_hectareID_07","EVI_hectareID_08","EVI_sd_hectareID_08","EVI_hectareID_12","EVI_sd_hectareID_12","EVI_hectareID_24","EVI_sd_hectareID_24","EVI_hectareID_25","EVI_sd_hectareID_25","EVI_hectareID_28","EVI_sd_hectareID_28","EVI_hectareID_18","EVI_sd_hectareID_18","EVI_hectareID_03","EVI_sd_hectareID_03","EVI_hectareID_30","EVI_sd_hectareID_30","EVI_hectareID_14","EVI_sd_hectareID_14","EVI_hectareID_04","EVI_sd_hectareID_04","EVI_hectareID_06","EVI_sd_hectareID_06","EVI_hectareID_20","EVI_sd_hectareID_20","EVI_hectareID_23","EVI_sd_hectareID_23","EVI_hectareID_05","EVI_sd_hectareID_05","EVI_hectareID_16","EVI_sd_hectareID_16","EVI_hectareID_01","EVI_sd_hectareID_01","EVI_hectareID_21","EVI_sd_hectareID_21","EVI_hectareID_02","EVI_sd_hectareID_02","EVI_hectareID_15","EVI_sd_hectareID_15","EVI_hectareID_13","EVI_sd_hectareID_13","EVI_hectareID_22","EVI_sd_hectareID_22","EVI_hectareID_19","EVI_sd_hectareID_19","EVI_hectareID_10","EVI_sd_hectareID_10","EVI_hectareID_29","EVI_sd_hectareID_29"
"1",2018-12-17,NA,NA,NA,NA,NA,NA,0.60482,0.060683,NA,NA,NA,NA,0.601018,0.039888,NA,NA,0.606714,0.133871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692317,0.066365,0.607462,0.056698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631545,0.037994,0.684975,0.074158,NA,NA,NA,NA,0.614837,0.032774,NA,NA,0.627588,0.040923,NA,NA,NA,NA,0.551771,0.062677
"2",2018-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609855,0.04133
"3",2019-01-01,NA,NA,NA,NA,NA,NA,NA,NA,0.663391,0.05062,NA,NA,0.608677,0.055175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.610411,0.0544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.649251,0.039083,NA,NA,NA,NA,NA,NA
"4",2019-01-06,NA,NA,NA,NA,NA,NA,NA,NA,0.71252,0.081639,0.619712,0.040391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.630491,0.057355,NA,NA,NA,NA,NA,NA,0.64177,0.042956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2019-01-21,0.614204,0.038813,NA,NA,0.648061,0.044747,NA,NA,NA,NA,NA,NA,0.65705,0.041983,NA,NA,NA,NA,NA,NA,0.621734,0.049226,0.655741,0.046485,NA,NA,NA,NA,NA,NA,0.618459,0.065536,NA,NA,NA,NA,NA,NA,0.603713,0.044028,NA,NA,NA,NA,0.678909,0.034567,NA,NA,0.629602,0.041555,NA,NA,0.652603,0.022919,NA,NA,NA,NA,NA,NA,NA,NA,0.581292,0.076983
"6",2019-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74976,0.0515,0.605705,0.034567,NA,NA,0.788809,0.050448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.591392,0.049983
"7",2019-01-31,NA,NA,NA,NA,0.637286,0.044656,0.575664,0.072188,NA,NA,NA,NA,0.638085,0.041924,0.73293,0.061298,0.683912,0.053216,0.631115,0.043013,0.596561,0.05208,NA,NA,0.582956,0.048417,NA,NA,0.703821,0.048,0.585303,0.064821,NA,NA,NA,NA,NA,NA,0.60103,0.043594,NA,NA,NA,NA,NA,NA,NA,NA,0.615949,0.042926,NA,NA,NA,NA,NA,NA,0.636624,0.046496,NA,NA,NA,NA,0.559695,0.049603
"8",2019-02-05,NA,NA,NA,NA,NA,NA,0.612573,0.061449,0.615722,0.025314,NA,NA,NA,NA,NA,NA,0.405168,0.062585,NA,NA,0.60412,0.056851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.665307,0.047919,NA,NA,0.491433,0.086671,0.655139,0.062714,NA,NA,0.6313,0.056898,NA,NA,0.672389,0.1016,NA,NA,NA,NA,0.601954,0.050601,NA,NA,NA,NA,NA,NA
"9",2019-02-10,NA,NA,NA,NA,NA,NA,NA,NA,0.643968,0.053073,0.169219,0.063786,NA,NA,NA,NA,0.667712,0.047226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65023,0.114743,NA,NA,NA,NA,0.678208,0.059806,0.528688,0.087067,0.215629,0.019443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2019-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766006,0.058436,NA,NA,NA,NA,NA,NA,0.690474,0.047547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654833,0.041772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2019-02-20,0.561998,0.045821,0.540906,0.060728,0.567983,0.04072,0.543798,0.060249,0.578297,0.048834,0.529949,0.04036,0.598792,0.037842,0.639244,0.05192,NA,NA,0.551308,0.035162,0.540509,0.05124,0.58332,0.042468,0.550163,0.045497,0.537489,0.032989,0.613688,0.042808,0.573367,0.060695,0.548212,0.043089,0.684199,0.050389,0.626988,0.041482,0.531898,0.037502,0.530852,0.048539,0.612173,0.056761,0.588087,0.028299,0.618192,0.05906,0.559984,0.039654,0.620639,0.08943,0.559948,0.041358,0.555016,0.040612,0.565067,0.041071,0.581741,0.036706,0.551896,0.048807,0.545055,0.044759
"12",2019-02-25,0.529845,0.04266,0.508532,0.058279,0.550276,0.043364,0.528002,0.062959,0.553394,0.052953,0.514248,0.044798,NA,NA,0.618723,0.054038,0.584277,0.048725,0.532799,0.036099,0.519961,0.052073,0.570691,0.044587,0.54139,0.045077,0.517173,0.032643,0.590711,0.044977,0.556967,0.061935,0.524205,0.045393,0.659516,0.056067,0.608659,0.045926,0.515165,0.038659,0.514864,0.049554,0.59895,0.064187,0.566583,0.032582,0.56715,0.065748,0.538856,0.039348,0.595449,0.094326,0.539704,0.042046,0.525416,0.042324,0.550427,0.040908,0.559085,0.03646,0.532654,0.051989,0.490774,0.080498
"13",2019-03-02,0.617754,0.041479,0.563012,0.060218,NA,NA,0.58867,0.05831,NA,NA,NA,NA,0.651461,0.042511,NA,NA,NA,NA,0.658756,0.035543,NA,NA,0.210027,0.027489,NA,NA,0.590553,0.032042,NA,NA,0.609951,0.064949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.306432,0.113975,NA,NA,NA,NA,NA,NA
"14",2019-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49491,0.030363,NA,NA,0.673917,0.070219,NA,NA,0.7294,0.069549,NA,NA,NA,NA,NA,NA,0.600651,0.06819,NA,NA,NA,NA,0.611672,0.040473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2019-03-17,0.583899,0.04636,NA,NA,NA,NA,NA,NA,NA,NA,0.280482,0.084891,NA,NA,NA,NA,NA,NA,0.501049,0.093794,NA,NA,NA,NA,0.542054,0.090375,NA,NA,NA,NA,NA,NA,0.566117,0.038188,0.714458,0.067657,0.650676,0.12529,NA,NA,0.518992,0.065996,0.362163,0.144617,NA,NA,NA,NA,NA,NA,NA,NA,0.629384,0.054353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2019-03-27,NA,NA,NA,NA,NA,NA,0.578218,0.056116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.560908,0.06309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612668,0.073044,NA,NA,NA,NA,NA,NA
"17",2019-04-01,0.632017,0.065603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743464,0.114418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2019-04-06,NA,NA,NA,NA,0.647707,0.051431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62331,0.039587,NA,NA,NA,NA,0.692206,0.108067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2019-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.732635,0.088765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2019-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215596,0.066696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2019-04-26,0.669792,0.03471,0.122489,0.134091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.721961,0.071414,NA,NA,NA,NA,NA,NA,0.657554,0.062874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195247,0.023327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2019-05-01,NA,NA,0.601863,0.068255,NA,NA,NA,NA,NA,NA,0.547543,0.052605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
