system:time_start,EVI_median,fitted
"Dec 15, 2018",0.591,0.589
"Dec 20, 2018",,0.594
"Dec 25, 2018",,0.598
"Dec 30, 2018",,0.602
"Jan 4, 2019",,0.606
"Jan 9, 2019",,0.609
"Jan 14, 2019",0.812,0.612
"Jan 19, 2019",0.59,0.614
"Jan 24, 2019",0.604,0.615
"Jan 29, 2019",0.577,0.616
"Feb 3, 2019",0.547,0.617
"Feb 8, 2019",0.522,0.617
"Feb 13, 2019",0.556,0.616
"Feb 18, 2019",,0.615
"Feb 23, 2019",0.622,0.614
"Feb 28, 2019",0.58,0.612
"Mar 5, 2019",0.586,0.609
"Mar 10, 2019",0.567,0.606
"Mar 15, 2019",0.538,0.603
"Mar 20, 2019",,0.599
"Mar 25, 2019",0.484,0.594
"Mar 30, 2019",,0.59
"Apr 4, 2019",0.571,0.585
"Apr 9, 2019",0.541,0.579
"Apr 14, 2019",,0.574
"Apr 19, 2019",0.542,0.568
"Apr 24, 2019",0.803,0.562
"Apr 29, 2019",0.534,0.556
"May 4, 2019",0.26,0.55
"May 9, 2019",,0.544
"May 9, 2019",,0.544
"May 14, 2019",0.553,0.537
"May 19, 2019",,0.531
"May 24, 2019",0.522,0.525
"May 29, 2019",0.518,0.519
"Jun 3, 2019",0.518,0.514
"Jun 8, 2019",,0.508
"Jun 13, 2019",0.464,0.503
"Jun 18, 2019",0.601,0.498
"Jun 23, 2019",,0.494
"Jun 28, 2019",,0.49
"Jul 3, 2019",0.486,0.486
"Jul 8, 2019",0.5,0.483
"Jul 13, 2019",0.467,0.48
"Jul 18, 2019",,0.478
"Jul 23, 2019",0.382,0.476
"Jul 28, 2019",0.48,0.475
"Aug 2, 2019",0.489,0.474
"Aug 7, 2019",,0.474
"Aug 12, 2019",0.738,0.474
"Aug 17, 2019",,0.475
"Aug 22, 2019",,0.477
"Aug 27, 2019",,0.478
"Sep 1, 2019",0.547,0.481
"Sep 6, 2019",,0.484
"Sep 11, 2019",,0.487
"Sep 16, 2019",0.533,0.491
"Sep 21, 2019",0.547,0.495
"Sep 26, 2019",0.507,0.5
"Oct 1, 2019",0.504,0.505
"Oct 6, 2019",0.484,0.51
"Oct 11, 2019",0.634,0.516
"Oct 16, 2019",0.48,0.521
"Oct 21, 2019",0.445,0.527
"Oct 26, 2019",,0.534
"Oct 31, 2019",0.51,0.54
"Nov 5, 2019",0.454,0.546
"Nov 10, 2019",0.45,0.552
"Nov 15, 2019",0.433,0.559
"Nov 20, 2019",0.519,0.565
"Nov 25, 2019",,0.571
"Nov 30, 2019",,0.577
"Dec 5, 2019",0.476,0.582
"Dec 10, 2019",0.513,0.588
"Dec 15, 2019",0.563,0.593
"Dec 20, 2019",0.561,0.597
"Dec 25, 2019",0.697,0.602
"Dec 30, 2019",0.657,0.606
"Jan 4, 2020",,0.609
"Jan 9, 2020",,0.613
"Jan 14, 2020",0.54,0.615
"Jan 19, 2020",0.558,0.617
"Jan 24, 2020",,0.619
"Jan 29, 2020",0.535,0.62
"Feb 3, 2020",0.655,0.621
"Feb 8, 2020",,0.621
"Feb 13, 2020",0.535,0.62
"Feb 18, 2020",0.638,0.619
"Feb 23, 2020",,0.618
"Feb 28, 2020",,0.615
"Mar 4, 2020",0.551,0.613
"Mar 9, 2020",,0.61
"Mar 14, 2020",0.741,0.606
"Mar 19, 2020",0.722,0.602
"Mar 24, 2020",,0.598
"Mar 29, 2020",,0.593
"Apr 3, 2020",0.528,0.588
"Apr 8, 2020",0.628,0.583
"Apr 13, 2020",,0.578
"Apr 18, 2020",,0.572
"Apr 23, 2020",0.531,0.566
"Apr 28, 2020",,0.56
"May 3, 2020",0.646,0.554
"May 8, 2020",,0.547
"May 13, 2020",,0.541
"May 18, 2020",0.816,0.535
"May 23, 2020",,0.529
"May 28, 2020",,0.523
"Jun 2, 2020",0.502,0.518
"Jun 7, 2020",,0.512
"Jun 12, 2020",0.593,0.507
"Jun 17, 2020",,0.502
"Jun 22, 2020",0.523,0.498
"Jun 27, 2020",0.423,0.494
"Jul 2, 2020",0.53,0.49
"Jul 7, 2020",0.567,0.487
"Jul 12, 2020",,0.484
"Jul 17, 2020",,0.482
"Jul 22, 2020",0.532,0.48
"Jul 27, 2020",0.62,0.478
"Aug 1, 2020",,0.478
"Aug 6, 2020",,0.478
"Aug 11, 2020",,0.478
"Aug 16, 2020",0.525,0.479
"Aug 21, 2020",0.603,0.48
"Aug 26, 2020",0.505,0.482
"Aug 31, 2020",0.49,0.484
"Sep 5, 2020",0.598,0.487
"Sep 10, 2020",0.492,0.491
"Sep 15, 2020",0.475,0.494
"Sep 20, 2020",0.495,0.499
"Sep 25, 2020",0.599,0.503
"Sep 30, 2020",0.463,0.508
"Oct 5, 2020",0.452,0.513
"Oct 10, 2020",0.359,0.519
"Oct 15, 2020",0.448,0.525
"Oct 20, 2020",0.487,0.531
"Oct 25, 2020",,0.537
"Oct 30, 2020",,0.543
"Nov 4, 2020",,0.549
"Nov 9, 2020",0.499,0.556
"Nov 14, 2020",0.574,0.562
"Nov 19, 2020",,0.568
"Nov 24, 2020",,0.574
"Nov 29, 2020",,0.58
"Dec 4, 2020",0.684,0.586
"Dec 9, 2020",0.742,0.591
"Dec 14, 2020",0.743,0.596
"Dec 19, 2020",0.758,0.601
"Dec 24, 2020",0.824,0.605
"Dec 29, 2020",0.75,0.609
"Jan 3, 2021",0.723,0.613
"Jan 8, 2021",0.661,0.616
"Jan 13, 2021",0.708,0.619
"Jan 18, 2021",0.591,0.621
"Jan 23, 2021",0.689,0.622
"Jan 28, 2021",0.598,0.624
"Feb 2, 2021",,0.624
"Feb 7, 2021",,0.624
"Feb 12, 2021",,0.624
"Feb 17, 2021",,0.623
