system:time_start,EVI_median,fitted
"Dec 15, 2018",0.662,0.598
"Dec 20, 2018",0.608,0.604
"Dec 25, 2018",,0.61
"Dec 30, 2018",0.631,0.615
"Jan 4, 2019",,0.62
"Jan 9, 2019",0.639,0.624
"Jan 14, 2019",0.698,0.627
"Jan 19, 2019",0.608,0.63
"Jan 24, 2019",0.718,0.632
"Jan 29, 2019",0.607,0.633
"Feb 3, 2019",0.584,0.634
"Feb 8, 2019",,0.633
"Feb 13, 2019",0.571,0.632
"Feb 18, 2019",0.585,0.63
"Feb 23, 2019",0.592,0.628
"Feb 28, 2019",0.579,0.624
"Mar 5, 2019",0.623,0.62
"Mar 10, 2019",0.584,0.616
"Mar 15, 2019",0.545,0.611
"Mar 20, 2019",,0.605
"Mar 25, 2019",0.543,0.598
"Mar 30, 2019",0.565,0.591
"Apr 4, 2019",0.567,0.584
"Apr 9, 2019",0.582,0.576
"Apr 14, 2019",0.649,0.568
"Apr 19, 2019",0.556,0.56
"Apr 24, 2019",0.624,0.552
"Apr 29, 2019",0.498,0.543
"May 4, 2019",0.532,0.534
"May 9, 2019",,0.525
"May 14, 2019",0.522,0.517
"May 19, 2019",0.503,0.508
"May 24, 2019",0.486,0.499
"May 29, 2019",,0.491
"Jun 3, 2019",0.478,0.483
"Jun 8, 2019",0.474,0.476
"Jun 13, 2019",0.489,0.468
"Jun 18, 2019",,0.462
"Jun 23, 2019",0.407,0.456
"Jun 28, 2019",0.476,0.45
"Jul 3, 2019",,0.445
"Jul 8, 2019",0.448,0.441
"Jul 13, 2019",0.443,0.437
"Jul 18, 2019",0.361,0.434
"Jul 23, 2019",0.457,0.431
"Jul 28, 2019",0.424,0.43
"Aug 2, 2019",0.431,0.429
"Aug 7, 2019",,0.429
"Aug 12, 2019",0.456,0.43
"Aug 17, 2019",0.419,0.431
"Aug 22, 2019",,0.433
"Aug 27, 2019",,0.436
"Sep 1, 2019",0.4,0.44
"Sep 6, 2019",0.578,0.444
"Sep 11, 2019",0.409,0.449
"Sep 16, 2019",,0.455
"Sep 21, 2019",0.368,0.461
"Sep 26, 2019",,0.467
"Oct 1, 2019",,0.475
"Oct 6, 2019",0.508,0.482
"Oct 11, 2019",,0.49
"Oct 16, 2019",0.458,0.498
"Oct 21, 2019",,0.507
"Oct 26, 2019",0.487,0.515
"Oct 31, 2019",,0.524
"Nov 5, 2019",0.494,0.533
"Nov 10, 2019",0.526,0.542
"Nov 15, 2019",,0.55
"Nov 20, 2019",,0.559
"Nov 25, 2019",0.356,0.567
"Nov 30, 2019",,0.575
"Dec 5, 2019",,0.583
"Dec 10, 2019",,0.591
"Dec 15, 2019",0.67,0.598
"Dec 20, 2019",,0.604
"Dec 25, 2019",0.667,0.61
"Dec 30, 2019",0.669,0.615
"Jan 4, 2020",,0.62
"Jan 9, 2020",0.608,0.624
"Jan 14, 2020",0.675,0.628
"Jan 19, 2020",,0.63
"Jan 24, 2020",,0.632
"Jan 29, 2020",0.619,0.633
"Feb 3, 2020",0.654,0.634
"Feb 8, 2020",0.666,0.634
"Feb 13, 2020",,0.633
"Feb 18, 2020",,0.631
"Feb 23, 2020",,0.628
"Feb 28, 2020",,0.625
"Mar 4, 2020",,0.621
"Mar 9, 2020",0.566,0.616
"Mar 14, 2020",0.714,0.611
"Mar 19, 2020",,0.605
"Mar 24, 2020",0.592,0.599
"Mar 29, 2020",0.601,0.592
"Apr 3, 2020",0.526,0.585
"Apr 8, 2020",,0.577
"Apr 13, 2020",,0.569
"Apr 18, 2020",,0.561
"Apr 23, 2020",0.752,0.552
"Apr 28, 2020",0.533,0.544
"May 3, 2020",0.498,0.535
"May 8, 2020",,0.526
"May 13, 2020",,0.517
"May 18, 2020",0.576,0.509
"May 23, 2020",0.522,0.5
"May 28, 2020",0.498,0.492
"Jun 2, 2020",0.478,0.484
"Jun 7, 2020",0.47,0.476
"Jun 12, 2020",0.452,0.469
"Jun 17, 2020",,0.462
"Jun 22, 2020",0.467,0.456
"Jun 27, 2020",0.455,0.451
"Jul 2, 2020",0.451,0.446
"Jul 7, 2020",0.466,0.441
"Jul 12, 2020",0.4,0.437
"Jul 17, 2020",,0.434
"Jul 22, 2020",0.471,0.432
"Jul 27, 2020",0.459,0.43
"Aug 1, 2020",,0.43
"Aug 6, 2020",0.467,0.429
"Aug 11, 2020",0.444,0.43
"Aug 16, 2020",0.459,0.432
"Aug 21, 2020",,0.434
"Aug 26, 2020",0.463,0.437
"Aug 31, 2020",0.506,0.44
"Sep 5, 2020",0.474,0.444
"Sep 10, 2020",0.537,0.449
"Sep 15, 2020",0.459,0.455
"Sep 20, 2020",0.436,0.461
"Sep 25, 2020",0.52,0.468
