system:time_start,EVI2_median,fitted
"Dec 15, 2018",0.516,0.492
"Dec 15, 2018",0.535,0.492
"Dec 20, 2018",,0.496
"Dec 20, 2018",,0.496
"Dec 25, 2018",0.532,0.499
"Dec 25, 2018",,0.499
"Dec 30, 2018",,0.502
"Dec 30, 2018",,0.502
"Jan 4, 2019",,0.505
"Jan 4, 2019",,0.505
"Jan 9, 2019",,0.507
"Jan 9, 2019",,0.507
"Jan 14, 2019",0.658,0.509
"Jan 14, 2019",0.641,0.509
"Jan 19, 2019",0.529,0.511
"Jan 19, 2019",0.535,0.511
"Jan 24, 2019",0.496,0.513
"Jan 24, 2019",0.535,0.513
"Jan 29, 2019",0.463,0.514
"Jan 29, 2019",0.468,0.514
"Feb 3, 2019",0.503,0.515
"Feb 3, 2019",0.505,0.515
"Feb 8, 2019",0.471,0.515
"Feb 8, 2019",0.461,0.515
"Feb 13, 2019",0.481,0.515
"Feb 13, 2019",0.519,0.515
"Feb 18, 2019",,0.515
"Feb 18, 2019",,0.515
"Feb 23, 2019",0.5,0.515
"Feb 23, 2019",0.53,0.515
"Feb 28, 2019",0.471,0.514
"Feb 28, 2019",0.491,0.514
"Mar 5, 2019",0.518,0.512
"Mar 5, 2019",0.509,0.512
"Mar 10, 2019",0.488,0.511
"Mar 10, 2019",0.529,0.511
"Mar 15, 2019",0.457,0.509
"Mar 15, 2019",0.488,0.509
"Mar 20, 2019",,0.507
"Mar 20, 2019",,0.507
"Mar 25, 2019",0.509,0.504
"Mar 25, 2019",,0.504
"Mar 30, 2019",,0.501
"Mar 30, 2019",,0.501
"Apr 4, 2019",0.466,0.498
"Apr 4, 2019",0.513,0.498
"Apr 9, 2019",0.459,0.495
"Apr 9, 2019",0.487,0.495
"Apr 14, 2019",,0.491
"Apr 14, 2019",,0.491
"Apr 19, 2019",0.455,0.488
"Apr 19, 2019",0.481,0.488
"Apr 24, 2019",0.488,0.484
"Apr 24, 2019",0.672,0.484
"Apr 29, 2019",0.456,0.48
"Apr 29, 2019",0.507,0.48
"May 4, 2019",,0.476
"May 4, 2019",0.238,0.476
"May 9, 2019",,0.472
"May 9, 2019",,0.472
"May 9, 2019",,0.472
"May 9, 2019",,0.472
"May 14, 2019",0.451,0.468
"May 14, 2019",0.5,0.468
"May 19, 2019",,0.464
"May 19, 2019",,0.464
"May 24, 2019",0.431,0.46
