"","Date","detrend"
"1",2019-01-04,NA
"2",2019-01-09,0.003
"3",2019-01-14,0.002
"4",2019-01-19,0.002
"5",2019-01-24,0.002
"6",2019-01-29,0.001
"7",2019-02-03,0.001
"8",2019-02-08,0
"9",2019-02-13,0
"10",2019-02-18,0
"11",2019-02-23,-0.001
"12",2019-02-28,-0.002
"13",2019-03-05,-0.001
"14",2019-03-10,-0.003
"15",2019-03-15,-0.002
"16",2019-03-20,-0.003
"17",2019-03-25,-0.004
"18",2019-03-30,-0.004
"19",2019-04-04,-0.004
"20",2019-04-09,-0.00399999999999989
"21",2019-04-14,-0.004
"22",2019-04-19,-0.005
"23",2019-04-24,-0.005
"24",2019-04-29,-0.005
"25",2019-05-04,-0.005
"26",2019-05-09,-0.005
"27",2019-05-14,-0.00600000000000001
"28",2019-05-19,-0.005
"29",2019-05-24,-0.005
"30",2019-05-29,-0.005
"31",2019-06-03,-0.005
"32",2019-06-08,-0.005
"33",2019-06-13,-0.004
"34",2019-06-18,-0.005
"35",2019-06-23,-0.004
"36",2019-06-28,-0.003
"37",2019-07-03,-0.004
"38",2019-07-08,-0.003
"39",2019-07-13,-0.003
"40",2019-07-18,-0.002
"41",2019-07-23,-0.002
"42",2019-07-28,-0.001
"43",2019-08-02,-0.001
"44",2019-08-07,-0.001
"45",2019-08-12,0
"46",2019-08-17,0
"47",2019-08-22,0.001
"48",2019-08-27,0.001
"49",2019-09-01,0.002
"50",2019-09-06,0.002
"51",2019-09-11,0.002
"52",2019-09-16,0.003
"53",2019-09-21,0.003
"54",2019-09-26,0.004
"55",2019-10-01,0.003
"56",2019-10-06,0.005
"57",2019-10-11,0.004
"58",2019-10-16,0.005
"59",2019-10-21,0.004
"60",2019-10-26,0.005
"61",2019-10-31,0.005
"62",2019-11-05,0.005
"63",2019-11-10,0.00600000000000001
"64",2019-11-15,0.005
"65",2019-11-20,0.005
"66",2019-11-25,0.005
"67",2019-11-30,0.005
"68",2019-12-05,0.005
"69",2019-12-10,0.005
"70",2019-12-15,0.00399999999999989
"71",2019-12-20,0.004
"72",2019-12-25,0.004
"73",2019-12-30,0.004
"74",2020-01-04,0.003
"75",2020-01-09,0.003
"76",2020-01-14,0.002
"77",2020-01-19,0.002
"78",2020-01-24,0.002
"79",2020-01-29,0.001
"80",2020-02-03,0.001
"81",2020-02-08,0
"82",2020-02-13,0
"83",2020-02-18,0
"84",2020-02-23,-0.001
"85",2020-02-28,-0.002
"86",2020-03-04,-0.001
"87",2020-03-09,-0.003
"88",2020-03-14,-0.002
"89",2020-03-19,-0.003
"90",2020-03-24,-0.004
"91",2020-03-29,-0.003
"92",2020-04-03,-0.004
"93",2020-04-08,-0.00499999999999989
"94",2020-04-13,-0.004
"95",2020-04-18,-0.005
"96",2020-04-23,-0.005
"97",2020-04-28,-0.005
"98",2020-05-03,-0.005
"99",2020-05-08,-0.005
"100",2020-05-13,-0.005
"101",2020-05-18,-0.00600000000000001
"102",2020-05-23,-0.005
"103",2020-05-28,-0.005
"104",2020-06-02,-0.005
"105",2020-06-07,-0.004
"106",2020-06-12,-0.005
"107",2020-06-17,-0.004
"108",2020-06-22,-0.004
"109",2020-06-27,-0.004
"110",2020-07-02,-0.004
"111",2020-07-07,-0.003
"112",2020-07-12,-0.003
"113",2020-07-17,-0.002
"114",2020-07-22,-0.002
"115",2020-07-27,-0.001
"116",2020-08-01,-0.001
"117",2020-08-06,-0.000999999999999945
"118",2020-08-11,0
"119",2020-08-16,0
"120",2020-08-21,0.000999999999999945
"121",2020-08-26,0.001
"122",2020-08-31,0.002
"123",2020-09-05,0.002
"124",2020-09-10,0.002
"125",2020-09-15,0.003
"126",2020-09-20,0.003
"127",2020-09-25,0.003
"128",2020-09-30,0.004
"129",2020-10-05,0.004
"130",2020-10-10,0.005
"131",2020-10-15,0.004
"132",2020-10-20,0.005
"133",2020-10-25,0.005
"134",2020-10-30,0.005
"135",2020-11-04,0.005
"136",2020-11-09,0.005
"137",2020-11-14,0.00600000000000001
"138",2020-11-19,0.005
"139",2020-11-24,0.005
"140",2020-11-29,0.005
"141",2020-12-04,0.005
"142",2020-12-09,0.004
"143",2020-12-14,0.005
"144",2020-12-19,0.00399999999999989
"145",2020-12-24,0.004
"146",2020-12-29,0.004
"147",2021-01-03,0.003
"148",2021-01-08,0.003
"149",2021-01-13,0.002
"150",2021-01-18,0.002
"151",2021-01-23,0.002
"152",2021-01-28,0.001
"153",2021-02-02,0.001
"154",2021-02-07,0.001
"155",2021-02-12,-0.001
"156",2021-02-17,0
"157",2021-02-22,-0.001
"158",2021-02-27,-0.001
"159",2021-03-04,-0.002
"160",2021-03-09,-0.002
"161",2021-03-14,-0.003
"162",2021-03-19,-0.003
"163",2021-03-24,-0.003
"164",2021-03-29,-0.004
"165",2021-04-03,-0.004
"166",2021-04-08,-0.00399999999999989
"167",2021-04-13,-0.005
"168",2021-04-18,-0.005
"169",2021-04-23,-0.004
"170",2021-04-28,-0.005
"171",2021-05-03,-0.00600000000000001
"172",2021-05-08,-0.005
"173",2021-05-13,-0.005
"174",2021-05-18,-0.005
"175",2021-05-23,-0.005
"176",2021-05-28,-0.005
"177",2021-06-02,-0.005
"178",2021-06-07,-0.005
"179",2021-06-12,-0.005
"180",2021-06-17,-0.004
"181",2021-06-22,-0.004
"182",2021-07-02,-0.00700000000000001
"183",2021-07-07,-0.004
"184",2021-07-12,-0.002
"185",2021-07-17,-0.003
"186",2021-07-22,-0.002
"187",2021-07-27,-0.001
"188",2021-08-01,-0.000999999999999945
"189",2021-08-06,-0.001
"190",2021-08-11,0
"191",2021-08-16,0
