system:time_start,EVI_median,fitted
"Dec 15, 2018",0.572,0.564
"Dec 15, 2018",0.591,0.564
"Dec 20, 2018",,0.568
"Dec 20, 2018",,0.568
"Dec 25, 2018",0.65,0.572
"Dec 25, 2018",,0.572
"Dec 30, 2018",,0.576
"Dec 30, 2018",,0.576
"Jan 4, 2019",,0.579
"Jan 4, 2019",,0.579
"Jan 9, 2019",,0.582
"Jan 9, 2019",,0.582
"Jan 14, 2019",0.815,0.584
"Jan 14, 2019",0.812,0.584
"Jan 19, 2019",0.58,0.586
"Jan 19, 2019",0.59,0.586
"Jan 24, 2019",0.558,0.588
"Jan 24, 2019",0.604,0.588
"Jan 29, 2019",0.599,0.589
"Jan 29, 2019",0.577,0.589
"Feb 3, 2019",0.547,0.59
"Feb 3, 2019",0.547,0.59
"Feb 8, 2019",0.513,0.59
"Feb 8, 2019",0.522,0.59
"Feb 13, 2019",0.52,0.59
"Feb 13, 2019",0.556,0.59
"Feb 18, 2019",,0.59
"Feb 18, 2019",,0.59
"Feb 23, 2019",0.571,0.589
"Feb 23, 2019",0.609,0.589
"Feb 28, 2019",0.542,0.587
"Feb 28, 2019",0.58,0.587
"Mar 5, 2019",0.582,0.586
"Mar 5, 2019",0.59,0.586
"Mar 10, 2019",0.519,0.583
"Mar 10, 2019",0.567,0.583
"Mar 15, 2019",0.496,0.581
"Mar 15, 2019",0.538,0.581
"Mar 20, 2019",,0.578
"Mar 20, 2019",,0.578
"Mar 25, 2019",0.609,0.574
"Mar 25, 2019",,0.574
"Mar 30, 2019",,0.57
"Mar 30, 2019",,0.57
"Apr 4, 2019",0.506,0.566
"Apr 4, 2019",0.571,0.566
"Apr 9, 2019",0.487,0.562
"Apr 9, 2019",0.541,0.562
"Apr 14, 2019",,0.558
"Apr 14, 2019",,0.558
"Apr 19, 2019",0.495,0.553
"Apr 19, 2019",0.542,0.553
"Apr 24, 2019",0.55,0.548
"Apr 24, 2019",0.803,0.548
"Apr 29, 2019",0.483,0.543
"Apr 29, 2019",0.534,0.543
"May 4, 2019",,0.538
"May 4, 2019",0.261,0.538
"May 9, 2019",,0.533
"May 9, 2019",,0.533
"May 9, 2019",,0.533
"May 9, 2019",,0.533
"May 14, 2019",0.493,0.527
"May 14, 2019",0.553,0.527
"May 19, 2019",,0.522
"May 19, 2019",,0.522
"May 24, 2019",0.466,0.517
"May 24, 2019",0.522,0.517
"May 29, 2019",0.472,0.512
"May 29, 2019",0.518,0.512
"Jun 3, 2019",0.473,0.507
"Jun 3, 2019",0.517,0.507
