system:time_start,EVI2_median,fitted
"Dec 17, 2018",0.565,0.568
"Dec 22, 2018",0.51,0.567
"Dec 27, 2018",,0.566
"Jan 1, 2019",0.538,0.565
"Jan 6, 2019",0.53,0.564
"Jan 11, 2019",,0.562
"Jan 16, 2019",,0.56
"Jan 21, 2019",0.556,0.558
"Jan 26, 2019",0.567,0.556
"Jan 31, 2019",0.549,0.553
"Feb 5, 2019",0.551,0.551
"Feb 10, 2019",0.547,0.548
"Feb 15, 2019",0.583,0.545
"Feb 20, 2019",0.515,0.542
"Feb 25, 2019",0.501,0.539
"Mar 2, 2019",0.498,0.535
"Mar 7, 2019",,0.532
"Mar 12, 2019",0.591,0.529
"Mar 17, 2019",0.476,0.525
"Mar 22, 2019",,0.522
"Mar 27, 2019",0.522,0.519
"Apr 1, 2019",0.592,0.516
"Apr 6, 2019",0.563,0.513
"Apr 11, 2019",,0.51
"Apr 16, 2019",0.631,0.507
"Apr 21, 2019",0.168,0.504
"Apr 26, 2019",0.56,0.502
"May 1, 2019",0.494,0.499
"May 6, 2019",,0.497
"May 11, 2019",0.497,0.495
"May 16, 2019",,0.494
"May 21, 2019",0.504,0.492
"May 26, 2019",0.477,0.491
"May 31, 2019",0.512,0.49
"Jun 5, 2019",,0.49
"Jun 10, 2019",0.532,0.489
"Jun 15, 2019",,0.489
"Jun 20, 2019",0.502,0.489
"Jun 25, 2019",0.498,0.49
"Jun 30, 2019",0.436,0.491
"Jul 5, 2019",0.494,0.492
"Jul 15, 2019",0.493,0.495
"Jul 20, 2019",,0.496
"Jul 25, 2019",0.393,0.498
"Jul 30, 2019",0.522,0.501
"Aug 4, 2019",,0.503
"Aug 9, 2019",0.527,0.506
"Aug 14, 2019",0.555,0.508
"Aug 19, 2019",0.489,0.511
"Aug 24, 2019",,0.514
"Aug 29, 2019",,0.517
"Sep 3, 2019",0.57,0.52
"Sep 8, 2019",,0.523
"Sep 13, 2019",0.518,0.526
"Sep 18, 2019",,0.529
"Sep 28, 2019",,0.535
"Oct 3, 2019",0.559,0.538
"Oct 8, 2019",0.583,0.541
"Oct 13, 2019",0.553,0.544
"Oct 18, 2019",0.59,0.546
"Oct 23, 2019",,0.549
"Oct 28, 2019",0.54,0.551
"Nov 2, 2019",,0.553
"Nov 7, 2019",0.595,0.555
"Nov 12, 2019",0.527,0.556
"Nov 17, 2019",,0.558
"Nov 22, 2019",0.496,0.559
"Nov 27, 2019",,0.559
"Dec 2, 2019",,0.56
"Dec 7, 2019",,0.56
"Dec 12, 2019",0.558,0.56
"Dec 17, 2019",0.531,0.56
"Dec 22, 2019",0.53,0.559
"Dec 27, 2019",0.549,0.558
"Jan 1, 2020",0.553,0.557
"Jan 6, 2020",0.527,0.556
"Jan 11, 2020",0.556,0.554
"Jan 16, 2020",0.511,0.552
"Jan 21, 2020",,0.55
"Jan 26, 2020",,0.548
"Jan 31, 2020",0.566,0.546
"Feb 5, 2020",0.563,0.543
"Feb 10, 2020",0.516,0.54
"Feb 15, 2020",0.548,0.537
"Feb 20, 2020",0.563,0.534
"Feb 25, 2020",,0.531
"Mar 1, 2020",0.601,0.527
"Mar 6, 2020",,0.524
"Mar 11, 2020",,0.521
"Mar 16, 2020",,0.518
"Mar 21, 2020",,0.514
"Mar 26, 2020",,0.511
"Mar 31, 2020",,0.508
"Apr 5, 2020",,0.505
"Apr 10, 2020",,0.502
"Apr 15, 2020",,0.499
"Apr 20, 2020",0.564,0.496
"Apr 25, 2020",0.496,0.494
"Apr 30, 2020",0.487,0.491
"May 5, 2020",,0.489
"May 10, 2020",0.533,0.487
"May 15, 2020",0.489,0.486
"May 20, 2020",0.339,0.484
"May 25, 2020",,0.483
"May 30, 2020",,0.482
"Jun 4, 2020",0.506,0.482
"Jun 9, 2020",0.495,0.481
"Jun 14, 2020",0.516,0.481
"Jun 19, 2020",,0.481
"Jun 24, 2020",0.493,0.482
"Jun 29, 2020",,0.483
"Jul 4, 2020",0.492,0.484
"Jul 9, 2020",0.493,0.485
"Jul 14, 2020",0.525,0.487
"Jul 19, 2020",,0.488
"Jul 24, 2020",0.568,0.49
"Jul 29, 2020",0.422,0.492
"Aug 3, 2020",0.435,0.495
"Aug 8, 2020",0.533,0.497
"Aug 13, 2020",0.545,0.5
"Aug 18, 2020",0.596,0.503
"Aug 23, 2020",,0.506
"Aug 28, 2020",0.58,0.509
"Sep 2, 2020",0.571,0.512
"Sep 7, 2020",,0.515
"Sep 12, 2020",0.521,0.518
"Sep 17, 2020",0.547,0.521
"Sep 22, 2020",,0.524
"Sep 27, 2020",0.566,0.527
"Oct 2, 2020",0.546,0.53
"Oct 7, 2020",0.481,0.533
"Oct 12, 2020",,0.536
"Oct 17, 2020",0.517,0.538
"Oct 22, 2020",0.446,0.541
"Oct 27, 2020",,0.543
"Nov 1, 2020",,0.545
"Nov 6, 2020",,0.547
"Nov 11, 2020",,0.548
"Nov 16, 2020",,0.55
"Nov 21, 2020",,0.551
"Nov 26, 2020",,0.551
"Dec 1, 2020",0.549,0.552
"Dec 6, 2020",,0.552
"Dec 11, 2020",0.588,0.552
"Dec 16, 2020",0.53,0.552
"Dec 21, 2020",,0.551
"Dec 26, 2020",,0.551
"Dec 31, 2020",,0.549
"Jan 5, 2021",,0.548
"Jan 10, 2021",0.555,0.546
"Jan 15, 2021",,0.545
"Jan 20, 2021",0.571,0.542
"Jan 25, 2021",,0.54
"Jan 30, 2021",0.55,0.538
"Feb 4, 2021",0.564,0.535
"Feb 9, 2021",,0.532
"Feb 14, 2021",0.538,0.529
"Feb 19, 2021",,0.526
"Feb 24, 2021",0.56,0.523
"Mar 1, 2021",0.524,0.52
"Mar 6, 2021",0.509,0.516
"Mar 11, 2021",0.523,0.513
"Mar 16, 2021",0.54,0.51
"Mar 21, 2021",,0.506
"Mar 26, 2021",0.582,0.503
"Mar 31, 2021",0.476,0.5
"Apr 5, 2021",,0.497
"Apr 10, 2021",0.59,0.494
"Apr 15, 2021",0.308,0.491
"Apr 20, 2021",0.5,0.488
"Apr 25, 2021",0.502,0.486
"Apr 30, 2021",,0.483
"May 5, 2021",,0.481
"May 10, 2021",,0.479
"May 15, 2021",0.378,0.478
