"","Date","detrend"
"1",2019-01-01,NA
"2",2019-01-06,0.001
"3",2019-01-11,0
"4",2019-01-16,0
"5",2019-01-21,0.001
"6",2019-01-26,0.001
"7",2019-01-31,0
"8",2019-02-05,0.001
"9",2019-02-10,0.001
"10",2019-02-15,0.001
"11",2019-02-20,0.001
"12",2019-02-25,0.001
"13",2019-03-02,0.001
"14",2019-03-07,0.001
"15",2019-03-12,0.001
"16",2019-03-17,0.001
"17",2019-03-22,0.001
"18",2019-03-27,0.002
"19",2019-04-01,0.001
"20",2019-04-06,0.001
"21",2019-04-11,0.001
"22",2019-04-16,0.001
"23",2019-04-21,0
"24",2019-04-26,0.001
"25",2019-05-01,0.001
"26",2019-05-06,0.001
"27",2019-05-11,0
"28",2019-05-16,0.001
"29",2019-05-21,0
"30",2019-05-26,0.001
"31",2019-05-31,0
"32",2019-06-05,0
"33",2019-06-10,0
"34",2019-06-15,0
"35",2019-06-20,-0.001
"36",2019-06-25,0
"37",2019-06-30,0
"38",2019-07-05,-0.001
"39",2019-07-15,-0.001
"40",2019-07-20,-0.001
"41",2019-07-25,-0.001
"42",2019-07-30,-0.001
"43",2019-08-04,-0.001
"44",2019-08-09,-0.001
"45",2019-08-14,-0.002
"46",2019-08-19,-0.001
"47",2019-08-24,-0.001
"48",2019-08-29,-0.002
"49",2019-09-03,-0.001
"50",2019-09-08,-0.001
"51",2019-09-13,-0.002
"52",2019-09-18,-0.001
"53",2019-09-28,-0.003
"54",2019-10-03,-0.002
"55",2019-10-08,-0.001
"56",2019-10-13,-0.001
"57",2019-10-18,-0.001
"58",2019-10-23,-0.002
"59",2019-10-28,-0.001
"60",2019-11-02,-0.001
"61",2019-11-07,-0.001
"62",2019-11-12,-0.001
"63",2019-11-17,0
"64",2019-11-22,-0.001
"65",2019-11-27,-0.001
"66",2019-12-02,0
"67",2019-12-07,-0.001
"68",2019-12-12,0
"69",2019-12-17,0
"70",2019-12-22,0
"71",2019-12-27,0
"72",2020-01-01,0
"73",2020-01-06,0.001
"74",2020-01-11,0
"75",2020-01-16,0
"76",2020-01-21,0.001
"77",2020-01-26,0.001
"78",2020-01-31,0
"79",2020-02-05,0.001
"80",2020-02-10,0.001
"81",2020-02-15,0.001
"82",2020-02-20,0.001
"83",2020-02-25,0.001
"84",2020-03-01,0.001
"85",2020-03-06,0.001
"86",2020-03-11,0.001
"87",2020-03-16,0.001
"88",2020-03-21,0.001
"89",2020-03-26,0.001
"90",2020-03-31,0.002
"91",2020-04-05,0.001
"92",2020-04-10,0.001
"93",2020-04-15,0.001
"94",2020-04-20,0
"95",2020-04-25,0.001
"96",2020-04-30,0.001
"97",2020-05-05,0.001
"98",2020-05-10,0
"99",2020-05-15,0.001
"100",2020-05-20,0
"101",2020-05-25,0
"102",2020-05-30,0.001
"103",2020-06-04,0
"104",2020-06-09,0
"105",2020-06-14,0
"106",2020-06-19,-0.001
"107",2020-06-24,0
"108",2020-06-29,0
"109",2020-07-04,-0.001
"110",2020-07-09,-0.001
"111",2020-07-14,0
"112",2020-07-19,-0.001
"113",2020-07-24,-0.001
"114",2020-07-29,-0.001
"115",2020-08-03,-0.001
"116",2020-08-08,-0.001
"117",2020-08-13,-0.002
"118",2020-08-18,-0.001
"119",2020-08-23,-0.001
"120",2020-08-28,-0.002
"121",2020-09-02,-0.001
"122",2020-09-07,-0.001
"123",2020-09-12,-0.002
"124",2020-09-17,-0.001
"125",2020-09-22,-0.002
"126",2020-09-27,-0.001
"127",2020-10-02,-0.001
"128",2020-10-07,-0.002
"129",2020-10-12,-0.001
"130",2020-10-17,-0.001
"131",2020-10-22,-0.002
"132",2020-10-27,-0.001
"133",2020-11-01,-0.001
"134",2020-11-06,-0.001
"135",2020-11-11,-0.001
"136",2020-11-16,0
"137",2020-11-21,-0.001
"138",2020-11-26,-0.001
"139",2020-12-01,0
"140",2020-12-06,-0.001
"141",2020-12-11,0
"142",2020-12-16,0
"143",2020-12-21,0
"144",2020-12-26,0
"145",2020-12-31,0
"146",2021-01-05,0
"147",2021-01-10,0.001
"148",2021-01-15,0
"149",2021-01-20,0.001
"150",2021-01-25,0.001
"151",2021-01-30,0
"152",2021-02-04,0.001
"153",2021-02-09,0.001
"154",2021-02-14,0.001
"155",2021-02-19,0.001
"156",2021-02-24,0.001
"157",2021-03-01,0.001
"158",2021-03-06,0.001
"159",2021-03-11,0.001
"160",2021-03-16,0.001
"161",2021-03-21,0.001
"162",2021-03-26,0.001
"163",2021-03-31,0.001
"164",2021-04-05,0.002
"165",2021-04-10,0.001
"166",2021-04-15,0
"167",2021-04-20,0.001
"168",2021-04-25,0.001
"169",2021-04-30,0.001
"170",2021-05-05,0.001
"171",2021-05-10,0
"172",2021-05-15,0.001
"173",2021-05-20,0
"174",2021-05-25,0
"175",2021-05-30,0.001
"176",2021-06-04,0
"177",2021-06-09,0
"178",2021-06-14,0
"179",2021-06-19,-0.001
"180",2021-06-24,0
