system:time_start,EVI_median,fitted
"Dec 17, 2018",0.594,0.653
"Dec 17, 2018",0.559,0.653
"Dec 17, 2018",0.617,0.653
"Dec 17, 2018",0.565,0.653
"Dec 22, 2018",0.578,0.655
"Dec 22, 2018",0.611,0.655
"Dec 22, 2018",0.634,0.655
"Dec 22, 2018",0.607,0.655
"Dec 27, 2018",,0.657
"Dec 27, 2018",,0.657
"Dec 27, 2018",,0.657
"Dec 27, 2018",,0.657
"Jan 1, 2019",0.557,0.659
"Jan 1, 2019",0.688,0.659
"Jan 1, 2019",0.843,0.659
"Jan 1, 2019",0.713,0.659
"Jan 6, 2019",0.621,0.66
"Jan 6, 2019",0.651,0.66
"Jan 6, 2019",0.575,0.66
"Jan 6, 2019",0.653,0.66
"Jan 11, 2019",,0.66
"Jan 11, 2019",,0.66
"Jan 11, 2019",,0.66
"Jan 11, 2019",,0.66
"Jan 16, 2019",0.697,0.66
"Jan 16, 2019",0.631,0.66
"Jan 16, 2019",0.701,0.66
"Jan 16, 2019",0.632,0.66
"Jan 21, 2019",0.664,0.659
"Jan 21, 2019",0.669,0.659
"Jan 21, 2019",0.673,0.659
"Jan 21, 2019",0.675,0.659
"Jan 26, 2019",0.688,0.657
"Jan 26, 2019",0.643,0.657
"Jan 26, 2019",0.69,0.657
"Jan 26, 2019",0.651,0.657
"Jan 31, 2019",0.715,0.655
"Jan 31, 2019",0.67,0.655
"Jan 31, 2019",0.684,0.655
"Jan 31, 2019",0.67,0.655
"Feb 5, 2019",0.569,0.653
"Feb 5, 2019",0.655,0.653
"Feb 5, 2019",0.572,0.653
"Feb 5, 2019",0.665,0.653
"Feb 10, 2019",0.673,0.65
"Feb 10, 2019",0.657,0.65
"Feb 10, 2019",0.673,0.65
"Feb 10, 2019",0.659,0.65
"Feb 15, 2019",0.399,0.646
"Feb 15, 2019",0.6,0.646
"Feb 15, 2019",0.44,0.646
"Feb 15, 2019",0.601,0.646
"Feb 20, 2019",,0.642
"Feb 20, 2019",,0.642
"Feb 20, 2019",,0.642
"Feb 20, 2019",,0.642
"Feb 25, 2019",0.599,0.638
"Feb 25, 2019",0.562,0.638
"Feb 25, 2019",0.596,0.638
"Feb 25, 2019",0.562,0.638
"Mar 2, 2019",,0.633
"Mar 2, 2019",,0.633
"Mar 2, 2019",,0.633
"Mar 2, 2019",,0.633
"Mar 7, 2019",,0.627
"Mar 7, 2019",0.643,0.627
"Mar 7, 2019",,0.627
"Mar 7, 2019",0.64,0.627
"Mar 12, 2019",0.54,0.622
"Mar 12, 2019",0.626,0.622
"Mar 12, 2019",0.541,0.622
"Mar 12, 2019",0.611,0.622
"Mar 17, 2019",0.582,0.616
"Mar 17, 2019",0.548,0.616
"Mar 17, 2019",0.58,0.616
"Mar 17, 2019",0.548,0.616
"Mar 22, 2019",,0.61
"Mar 22, 2019",,0.61
"Mar 22, 2019",,0.61
"Mar 22, 2019",,0.61
"Mar 27, 2019",,0.603
"Mar 27, 2019",,0.603
"Mar 27, 2019",,0.603
"Mar 27, 2019",,0.603
"Apr 1, 2019",0.647,0.597
"Apr 1, 2019",0.63,0.597
"Apr 1, 2019",0.651,0.597
"Apr 1, 2019",0.654,0.597
"Apr 6, 2019",0.621,0.59
"Apr 6, 2019",0.587,0.59
"Apr 6, 2019",0.621,0.59
"Apr 6, 2019",0.584,0.59
"Apr 11, 2019",0.582,0.583
"Apr 11, 2019",0.546,0.583
"Apr 11, 2019",0.568,0.583
"Apr 11, 2019",0.546,0.583
"Apr 16, 2019",,0.576
"Apr 16, 2019",,0.576
"Apr 16, 2019",,0.576
"Apr 16, 2019",,0.576
"Apr 21, 2019",,0.57
"Apr 21, 2019",0.55,0.57
"Apr 21, 2019",,0.57
"Apr 21, 2019",0.547,0.57
"Apr 26, 2019",,0.563
"Apr 26, 2019",0.643,0.563
"Apr 26, 2019",,0.563
"Apr 26, 2019",0.614,0.563
"May 1, 2019",,0.557
"May 1, 2019",,0.557
"May 1, 2019",,0.557
"May 1, 2019",,0.557
"May 6, 2019",,0.55
"May 6, 2019",,0.55
"May 6, 2019",,0.55
"May 6, 2019",,0.55
"May 11, 2019",0.553,0.544
"May 11, 2019",0.583,0.544
"May 11, 2019",0.54,0.544
"May 11, 2019",0.572,0.544
"May 16, 2019",,0.538
"May 16, 2019",,0.538
"May 16, 2019",,0.538
"May 16, 2019",,0.538
"May 21, 2019",,0.533
"May 21, 2019",0.55,0.533
"May 21, 2019",,0.533
"May 21, 2019",0.642,0.533
"May 26, 2019",,0.527
"May 26, 2019",,0.527
"May 26, 2019",,0.527
"May 26, 2019",,0.527
"May 31, 2019",0.333,0.522
"May 31, 2019",0.544,0.522
"May 31, 2019",0.337,0.522
"May 31, 2019",0.544,0.522
"Jun 5, 2019",0.532,0.518
"Jun 5, 2019",0.509,0.518
"Jun 5, 2019",0.518,0.518
