"","Date","detrend"
"1",2019-01-01,NA
"2",2019-01-06,0.004
"3",2019-01-11,0.004
"4",2019-01-16,0.004
"5",2019-01-21,0.004
"6",2019-01-26,0.004
"7",2019-01-31,0.004
"8",2019-02-05,0.004
"9",2019-02-10,0.004
"10",2019-02-15,0.004
"11",2019-02-20,0.003
"12",2019-02-25,0.004
"13",2019-03-02,0.003
"14",2019-03-07,0.003
"15",2019-03-12,0.003
"16",2019-03-17,0.002
"17",2019-03-22,0.002
"18",2019-03-27,0.002
"19",2019-04-01,0.002
"20",2019-04-06,0.001
"21",2019-04-11,0.001
"22",2019-04-16,0.001
"23",2019-04-21,0
"24",2019-04-26,0
"25",2019-05-01,-0.001
"26",2019-05-06,-0.001
"27",2019-05-11,-0.001
"28",2019-05-16,-0.002
"29",2019-05-21,-0.002
"30",2019-05-26,-0.002
"31",2019-05-31,-0.003
"32",2019-06-05,-0.003
"33",2019-06-10,-0.003
"34",2019-06-15,-0.003
"35",2019-06-20,-0.004
"36",2019-06-25,-0.004
"37",2019-06-30,-0.004
"38",2019-07-05,-0.004
"39",2019-07-15,-0.00900000000000001
"40",2019-07-20,-0.004
"41",2019-07-25,-0.005
"42",2019-07-30,-0.004
"43",2019-08-04,-0.005
"44",2019-08-09,-0.004
"45",2019-08-14,-0.004
"46",2019-08-19,-0.00399999999999989
"47",2019-08-24,-0.004
"48",2019-08-29,-0.004
"49",2019-09-03,-0.004
"50",2019-09-08,-0.003
"51",2019-09-13,-0.003
"52",2019-09-18,-0.003
"53",2019-09-28,-0.005
"54",2019-10-03,-0.002
"55",2019-10-08,-0.001
"56",2019-10-13,-0.001
"57",2019-10-18,-0.001
"58",2019-10-23,-0.001
"59",2019-10-28,0
"60",2019-11-02,0.001
"61",2019-11-07,0
"62",2019-11-12,0.001
"63",2019-11-17,0.002
"64",2019-11-22,0.001
"65",2019-11-27,0.002
"66",2019-12-02,0.003
"67",2019-12-07,0.002
"68",2019-12-12,0.003
"69",2019-12-17,0.003
"70",2019-12-22,0.004
"71",2019-12-27,0.003
"72",2020-01-01,0.004
"73",2020-01-06,0.00399999999999989
"74",2020-01-11,0.003
"75",2020-01-16,0.004
"76",2020-01-21,0.004
"77",2020-01-26,0.005
"78",2020-01-31,0.004
"79",2020-02-05,0.004
"80",2020-02-10,0.003
"81",2020-02-15,0.004
"82",2020-02-20,0.004
"83",2020-02-25,0.003
"84",2020-03-01,0.004
"85",2020-03-06,0.003
"86",2020-03-11,0.002
"87",2020-03-16,0.003
"88",2020-03-21,0.002
"89",2020-03-26,0.002
"90",2020-03-31,0.002
"91",2020-04-05,0.001
"92",2020-04-10,0.001
"93",2020-04-15,0
"94",2020-04-20,0.001
"95",2020-04-25,-0.001
"96",2020-04-30,0
"97",2020-05-05,-0.001
"98",2020-05-10,-0.001
"99",2020-05-15,-0.002
"100",2020-05-20,-0.002
"101",2020-05-25,-0.002
"102",2020-05-30,-0.003
"103",2020-06-04,-0.003
"104",2020-06-09,-0.003
"105",2020-06-14,-0.003
"106",2020-06-19,-0.004
"107",2020-06-24,-0.004
"108",2020-06-29,-0.004
"109",2020-07-04,-0.004
"110",2020-07-09,-0.004
"111",2020-07-14,-0.005
"112",2020-07-19,-0.004
"113",2020-07-24,-0.005
"114",2020-07-29,-0.004
"115",2020-08-03,-0.00399999999999989
"116",2020-08-08,-0.005
"117",2020-08-13,-0.004
"118",2020-08-18,-0.004
"119",2020-08-23,-0.004
"120",2020-08-28,-0.004
"121",2020-09-02,-0.004
"122",2020-09-07,-0.003
"123",2020-09-12,-0.003
"124",2020-09-17,-0.003
"125",2020-09-22,-0.003
"126",2020-09-27,-0.002
"127",2020-10-02,-0.002
"128",2020-10-07,-0.001
"129",2020-10-12,-0.001
"130",2020-10-17,-0.001
"131",2020-10-22,-0.001
"132",2020-10-27,0
"133",2020-11-01,0
"134",2020-11-06,0.001
"135",2020-11-11,0.001
"136",2020-11-16,0.001
"137",2020-11-21,0.002
"138",2020-11-26,0.002
"139",2020-12-01,0.002
"140",2020-12-06,0.003
"141",2020-12-11,0.003
"142",2020-12-16,0.003
"143",2020-12-21,0.003
"144",2020-12-26,0.004
"145",2020-12-31,0.003
"146",2021-01-05,0.004
"147",2021-01-10,0.004
"148",2021-01-15,0.004
"149",2021-01-20,0.004
"150",2021-01-25,0.004
"151",2021-01-30,0.00399999999999989
"152",2021-02-04,0.004
"153",2021-02-09,0.004
"154",2021-02-14,0.004
"155",2021-02-19,0.004
"156",2021-02-24,0.003
"157",2021-03-01,0.003
"158",2021-03-06,0.003
"159",2021-03-11,0.003
"160",2021-03-16,0.003
"161",2021-03-21,0.002
"162",2021-03-26,0.002
"163",2021-03-31,0.001
"164",2021-04-05,0.002
"165",2021-04-10,0.001
"166",2021-04-15,0
"167",2021-04-20,0
"168",2021-04-25,0
"169",2021-04-30,0
"170",2021-05-05,-0.001
"171",2021-05-10,-0.001
"172",2021-05-15,-0.002
"173",2021-05-20,-0.002
"174",2021-05-25,-0.002
"175",2021-05-30,-0.003
"176",2021-06-04,-0.003
"177",2021-06-09,-0.003
"178",2021-06-14,-0.003
"179",2021-06-19,-0.004
"180",2021-06-24,-0.004
"181",2021-06-29,-0.004
"182",2021-07-04,-0.004
"183",2021-07-09,-0.004
"184",2021-07-14,-0.00499999999999989
"185",2021-07-19,-0.004
"186",2021-07-24,-0.004
"187",2021-07-29,-0.005
"188",2021-08-03,-0.004
"189",2021-08-08,-0.005
"190",2021-08-13,-0.004
"191",2021-08-18,-0.004
"192",2021-08-23,-0.004
"193",2021-08-28,-0.004
"194",2021-09-02,-0.004
"195",2021-09-07,-0.003
"196",2021-09-12,-0.003
"197",2021-09-17,-0.003
"198",2021-09-22,-0.003
"199",2021-09-27,-0.002
"200",2021-10-02,-0.002
"201",2021-10-07,-0.001
"202",2021-10-12,-0.002
"203",2021-10-17,0
"204",2021-10-22,-0.001
"205",2021-10-27,0
"206",2021-11-01,0
"207",2021-11-06,0.001
"208",2021-11-11,0.001
"209",2021-11-16,0.001
"210",2021-11-21,0.002
"211",2021-11-26,0.002
"212",2021-12-01,0.002
"213",2021-12-06,0.003
"214",2021-12-11,0.003
"215",2021-12-16,0.003
"216",2021-12-21,0.003
"217",2021-12-26,0.003
"218",2021-12-31,0.004
