"","date","EVI2_hectareID_27","EVI2_sd_hectareID_27","EVI2_hectareID_26","EVI2_sd_hectareID_26","EVI2_hectareID_17","EVI2_sd_hectareID_17","EVI2_hectareID_24","EVI2_sd_hectareID_24","EVI2_hectareID_09","EVI2_sd_hectareID_09","EVI2_hectareID_11","EVI2_sd_hectareID_11","EVI2_hectareID_31","EVI2_sd_hectareID_31","EVI2_hectareID_07","EVI2_sd_hectareID_07","EVI2_hectareID_08","EVI2_sd_hectareID_08","EVI2_hectareID_12","EVI2_sd_hectareID_12","EVI2_hectareID_24","EVI2_sd_hectareID_24","EVI2_hectareID_25","EVI2_sd_hectareID_25","EVI2_hectareID_28","EVI2_sd_hectareID_28","EVI2_hectareID_18","EVI2_sd_hectareID_18","EVI2_hectareID_03","EVI2_sd_hectareID_03","EVI2_hectareID_30","EVI2_sd_hectareID_30","EVI2_hectareID_14","EVI2_sd_hectareID_14","EVI2_hectareID_04","EVI2_sd_hectareID_04","EVI2_hectareID_06","EVI2_sd_hectareID_06","EVI2_hectareID_20","EVI2_sd_hectareID_20","EVI2_hectareID_23","EVI2_sd_hectareID_23","EVI2_hectareID_05","EVI2_sd_hectareID_05","EVI2_hectareID_16","EVI2_sd_hectareID_16","EVI2_hectareID_01","EVI2_sd_hectareID_01","EVI2_hectareID_21","EVI2_sd_hectareID_21","EVI2_hectareID_02","EVI2_sd_hectareID_02","EVI2_hectareID_15","EVI2_sd_hectareID_15","EVI2_hectareID_13","EVI2_sd_hectareID_13","EVI2_hectareID_22","EVI2_sd_hectareID_22","EVI2_hectareID_19","EVI2_sd_hectareID_19","EVI2_hectareID_10","EVI2_sd_hectareID_10","EVI2_hectareID_29","EVI2_sd_hectareID_29"
"1",2018-12-17,NA,NA,NA,NA,NA,NA,0.561238,0,NA,NA,NA,NA,0.540162,0,NA,NA,0.565263,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651365,0,0.550605,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.577462,0,0.616073,0,NA,NA,NA,NA,0.553094,0,NA,NA,0.584075,0,NA,NA,NA,NA,0.511683,0
"2",2018-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.530928,0
"3",2019-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.550806,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569862,0,NA,NA,NA,NA,NA,NA
"4",2019-01-06,NA,NA,NA,NA,NA,NA,NA,NA,0.556872,0,0.485581,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52017,0,NA,NA,NA,NA,NA,NA,0.558338,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2019-01-21,0.556087,0,NA,NA,0.568536,0,NA,NA,NA,NA,NA,NA,0.566624,0,NA,NA,NA,NA,NA,NA,0.547428,0,0.585399,0,NA,NA,NA,NA,NA,NA,0.556797,0,NA,NA,NA,NA,NA,NA,0.534301,0,NA,NA,NA,NA,NA,NA,NA,NA,0.546675,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2019-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669143,0,NA,NA,NA,NA,0.679146,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5493,0
"7",2019-01-31,NA,NA,NA,NA,0.560984,0,0.551792,0,NA,NA,NA,NA,0.560896,0,0.66123,0,0.601373,0,0.55103,0,0.53424,0,NA,NA,0.536149,0,NA,NA,0.629038,0,0.529444,0,NA,NA,NA,NA,NA,NA,0.531172,0,NA,NA,NA,NA,NA,NA,NA,NA,0.54572,0,NA,NA,NA,NA,NA,NA,0.587439,0,NA,NA,NA,NA,0.524225,0
"8",2019-02-05,NA,NA,NA,NA,NA,NA,0.558013,0,NA,NA,NA,NA,NA,NA,NA,NA,0.360395,0,NA,NA,0.514135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.599098,0,NA,NA,0.38055,0,0.59384,0,NA,NA,0.51849,0,NA,NA,0.623062,0,NA,NA,NA,NA,0.551167,0,NA,NA,NA,NA,NA,NA
"9",2019-02-10,NA,NA,NA,NA,NA,NA,NA,NA,0.577227,0,0.152564,0,NA,NA,NA,NA,0.569427,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.597922,0,NA,NA,NA,NA,0.57362,0,0.420218,0,0.22798,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2019-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.658782,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
