"","date","NDVI_hectareID_27","NDVI_sd_hectareID_27","NDVI_hectareID_26","NDVI_sd_hectareID_26","NDVI_hectareID_17","NDVI_sd_hectareID_17","NDVI_hectareID_24","NDVI_sd_hectareID_24","NDVI_hectareID_09","NDVI_sd_hectareID_09","NDVI_hectareID_11","NDVI_sd_hectareID_11","NDVI_hectareID_31","NDVI_sd_hectareID_31","NDVI_hectareID_07","NDVI_sd_hectareID_07","NDVI_hectareID_08","NDVI_sd_hectareID_08","NDVI_hectareID_12","NDVI_sd_hectareID_12","NDVI_hectareID_24","NDVI_sd_hectareID_24","NDVI_hectareID_25","NDVI_sd_hectareID_25","NDVI_hectareID_28","NDVI_sd_hectareID_28","NDVI_hectareID_18","NDVI_sd_hectareID_18","NDVI_hectareID_03","NDVI_sd_hectareID_03","NDVI_hectareID_30","NDVI_sd_hectareID_30","NDVI_hectareID_14","NDVI_sd_hectareID_14","NDVI_hectareID_04","NDVI_sd_hectareID_04","NDVI_hectareID_06","NDVI_sd_hectareID_06","NDVI_hectareID_20","NDVI_sd_hectareID_20","NDVI_hectareID_23","NDVI_sd_hectareID_23","NDVI_hectareID_05","NDVI_sd_hectareID_05","NDVI_hectareID_16","NDVI_sd_hectareID_16","NDVI_hectareID_01","NDVI_sd_hectareID_01","NDVI_hectareID_21","NDVI_sd_hectareID_21","NDVI_hectareID_02","NDVI_sd_hectareID_02","NDVI_hectareID_15","NDVI_sd_hectareID_15","NDVI_hectareID_13","NDVI_sd_hectareID_13","NDVI_hectareID_22","NDVI_sd_hectareID_22","NDVI_hectareID_19","NDVI_sd_hectareID_19","NDVI_hectareID_10","NDVI_sd_hectareID_10","NDVI_hectareID_29","NDVI_sd_hectareID_29"
"1",2018-12-17,NA,NA,NA,NA,NA,NA,0.876822,0,NA,NA,NA,NA,0.874764,0,NA,NA,0.875543,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868809,0,0.874578,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863693,0,0.86911,0,NA,NA,NA,NA,0.85632,0,NA,NA,0.879279,0,NA,NA,NA,NA,0.86588,0
"2",2018-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83735,0
"3",2019-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794107,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808905,0,NA,NA,NA,NA,NA,NA
"4",2019-01-06,NA,NA,NA,NA,NA,NA,NA,NA,0.695071,0,0.624452,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685257,0,NA,NA,NA,NA,NA,NA,0.834476,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2019-01-21,0.861844,0,NA,NA,0.868765,0,NA,NA,NA,NA,NA,NA,0.884517,0,NA,NA,NA,NA,NA,NA,0.865381,0,0.893472,0,NA,NA,NA,NA,NA,NA,0.8924,0,NA,NA,NA,NA,NA,NA,0.857428,0,NA,NA,NA,NA,NA,NA,NA,NA,0.861915,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2019-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882744,0,NA,NA,NA,NA,0.889409,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873393,0
"7",2019-01-31,NA,NA,NA,NA,0.873085,0,0.890773,0,NA,NA,NA,NA,0.892136,0,0.885908,0,0.879518,0,0.867011,0,0.862108,0,NA,NA,0.88665,0,NA,NA,0.887337,0,0.889091,0,NA,NA,NA,NA,NA,NA,0.862648,0,NA,NA,NA,NA,NA,NA,NA,NA,0.869528,0,NA,NA,NA,NA,NA,NA,0.888042,0,NA,NA,NA,NA,0.880194,0
"8",2019-02-05,NA,NA,NA,NA,NA,NA,0.87003,0,NA,NA,NA,NA,NA,NA,NA,NA,0.84537,0,NA,NA,0.766247,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.878559,0,NA,NA,0.848564,0,0.878142,0,NA,NA,0.871888,0,NA,NA,0.883656,0,NA,NA,NA,NA,0.795858,0,NA,NA,NA,NA,NA,NA
"9",2019-02-10,NA,NA,NA,NA,NA,NA,NA,NA,0.852251,0,0.663834,0,NA,NA,NA,NA,0.840366,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84921,0,NA,NA,NA,NA,0.838207,0,0.523211,0,0.794998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2019-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.842683,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2019-02-20,0.849035,0,0.846735,0,0.861737,0,0.876605,0,0.843689,0,0.850049,0,0.873587,0,0.847577,0,NA,NA,0.850595,0,0.859455,0,0.879367,0,0.873491,0,0.845562,0,0.856216,0,0.872328,0,0.847186,0,0.864404,0,0.844277,0,0.846641,0,0.857143,0,0.838131,0,0.864207,0,0.823881,0,0.857055,0,0.843523,0,0.853495,0,0.852394,0,0.87686,0,0.861836,0,0.832938,0,0.858854,0
"12",2019-02-25,0.835684,0,0.838812,0,0.873055,0,0.880914,0,0.890698,0,0.872152,0,NA,NA,0.888134,0,0.878894,0,0.869661,0,0.863304,0,0.87592,0,0.853782,0,0.860726,0,0.888035,0,0.841048,0,0.862614,0,0.894469,0,0.885874,0,0.85691,0,0.864206,0,0.886999,0,0.884509,0,0.875691,0,0.864676,0,0.876431,0,0.866159,0,0.862952,0,0.882918,0,0.878519,0,0.861592,0,0.836923,0
"13",2019-03-02,0.809884,0,0.793814,0,NA,NA,0.819767,0,NA,NA,NA,NA,0.867977,0,NA,NA,NA,NA,0.788211,0,NA,NA,0.656611,0,NA,NA,0.774066,0,NA,NA,0.864935,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.600194,0,NA,NA,NA,NA,NA,NA
"14",2019-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.876944,0,NA,NA,0.888021,0,NA,NA,0.898111,0,NA,NA,NA,NA,NA,NA,0.887628,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2019-03-17,0.830242,0,NA,NA,NA,NA,NA,NA,NA,NA,0.798046,0,NA,NA,NA,NA,NA,NA,0.841068,0,NA,NA,NA,NA,0.861608,0,NA,NA,NA,NA,NA,NA,NA,NA,0.885362,0,0.844699,0,NA,NA,0.847777,0,0.846377,0,NA,NA,NA,NA,NA,NA,NA,NA,0.822597,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2019-03-27,NA,NA,NA,NA,NA,NA,0.861111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.853083,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.758963,0,NA,NA,NA,NA,NA,NA
"17",2019-04-01,0.831022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.862285,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2019-04-06,NA,NA,NA,NA,0.86455,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884312,0,NA,NA,NA,NA,0.864493,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2019-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857285,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2019-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.848046,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2019-04-26,NA,NA,0.647959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.859728,0,NA,NA,NA,NA,NA,NA,0.856731,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2019-05-01,NA,NA,0.801594,0,NA,NA,NA,NA,NA,NA,0.841102,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2019-05-11,NA,NA,NA,NA,0.721631,0,0.763071,0,0.866186,0,0.859835,0,NA,NA,0.88325,0,0.856465,0,0.858471,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.837932,0,0.881119,0,0.880405,0,NA,NA,NA,NA,0.812182,0,0.837707,0,0.810381,0,NA,NA,NA,NA,0.852284,0,0.771361,0,0.878161,0,NA,NA,NA,NA,NA,NA
"24",2019-05-21,NA,NA,NA,NA,0.835552,0,0.845578,0,0.838045,0,0.822156,0,NA,NA,0.842227,0,NA,NA,0.822712,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81776,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.839866,0,NA,NA,NA,NA,NA,NA
"25",2019-05-26,0.872994,0,0.872566,0,0.884695,0,0.891533,0,0.89573,0,0.879916,0,0.889297,0,0.892971,0,0.884374,0,0.871064,0,0.889011,0,0.890305,0,0.889753,0,0.878243,0,0.743353,0,0.894176,0,0.86897,0,0.895781,0,0.893638,0,0.88008,0,0.878067,0,0.87051,0,0.888442,0,0.889582,0,0.87388,0,0.842354,0,0.871535,0,0.875138,0,0.889067,0,0.885356,0,0.876326,0,0.884851,0
"26",2019-05-31,NA,NA,0.84657,0,0.901203,0,0.903308,0,0.887099,0,0.896494,0,0.895273,0,NA,NA,NA,NA,0.892772,0,0.867233,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.642897,0,NA,NA,0.886551,0,0.898073,0,0.884475,0,0.918788,0,0.901374,0,0.896552,0,NA,NA,0.894418,0,NA,NA,NA,NA,0.864125,0,0.886212,0,NA,NA
"27",2019-06-10,0.886827,0,NA,NA,0.894578,0,0.899529,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.906675,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884916,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.886822,0,NA,NA,NA,NA,0.882655,0,NA,NA,0.611086,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769308,0,NA,NA,NA,NA,NA,NA
