"","date","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA","EVI2_hectareID_NA","EVI2_sd_hectareID_NA"
"1",2018-12-15,NA,NA,0.641474,0,NA,NA,0.600467,0,NA,NA,NA,NA,0.608077,0,0.642166,0,NA,NA,0.636645,0,0.601977,0,NA,NA,0.561171,0,0.559135,0,NA,NA,NA,NA,NA,NA,0.568861,0,0.624695,0,NA,NA,0.53021,0,0.57432,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.618465,0,NA,NA,NA,NA,0.620339,0,NA,NA,NA,NA,0.594819,0,NA,NA,NA,NA,NA,NA,0.582666,0,NA,NA,NA,NA,0.088567,0,NA,NA,NA,NA,NA,NA,0.583343,0,NA,NA,NA,NA,0.699347,0,NA,NA,NA,NA,NA,NA,-0.035911,0,0.519812,0,NA,NA,NA,NA,0.3868,0,NA,NA,0.582033,0,NA,NA,0.570102,0,NA,NA,NA,NA,0.600862,0,0.597671,0,0.61552,0,NA,NA,NA,NA,NA,NA,0.634216,0,NA,NA,NA,NA,NA,NA,0.561717,0,0.535834,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.310152,0,0.587878,0,0.601244,0,NA,NA,NA,NA,NA,NA,NA,NA,0.62943,0,NA,NA,NA,NA,NA,NA,NA,NA,0.577668,0,NA,NA,NA,NA,0.65778,0,0.690286,0,NA,NA,NA,NA,NA,NA,0.549431,0,0.577626,0
"2",2018-12-20,0.168068,0,NA,NA,0.541709,0,0.411986,0,NA,NA,0.42679,0,NA,NA,NA,NA,0.5309,0,0.615206,0,NA,NA,NA,NA,0.543115,0,0.549858,0,0.601855,0,NA,NA,NA,NA,NA,NA,NA,NA,0.549274,0,NA,NA,0.515137,0,NA,NA,NA,NA,0.541726,0,NA,NA,NA,NA,0.36775,0,0.589228,0,-0.01863,0,0.509189,0,NA,NA,0.549699,0,0.455002,0,0.557473,0,0.332538,0,NA,NA,0.555914,0,0.575449,0,NA,NA,NA,NA,0.14681,0,0.632327,0,0.647052,0,0.583998,0,0.544794,0,NA,NA,NA,NA,0.600601,0,0.56014,0,NA,NA,0.583051,0,-0.029497,0,NA,NA,0.601246,0,0.527502,0,NA,NA,NA,NA,NA,NA,NA,NA,0.546134,0,NA,NA,NA,NA,0.576669,0,0.572996,0,0.590266,0,0.551603,0,0.37473,0,0.599225,0,NA,NA,0.439375,0,0.236942,0,0.014382,0,0.595403,0,0.532963,0,0.568265,0,0.579143,0,0.56162,0,NA,NA,0.620317,0,NA,NA,0.574819,0,0.578161,0,0.519095,0,NA,NA,NA,NA,NA,NA,0.588068,0,NA,NA,0.610934,0,0.618731,0,0.327436,0,NA,NA,NA,NA,0.562681,0,NA,NA,0.607411,0,0.552929,0,NA,NA,NA,NA,0.449038,0,0.572195,0
"3",2019-01-09,-0.010044,0,0.637927,0,NA,NA,0.606267,0,0.423031,0,NA,NA,0.596672,0,0.659089,0,0.602939,0,0.642728,0,0.448293,0,NA,NA,0.545739,0,NA,NA,0.636512,0,0.492189,0,0.578095,0,NA,NA,0.619587,0,NA,NA,NA,NA,NA,NA,NA,NA,0.59822,0,NA,NA,NA,NA,0.543534,0,NA,NA,NA,NA,-0.018971,0,NA,NA,NA,NA,NA,NA,NA,NA,0.605501,0,NA,NA,NA,NA,NA,NA,0.62116,0,NA,NA,NA,NA,0.155294,0,NA,NA,0.663241,0,0.612496,0,0.515841,0,NA,NA,NA,NA,0.721764,0,0.574233,0,0.609581,0,0.609989,0,-0.01215,0,NA,NA,NA,NA,0.562954,0,NA,NA,NA,NA,NA,NA,NA,NA,0.592563,0,NA,NA,NA,NA,0.610118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.640967,0,0.458637,0,NA,NA,NA,NA,NA,NA,NA,NA,0.606605,0,0.569934,0,0.579141,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638163,0,NA,NA,NA,NA,0.594546,0,NA,NA,0.583104,0,0.651031,0,0.619849,0,0.551394,0,0.617211,0,NA,NA,0.561091,0,0.598396,0
"4",2019-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627288,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562351,0,NA,NA,NA,NA,0.552219,0,NA,NA,NA,NA,NA,NA,NA,NA,0.565549,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.613144,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564445,0,NA,NA,NA,NA,NA,NA,NA,NA,0.59746,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.630177,0,NA,NA,NA,NA,NA,NA,NA,NA,0.609355,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2019-01-19,-0.008009,0,NA,NA,0.546013,0,0.588534,0,0.596359,0,0.456593,0,NA,NA,0.603295,0,0.566161,0,0.599309,0,0.546039,0,0.106036,0,0.352571,0,0.554195,0,0.616048,0,0.42542,0,0.512584,0,NA,NA,0.581786,0,NA,NA,0.531728,0,0.557137,0,0.573856,0,0.563037,0,NA,NA,0.527692,0,0.490851,0,0.611589,0,NA,NA,-0.016542,0,0.513291,0,0.575559,0,0.321948,0,NA,NA,0.584208,0,0.313013,0,NA,NA,0.508295,0,0.465043,0,0.168677,0,0.286719,0,0.132914,0,0.629254,0,NA,NA,0.599784,0,0.554338,0,0.592244,0,0.258436,0,0.672871,0,0.547099,0,0.577268,0,0.578025,0,-0.020278,0,0.672527,0,0.597392,0,0.544895,0,0.54287,0,0.585097,0,0.599741,0,0.554446,0,0.561394,0,NA,NA,NA,NA,0.585413,0,0.584771,0,0.614862,0,0.58955,0,0.309049,0,0.594652,0,0.615525,0,0.419762,0,NA,NA,-0.004198,0,0.615987,0,0.537767,0,0.591032,0,0.557863,0,0.564343,0,0.364519,0,0.619167,0,0.613666,0,0.570993,0,0.581903,0,0.580135,0,0.583452,0,0.004117,0,0.440802,0,0.473329,0,0.526882,0,0.628409,0,0.572867,0,0.532558,0,0.591214,0,0.544733,0,0.460918,0,0.609012,0,0.63254,0,0.553819,0,0.602599,0,0.603313,0,NA,NA,0.577869,0
"6",2019-01-24,NA,NA,0.63209,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623134,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515788,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.660275,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498621,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.661528,0,NA,NA,NA,NA,NA,NA
"7",2019-01-29,0.000928,0,0.618932,0,NA,NA,NA,NA,NA,NA,0.469747,0,NA,NA,NA,NA,0.566735,0,NA,NA,NA,NA,0.116202,0,0.461166,0,NA,NA,0.625098,0,NA,NA,NA,NA,0.566859,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.429589,0,NA,NA,NA,NA,NA,NA,0.615407,0,0.514624,0,-0.005137,0,NA,NA,0.610906,0,NA,NA,NA,NA,NA,NA,NA,NA,0.38706,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.540027,0,0.575169,0,0.273663,0,NA,NA,NA,NA,NA,NA,0.58756,0,-0.010797,0,NA,NA,NA,NA,NA,NA,0.571744,0,0.59454,0,NA,NA,NA,NA,0.557498,0,NA,NA,0.561806,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.599096,0,0.615284,0,0.391032,0,NA,NA,0.005114,0,NA,NA,NA,NA,0.621152,0,NA,NA,0.561396,0,0.622537,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024122,0,0.460778,0,0.571028,0,0.537408,0,0.613763,0,0.606526,0,NA,NA,0.593663,0,0.556862,0,NA,NA,NA,NA,NA,NA,0.556222,0,NA,NA,NA,NA,NA,NA,NA,NA
"8",2019-02-03,-0.016414,0,0.592632,0,0.507891,0,0.572733,0,0.517257,0,0.461538,0,0.516987,0,0.577467,0,0.559313,0,0.568277,0,0.515912,0,0.135324,0,0.477029,0,0.534639,0,0.610647,0,0.360009,0,0.511398,0,0.567837,0,0.558255,0,0.505726,0,0.50717,0,0.545771,0,0.558193,0,0.545193,0,0.509036,0,0.494912,0,0.459654,0,0.598956,0,0.585319,0,-0.019988,0,0.474662,0,0.588844,0,0.516345,0,0.412412,0,0.558383,0,0.331879,0,0.375388,0,0.540352,0,0.577019,0,0.167811,0,0.548801,0,0.13146,0,0.608877,0,0.590306,0,0.590295,0,0.516786,0,0.563138,0,0.243412,0,0.655612,0,0.393721,0,0.541993,0,0.536062,0,-0.034366,0,0.254302,0,0.565134,0,0.51335,0,0.520381,0,0.568631,0,0.59676,0,0.510627,0,0.529234,0,0.596165,0,0.528263,0,0.563156,0,0.529946,0,0.577966,0,0.5375,0,0.31992,0,0.575556,0,0.570586,0,0.368617,0,0.556395,0,-0.004969,0,0.576148,0,0.532643,0,0.584191,0,0.520252,0,0.551003,0,0.607713,0,0.590694,0,0.58438,0,0.535466,0,0.535985,0,0.557986,0,0.56262,0,-0.00447,0,0.410331,0,0.525631,0,0.529754,0,0.602727,0,0.532516,0,0.504841,0,0.573794,0,0.536293,0,0.543636,0,0.586036,0,0.59441,0,0.543302,0,0.593973,0,0.582329,0,0.553418,0,0.555331,0
"9",2019-02-13,NA,NA,0.426061,0,0.489029,0,0.550711,0,0.449919,0,NA,NA,0.478477,0,NA,NA,NA,NA,0.532357,0,NA,NA,NA,NA,0.450321,0,NA,NA,NA,NA,0.359972,0,NA,NA,0.538646,0,NA,NA,NA,NA,0.464417,0,NA,NA,0.493725,0,0.554225,0,NA,NA,0.443528,0,NA,NA,0.560632,0,0.289899,0,NA,NA,NA,NA,0.568856,0,0.528429,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.558135,0,NA,NA,0.535537,0,0.132093,0,NA,NA,NA,NA,NA,NA,0.514184,0,NA,NA,NA,NA,0.622075,0,NA,NA,NA,NA,NA,NA,0.023998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469809,0,NA,NA,0.592843,0,0.499279,0,0.496007,0,0.499548,0,0.578085,0,NA,NA,NA,NA,NA,NA,NA,NA,0.340141,0,NA,NA,NA,NA,0.568935,0,NA,NA,0.537339,0,0.521044,0,0.500245,0,NA,NA,NA,NA,NA,NA,NA,NA,0.540221,0,NA,NA,0.500837,0,NA,NA,0.39427,0,NA,NA,NA,NA,0.590845,0,NA,NA,0.472122,0,0.573185,0,NA,NA,0.522572,0,NA,NA,NA,NA,0.531496,0,0.563887,0,NA,NA,NA,NA,0.510984,0
"10",2019-02-18,NA,NA,0.431641,0,NA,NA,NA,NA,0.342216,0,NA,NA,0.405855,0,NA,NA,NA,NA,NA,NA,0.576682,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546133,0,NA,NA,NA,NA,NA,NA,0.345525,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.486837,0,NA,NA,NA,NA,NA,NA,0.51104,0,NA,NA,NA,NA,NA,NA,NA,NA,0.281023,0,NA,NA,0.512195,0,NA,NA,0.216958,0,NA,NA,NA,NA,NA,NA,0.556483,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.471775,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.581499,0,NA,NA,NA,NA,NA,NA,0.585722,0,0.62074,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6013,0,NA,NA,0.529073,0,NA,NA,NA,NA,0.561521,0,NA,NA,NA,NA,0.604614,0,NA,NA,0.606938,0,NA,NA,NA,NA,0.501863,0,NA,NA,NA,NA,0.490093,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.470167,0,NA,NA,NA,NA,0.606234,0,NA,NA,0.637916,0,NA,NA,NA,NA,NA,NA
