"","date","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA","EVI_hectareID_NA","EVI_sd_hectareID_NA"
"1",2018-12-15,NA,NA,0.729363,0,NA,NA,0.673355,0,NA,NA,NA,NA,0.697642,0,0.724252,0,NA,NA,0.723964,0,0.68188,0,NA,NA,0.640722,0,0.637714,0,NA,NA,NA,NA,NA,NA,0.648501,0,0.708766,0,NA,NA,0.593979,0,0.650448,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.702929,0,NA,NA,NA,NA,0.704524,0,NA,NA,NA,NA,0.67392,0,NA,NA,NA,NA,NA,NA,0.662858,0,NA,NA,NA,NA,0.103255,0,NA,NA,NA,NA,NA,NA,0.664322,0,NA,NA,NA,NA,0.798459,0,NA,NA,NA,NA,NA,NA,-0.04209,0,0.586283,0,NA,NA,NA,NA,0.611837,0,NA,NA,0.661671,0,NA,NA,0.641804,0,NA,NA,NA,NA,0.679752,0,0.677886,0,0.69873,0,NA,NA,NA,NA,NA,NA,0.722384,0,NA,NA,NA,NA,NA,NA,0.637292,0,0.606079,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.457907,0,0.668092,0,0.684688,0,NA,NA,NA,NA,NA,NA,NA,NA,0.718279,0,NA,NA,NA,NA,NA,NA,NA,NA,0.653174,0,NA,NA,NA,NA,0.743385,0,0.785368,0,NA,NA,NA,NA,NA,NA,0.65523,0,0.653857,0
"2",2018-12-20,0.225514,0,NA,NA,0.597411,0,0.461025,0,NA,NA,0.46818,0,NA,NA,NA,NA,0.582421,0,0.677766,0,NA,NA,NA,NA,0.598966,0,0.605821,0,0.661419,0,NA,NA,NA,NA,NA,NA,NA,NA,0.606351,0,NA,NA,0.574938,0,NA,NA,NA,NA,0.622491,0,NA,NA,NA,NA,0.401499,0,0.647142,0,-0.022375,0,0.564883,0,NA,NA,0.600601,0,0.573047,0,0.613767,0,0.341457,0,NA,NA,0.610813,0,0.630591,0,NA,NA,NA,NA,0.162761,0,0.700184,0,0.715155,0,0.64545,0,0.59936,0,NA,NA,NA,NA,0.686652,0,0.616878,0,NA,NA,0.639783,0,-0.032891,0,NA,NA,0.662589,0,0.578177,0,NA,NA,NA,NA,NA,NA,NA,NA,0.594714,0,NA,NA,NA,NA,0.647467,0,0.630563,0,0.650218,0,0.608669,0,0.410594,0,0.659462,0,NA,NA,0.467044,0,0.299915,0,0.016705,0,0.657895,0,0.587177,0,0.626639,0,0.63549,0,0.617763,0,NA,NA,0.684167,0,NA,NA,0.629158,0,0.638522,0,0.568146,0,NA,NA,NA,NA,NA,NA,0.644496,0,NA,NA,0.670643,0,0.678918,0,0.573178,0,NA,NA,NA,NA,0.618366,0,NA,NA,0.669651,0,0.601105,0,NA,NA,NA,NA,0.532619,0,0.628795,0
"3",2019-01-09,-0.011541,0,0.690156,0,NA,NA,0.65549,0,0.44849,0,NA,NA,0.65392,0,0.716416,0,0.650916,0,0.703828,0,0.48558,0,NA,NA,0.596913,0,NA,NA,0.692539,0,0.522918,0,0.628225,0,NA,NA,0.674237,0,NA,NA,NA,NA,NA,NA,NA,NA,0.652042,0,NA,NA,NA,NA,0.601357,0,NA,NA,NA,NA,-0.022346,0,NA,NA,NA,NA,NA,NA,NA,NA,0.663152,0,NA,NA,NA,NA,NA,NA,0.678775,0,NA,NA,NA,NA,0.174519,0,NA,NA,0.725774,0,0.669787,0,0.636364,0,NA,NA,NA,NA,0.789409,0,0.629661,0,0.667106,0,0.664241,0,-0.013297,0,NA,NA,NA,NA,0.616272,0,NA,NA,NA,NA,NA,NA,NA,NA,0.642247,0,NA,NA,NA,NA,0.663265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701813,0,0.475874,0,NA,NA,NA,NA,NA,NA,NA,NA,0.660431,0,0.620345,0,0.631701,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69575,0,NA,NA,NA,NA,0.645999,0,NA,NA,0.63853,0,0.70735,0,0.682244,0,0.595229,0,0.669938,0,NA,NA,0.608783,0,0.651944,0
"4",2019-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.737397,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.728122,0,NA,NA,NA,NA,0.643676,0,NA,NA,NA,NA,NA,NA,NA,NA,0.662488,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.705697,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.717114,0,NA,NA,NA,NA,NA,NA,NA,NA,0.693523,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733315,0,NA,NA,NA,NA,NA,NA,NA,NA,0.699673,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2019-01-19,-0.009028,0,NA,NA,0.589083,0,0.631717,0,0.644002,0,0.490811,0,NA,NA,0.646294,0,0.610658,0,0.646991,0,0.585351,0,0.120178,0,0.378294,0,0.597585,0,0.665896,0,0.445633,0,0.54902,0,NA,NA,0.626485,0,NA,NA,0.567485,0,0.60093,0,0.618137,0,0.606431,0,NA,NA,0.572245,0,0.533084,0,0.660918,0,NA,NA,-0.019033,0,0.564947,0,0.635427,0,0.481939,0,NA,NA,0.629016,0,0.308804,0,NA,NA,0.560029,0,0.498972,0,0.180587,0,0.304267,0,0.143609,0,0.677088,0,NA,NA,0.648498,0,0.599839,0,0.636687,0,0.284999,0,0.729618,0,0.589489,0,0.622215,0,0.622515,0,-0.021806,0,0.724004,0,0.642291,0,0.587816,0,0.583869,0,0.630724,0,0.648663,0,0.598181,0,0.60228,0,NA,NA,NA,NA,0.627795,0,0.627969,0,0.663205,0,0.637974,0,0.331966,0,0.639711,0,0.66543,0,0.433176,0,NA,NA,-0.004836,0,0.663944,0,0.577156,0,0.639919,0,0.598377,0,0.608879,0,0.389585,0,0.670298,0,0.662854,0,0.616928,0,0.627877,0,0.622313,0,0.627621,0,0.00471,0,0.467145,0,0.507616,0,0.565788,0,0.675789,0,0.617172,0,0.573019,0,0.636258,0,0.585494,0,0.560849,0,0.657052,0,0.68759,0,0.592608,0,0.648179,0,0.651221,0,NA,NA,0.621858,0
"6",2019-01-24,NA,NA,0.72639,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716806,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.765264,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562528,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.779601,0,NA,NA,NA,NA,NA,NA
"7",2019-01-29,0.001077,0,0.678519,0,NA,NA,NA,NA,NA,NA,0.517127,0,NA,NA,NA,NA,0.618351,0,NA,NA,NA,NA,0.132253,0,0.505879,0,NA,NA,0.678334,0,NA,NA,NA,NA,0.621067,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52135,0,NA,NA,NA,NA,NA,NA,0.667271,0,0.598481,0,-0.005893,0,NA,NA,0.663064,0,NA,NA,NA,NA,NA,NA,NA,NA,0.420178,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.594106,0,0.626712,0,0.304938,0,NA,NA,NA,NA,NA,NA,0.642197,0,-0.01213,0,NA,NA,NA,NA,NA,NA,0.626598,0,0.652634,0,NA,NA,NA,NA,0.608124,0,NA,NA,0.623351,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.657432,0,0.673539,0,0.404369,0,NA,NA,0.005875,0,NA,NA,NA,NA,0.680052,0,NA,NA,0.608681,0,0.679161,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027154,0,0.496092,0,0.632048,0,0.585276,0,0.667385,0,0.66926,0,NA,NA,0.645288,0,0.659871,0,NA,NA,NA,NA,NA,NA,0.603787,0,NA,NA,NA,NA,NA,NA,NA,NA
"8",2019-02-03,-0.018595,0,0.63556,0,0.546097,0,0.613306,0,0.557179,0,0.495382,0,0.558969,0,0.617058,0,0.60478,0,0.61146,0,0.553364,0,0.151008,0,0.513697,0,0.57704,0,0.659001,0,0.376467,0,0.548845,0,0.613808,0,0.598382,0,0.545325,0,0.540854,0,0.586284,0,0.60207,0,0.586235,0,0.553752,0,0.531495,0,0.495205,0,0.646895,0,0.631024,0,-0.022719,0,0.51337,0,0.635177,0,0.554625,0,0.441673,0,0.599969,0,0.329553,0,0.403723,0,0.581789,0,0.622606,0,0.18058,0,0.593256,0,0.143543,0,0.653563,0,0.633845,0,0.63743,0,0.558474,0,0.604616,0,0.266551,0,0.710342,0,0.42179,0,0.584137,0,0.577369,0,-0.037222,0,0.27038,0,0.60676,0,0.552551,0,0.557783,0,0.613004,0,0.644361,0,0.550589,0,0.564296,0,0.640545,0,0.569867,0,0.605597,0,0.567696,0,0.623249,0,0.581193,0,0.340168,0,0.61943,0,0.613584,0,0.368028,0,0.60134,0,-0.005613,0,0.620365,0,0.57187,0,0.637497,0,0.556811,0,0.59397,0,0.652716,0,0.638202,0,0.629857,0,0.574746,0,0.579325,0,0.598914,0,0.604812,0,-0.004958,0,0.431686,0,0.563663,0,0.56934,0,0.650849,0,0.572569,0,0.542445,0,0.616716,0,0.576581,0,0.58713,0,0.629041,0,0.64552,0,0.582021,0,0.639795,0,0.627579,0,0.593081,0,0.596797,0
"9",2019-02-13,NA,NA,0.473745,0,0.532233,0,0.609131,0,0.495997,0,NA,NA,0.566556,0,NA,NA,NA,NA,0.570962,0,NA,NA,NA,NA,0.510594,0,NA,NA,NA,NA,0.379695,0,NA,NA,0.60496,0,NA,NA,NA,NA,0.521699,0,NA,NA,0.538825,0,0.619135,0,NA,NA,0.493308,0,NA,NA,0.631633,0,0.317685,0,NA,NA,NA,NA,0.64117,0,0.588247,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.610495,0,NA,NA,0.585357,0,0.153365,0,NA,NA,NA,NA,NA,NA,0.581568,0,NA,NA,NA,NA,0.705705,0,NA,NA,NA,NA,NA,NA,0.028265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51764,0,NA,NA,0.673983,0,0.568602,0,0.548239,0,0.578171,0,0.65923,0,NA,NA,NA,NA,NA,NA,NA,NA,0.365207,0,NA,NA,NA,NA,0.649371,0,NA,NA,0.637215,0,0.578485,0,0.572063,0,NA,NA,NA,NA,NA,NA,NA,NA,0.583509,0,NA,NA,0.55076,0,NA,NA,0.425047,0,NA,NA,NA,NA,0.669123,0,NA,NA,0.52112,0,0.654727,0,NA,NA,0.584292,0,NA,NA,NA,NA,0.602304,0,0.623557,0,NA,NA,NA,NA,0.563827,0
"10",2019-02-18,NA,NA,0.46304,0,NA,NA,NA,NA,0.39335,0,NA,NA,0.443949,0,NA,NA,NA,NA,NA,NA,0.6227,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.600704,0,NA,NA,NA,NA,NA,NA,0.389146,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536495,0,NA,NA,NA,NA,NA,NA,0.55492,0,NA,NA,NA,NA,NA,NA,NA,NA,0.269229,0,NA,NA,0.564972,0,NA,NA,0.257241,0,NA,NA,NA,NA,NA,NA,0.674942,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56925,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633018,0,NA,NA,NA,NA,NA,NA,0.635608,0,0.679664,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.644634,0,NA,NA,0.646222,0,NA,NA,NA,NA,0.611137,0,NA,NA,NA,NA,0.656711,0,NA,NA,0.656266,0,NA,NA,NA,NA,0.544485,0,NA,NA,NA,NA,0.561556,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.598581,0,NA,NA,NA,NA,0.668373,0,NA,NA,0.701477,0,NA,NA,NA,NA,NA,NA
