"","date","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA","NDVI_hectareID_NA","NDVI_sd_hectareID_NA"
"1",2018-12-15,NA,NA,0.900497,0,NA,NA,0.854967,0,NA,NA,NA,NA,0.880664,0,0.845722,0,NA,NA,0.88782,0,0.883897,0,NA,NA,0.872678,0,0.858752,0,NA,NA,NA,NA,NA,NA,0.861433,0,0.885234,0,NA,NA,0.838881,0,0.863779,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.885909,0,NA,NA,NA,NA,0.879808,0,NA,NA,NA,NA,0.883984,0,NA,NA,NA,NA,NA,NA,0.879822,0,NA,NA,NA,NA,0.386364,0,NA,NA,NA,NA,NA,NA,0.877349,0,NA,NA,NA,NA,0.890603,0,NA,NA,NA,NA,NA,NA,-0.431755,0,0.890479,0,NA,NA,NA,NA,0.423183,0,NA,NA,0.873126,0,NA,NA,0.864801,0,NA,NA,NA,NA,0.889683,0,0.885934,0,0.880321,0,NA,NA,NA,NA,NA,NA,0.882546,0,NA,NA,NA,NA,NA,NA,0.875103,0,0.817843,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351696,0,0.871578,0,0.879488,0,NA,NA,NA,NA,NA,NA,NA,NA,0.900682,0,NA,NA,NA,NA,NA,NA,NA,NA,0.872441,0,NA,NA,NA,NA,0.894204,0,0.890216,0,NA,NA,NA,NA,NA,NA,0.80509,0,0.881288,0
"2",2018-12-20,0.324659,0,NA,NA,0.84258,0,0.845369,0,NA,NA,0.772575,0,NA,NA,NA,NA,0.877224,0,0.883533,0,NA,NA,NA,NA,0.868825,0,0.848149,0,0.892958,0,NA,NA,NA,NA,NA,NA,NA,NA,0.870479,0,NA,NA,0.828424,0,NA,NA,NA,NA,0.788188,0,NA,NA,NA,NA,0.880872,0,0.880072,0,-0.229974,0,0.844915,0,NA,NA,0.861403,0,0.519582,0,0.869887,0,0.535684,0,NA,NA,0.880639,0,0.877627,0,NA,NA,NA,NA,0.50508,0,0.888291,0,0.88458,0,0.864715,0,0.867871,0,NA,NA,NA,NA,0.75428,0,0.869684,0,NA,NA,0.88124,0,-0.5,0,NA,NA,0.882027,0,0.866431,0,NA,NA,NA,NA,NA,NA,NA,NA,0.851852,0,NA,NA,NA,NA,0.854332,0,0.882448,0,0.871756,0,0.857455,0,0.775486,0,0.884987,0,NA,NA,0.604512,0,0.452202,0,0.155963,0,0.873456,0,0.827652,0,0.872249,0,0.875,0,0.863275,0,NA,NA,0.890873,0,NA,NA,0.866492,0,0.871694,0,0.879755,0,NA,NA,NA,NA,NA,NA,0.893595,0,NA,NA,0.883399,0,0.877826,0,0.361864,0,NA,NA,NA,NA,0.873977,0,NA,NA,0.884702,0,0.854743,0,NA,NA,NA,NA,0.649659,0,0.878625,0
"3",2019-01-09,-0.113269,0,0.909862,0,NA,NA,0.903168,0,0.894823,0,NA,NA,0.889204,0,0.859791,0,0.898043,0,0.897484,0,0.89006,0,NA,NA,0.889374,0,NA,NA,0.914769,0,0.72545,0,0.8832,0,NA,NA,0.898759,0,NA,NA,NA,NA,NA,NA,NA,NA,0.901596,0,NA,NA,NA,NA,0.88045,0,NA,NA,NA,NA,-0.219251,0,NA,NA,NA,NA,NA,NA,NA,NA,0.889394,0,NA,NA,NA,NA,NA,NA,0.895669,0,NA,NA,NA,NA,0.583704,0,NA,NA,0.904135,0,0.889288,0,0.711316,0,NA,NA,NA,NA,0.905835,0,0.887324,0,0.894578,0,0.899898,0,-0.191176,0,NA,NA,NA,NA,0.882353,0,NA,NA,NA,NA,NA,NA,NA,NA,0.883901,0,NA,NA,NA,NA,0.872144,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.897545,0,0.60608,0,NA,NA,NA,NA,NA,NA,NA,NA,0.899721,0,0.895291,0,0.887557,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.899452,0,NA,NA,NA,NA,0.889177,0,NA,NA,0.892065,0,0.9027,0,0.890357,0,0.876196,0,0.897857,0,NA,NA,0.863549,0,0.898464,0
"4",2019-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.876648,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740389,0,NA,NA,NA,NA,0.86711,0,NA,NA,NA,NA,NA,NA,NA,NA,0.868421,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884729,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743036,0,NA,NA,NA,NA,NA,NA,NA,NA,0.881576,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882436,0,NA,NA,NA,NA,NA,NA,NA,NA,0.891512,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2019-01-19,-0.162393,0,NA,NA,0.881069,0,0.906199,0,0.894901,0,0.807331,0,NA,NA,0.849595,0,0.894472,0,0.891975,0,0.890443,0,0.486,0,0.881059,0,0.879428,0,0.913511,0,0.692845,0,0.881213,0,NA,NA,0.896868,0,NA,NA,0.862808,0,0.880939,0,0.893297,0,0.897682,0,NA,NA,0.836277,0,0.865546,0,0.903743,0,NA,NA,-0.23588,0,0.835951,0,0.84787,0,0.36647,0,NA,NA,0.891849,0,0.483487,0,NA,NA,0.847031,0,0.892535,0,0.452666,0,0.893714,0,0.540754,0,0.913579,0,NA,NA,0.893255,0,0.886964,0,0.901326,0,0.73048,0,0.896681,0,0.886226,0,0.890781,0,0.900329,0,-0.292929,0,0.891385,0,0.90326,0,0.885698,0,0.8872,0,0.89756,0,0.893418,0,0.881227,0,0.883857,0,NA,NA,NA,NA,0.903706,0,0.907382,0,0.895236,0,0.885848,0,0.751451,0,0.899974,0,0.899248,0,0.573218,0,NA,NA,-0.062069,0,0.898475,0,0.847524,0,0.897409,0,0.894108,0,0.884035,0,0.900444,0,0.899105,0,0.90106,0,0.889376,0,0.893183,0,0.903614,0,0.905696,0,0.036585,0,0.691457,0,0.899573,0,0.859015,0,0.899221,0,0.889798,0,0.873202,0,0.895625,0,0.884671,0,0.610458,0,0.901916,0,0.891377,0,0.875874,0,0.902908,0,0.888483,0,NA,NA,0.897926,0
"6",2019-01-24,NA,NA,0.872744,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87214,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.705802,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.865051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693062,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86385,0,NA,NA,NA,NA,NA,NA
"7",2019-01-29,0.011494,0,0.886425,0,NA,NA,NA,NA,NA,NA,0.75768,0,NA,NA,NA,NA,0.885589,0,NA,NA,NA,NA,0.492209,0,0.855663,0,NA,NA,0.906273,0,NA,NA,NA,NA,0.873684,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543474,0,NA,NA,NA,NA,NA,NA,0.892819,0,0.67114,0,-0.079137,0,NA,NA,0.88439,0,NA,NA,NA,NA,NA,NA,NA,NA,0.750731,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85956,0,0.878901,0,0.716702,0,NA,NA,NA,NA,NA,NA,0.881863,0,-0.105145,0,NA,NA,NA,NA,NA,NA,0.868289,0,0.874083,0,NA,NA,NA,NA,0.868529,0,NA,NA,0.861662,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883668,0,0.882727,0,0.536451,0,NA,NA,0.067901,0,NA,NA,NA,NA,0.886088,0,NA,NA,0.872983,0,0.890511,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234899,0,0.662096,0,0.879245,0,0.843854,0,0.889054,0,0.86051,0,NA,NA,0.87854,0,0.784337,0,NA,NA,NA,NA,NA,NA,0.861881,0,NA,NA,NA,NA,NA,NA,NA,NA
"8",2019-02-03,-0.309942,0,0.917935,0,0.869444,0,0.922614,0,0.874618,0,0.822412,0,0.875575,0,0.841238,0,0.897377,0,0.88782,0,0.891161,0,0.593899,0,0.878291,0,0.877162,0,0.922774,0,0.66495,0,0.883575,0,0.890547,0,0.900632,0,0.890897,0,0.861538,0,0.887888,0,0.896148,0,0.904052,0,0.876566,0,0.878136,0,0.867325,0,0.9077,0,0.904633,0,-0.976744,0,0.86843,0,0.896497,0,0.880606,0,0.90525,0,0.895697,0,0.520597,0,0.76668,0,0.907823,0,0.898222,0,0.458588,0,0.8886,0,0.494382,0,0.921731,0,0.892716,0,0.895432,0,0.88177,0,0.903134,0,0.761719,0,0.905953,0,0.878867,0,0.897146,0,0.882041,0,-0.744898,0,0.894345,0,0.906526,0,0.885678,0,0.890615,0,0.902275,0,0.897017,0,0.865603,0,0.881331,0,0.907643,0,0.885697,0,0.908152,0,0.905707,0,0.897003,0,0.875,0,0.78418,0,0.901739,0,0.904628,0,0.52503,0,0.899741,0,-0.146853,0,0.896146,0,0.853686,0,0.900937,0,0.896519,0,0.884232,0,0.911596,0,0.894155,0,0.899273,0,0.883397,0,0.885037,0,0.903086,0,0.910586,0,-0.094527,0,0.668705,0,0.905359,0,0.868035,0,0.90158,0,0.878143,0,0.872247,0,0.898979,0,0.893285,0,0.89648,0,0.902886,0,0.891808,0,0.876508,0,0.909577,0,0.887771,0,0.874903,0,0.905594,0
"9",2019-02-13,NA,NA,0.781558,0,0.8231,0,0.836508,0,0.808011,0,NA,NA,0.715321,0,NA,NA,NA,NA,0.877105,0,NA,NA,NA,NA,0.792903,0,NA,NA,NA,NA,0.639987,0,NA,NA,0.838992,0,NA,NA,NA,NA,0.778651,0,NA,NA,0.831003,0,0.86222,0,NA,NA,0.8002,0,NA,NA,0.843178,0,0.818602,0,NA,NA,NA,NA,0.835151,0,0.842328,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863303,0,NA,NA,0.830656,0,0.421719,0,NA,NA,NA,NA,NA,NA,0.824971,0,NA,NA,NA,NA,0.840359,0,NA,NA,NA,NA,NA,NA,0.120977,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7922,0,NA,NA,0.805882,0,0.786867,0,0.819206,0,0.770394,0,0.816834,0,NA,NA,NA,NA,NA,NA,NA,NA,0.536283,0,NA,NA,NA,NA,0.826455,0,NA,NA,0.78908,0,0.834044,0,0.807176,0,NA,NA,NA,NA,NA,NA,NA,NA,0.859155,0,NA,NA,0.847048,0,NA,NA,0.646886,0,NA,NA,NA,NA,0.847959,0,NA,NA,0.795918,0,0.828233,0,NA,NA,0.834561,0,NA,NA,NA,NA,0.828854,0,0.854881,0,NA,NA,NA,NA,0.830577,0
"10",2019-02-18,NA,NA,0.92089,0,NA,NA,NA,NA,0.646976,0,NA,NA,0.884144,0,NA,NA,NA,NA,NA,NA,0.89626,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877714,0,NA,NA,NA,NA,NA,NA,0.649123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.865969,0,NA,NA,NA,NA,NA,NA,0.877105,0,NA,NA,NA,NA,NA,NA,NA,NA,0.464138,0,NA,NA,0.897436,0,NA,NA,0.516008,0,NA,NA,NA,NA,NA,NA,0.684293,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647842,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89962,0,NA,NA,NA,NA,NA,NA,0.911403,0,0.900273,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.902655,0,NA,NA,0.688389,0,NA,NA,NA,NA,0.898835,0,NA,NA,NA,NA,0.895732,0,NA,NA,0.897527,0,NA,NA,NA,NA,0.896744,0,NA,NA,NA,NA,0.756559,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617653,0,NA,NA,NA,NA,0.891277,0,NA,NA,0.855021,0,NA,NA,NA,NA,NA,NA
