"","date","EVI2_hectareID_1","EVI2_sd_hectareID_1","EVI2_hectareID_2","EVI2_sd_hectareID_2","EVI2_hectareID_3","EVI2_sd_hectareID_3","EVI2_hectareID_4","EVI2_sd_hectareID_4","EVI2_hectareID_5","EVI2_sd_hectareID_5","EVI2_hectareID_6","EVI2_sd_hectareID_6","EVI2_hectareID_7","EVI2_sd_hectareID_7","EVI2_hectareID_8","EVI2_sd_hectareID_8","EVI2_hectareID_9","EVI2_sd_hectareID_9","EVI2_hectareID_10","EVI2_sd_hectareID_10","EVI2_hectareID_11","EVI2_sd_hectareID_11","EVI2_hectareID_12","EVI2_sd_hectareID_12","EVI2_hectareID_13","EVI2_sd_hectareID_13","EVI2_hectareID_14","EVI2_sd_hectareID_14","EVI2_hectareID_15","EVI2_sd_hectareID_15","EVI2_hectareID_16","EVI2_sd_hectareID_16","EVI2_hectareID_17","EVI2_sd_hectareID_17","EVI2_hectareID_18","EVI2_sd_hectareID_18","EVI2_hectareID_19","EVI2_sd_hectareID_19","EVI2_hectareID_20","EVI2_sd_hectareID_20","EVI2_hectareID_21","EVI2_sd_hectareID_21","EVI2_hectareID_22","EVI2_sd_hectareID_22","EVI2_hectareID_23","EVI2_sd_hectareID_23","EVI2_hectareID_24","EVI2_sd_hectareID_24","EVI2_hectareID_25","EVI2_sd_hectareID_25","EVI2_hectareID_26","EVI2_sd_hectareID_26","EVI2_hectareID_27","EVI2_sd_hectareID_27","EVI2_hectareID_28","EVI2_sd_hectareID_28","EVI2_hectareID_29","EVI2_sd_hectareID_29","EVI2_hectareID_30","EVI2_sd_hectareID_30","EVI2_hectareID_31","EVI2_sd_hectareID_31","EVI2_hectareID_32","EVI2_sd_hectareID_32","EVI2_hectareID_33","EVI2_sd_hectareID_33","EVI2_hectareID_34","EVI2_sd_hectareID_34","EVI2_hectareID_35","EVI2_sd_hectareID_35","EVI2_hectareID_36","EVI2_sd_hectareID_36","EVI2_hectareID_37","EVI2_sd_hectareID_37","EVI2_hectareID_38","EVI2_sd_hectareID_38","EVI2_hectareID_39","EVI2_sd_hectareID_39","EVI2_hectareID_40","EVI2_sd_hectareID_40","EVI2_hectareID_41","EVI2_sd_hectareID_41","EVI2_hectareID_42","EVI2_sd_hectareID_42","EVI2_hectareID_43","EVI2_sd_hectareID_43","EVI2_hectareID_44","EVI2_sd_hectareID_44","EVI2_hectareID_45","EVI2_sd_hectareID_45","EVI2_hectareID_46","EVI2_sd_hectareID_46","EVI2_hectareID_47","EVI2_sd_hectareID_47","EVI2_hectareID_48","EVI2_sd_hectareID_48","EVI2_hectareID_49","EVI2_sd_hectareID_49","EVI2_hectareID_50","EVI2_sd_hectareID_50","EVI2_hectareID_51","EVI2_sd_hectareID_51","EVI2_hectareID_52","EVI2_sd_hectareID_52","EVI2_hectareID_53","EVI2_sd_hectareID_53","EVI2_hectareID_54","EVI2_sd_hectareID_54","EVI2_hectareID_55","EVI2_sd_hectareID_55","EVI2_hectareID_56","EVI2_sd_hectareID_56","EVI2_hectareID_57","EVI2_sd_hectareID_57","EVI2_hectareID_58","EVI2_sd_hectareID_58","EVI2_hectareID_59","EVI2_sd_hectareID_59","EVI2_hectareID_60","EVI2_sd_hectareID_60","EVI2_hectareID_61","EVI2_sd_hectareID_61","EVI2_hectareID_62","EVI2_sd_hectareID_62","EVI2_hectareID_63","EVI2_sd_hectareID_63","EVI2_hectareID_64","EVI2_sd_hectareID_64","EVI2_hectareID_65","EVI2_sd_hectareID_65","EVI2_hectareID_66","EVI2_sd_hectareID_66","EVI2_hectareID_67","EVI2_sd_hectareID_67","EVI2_hectareID_68","EVI2_sd_hectareID_68","EVI2_hectareID_69","EVI2_sd_hectareID_69","EVI2_hectareID_70","EVI2_sd_hectareID_70","EVI2_hectareID_71","EVI2_sd_hectareID_71","EVI2_hectareID_72","EVI2_sd_hectareID_72","EVI2_hectareID_73","EVI2_sd_hectareID_73","EVI2_hectareID_74","EVI2_sd_hectareID_74","EVI2_hectareID_75","EVI2_sd_hectareID_75","EVI2_hectareID_76","EVI2_sd_hectareID_76","EVI2_hectareID_77","EVI2_sd_hectareID_77","EVI2_hectareID_78","EVI2_sd_hectareID_78","EVI2_hectareID_79","EVI2_sd_hectareID_79","EVI2_hectareID_80","EVI2_sd_hectareID_80","EVI2_hectareID_81","EVI2_sd_hectareID_81","EVI2_hectareID_82","EVI2_sd_hectareID_82","EVI2_hectareID_83","EVI2_sd_hectareID_83","EVI2_hectareID_84","EVI2_sd_hectareID_84","EVI2_hectareID_85","EVI2_sd_hectareID_85","EVI2_hectareID_86","EVI2_sd_hectareID_86","EVI2_hectareID_87","EVI2_sd_hectareID_87","EVI2_hectareID_88","EVI2_sd_hectareID_88","EVI2_hectareID_89","EVI2_sd_hectareID_89","EVI2_hectareID_90","EVI2_sd_hectareID_90","EVI2_hectareID_91","EVI2_sd_hectareID_91","EVI2_hectareID_92","EVI2_sd_hectareID_92","EVI2_hectareID_93","EVI2_sd_hectareID_93","EVI2_hectareID_94","EVI2_sd_hectareID_94","EVI2_hectareID_95","EVI2_sd_hectareID_95","EVI2_hectareID_96","EVI2_sd_hectareID_96","EVI2_hectareID_97","EVI2_sd_hectareID_97","EVI2_hectareID_98","EVI2_sd_hectareID_98","EVI2_hectareID_99","EVI2_sd_hectareID_99","EVI2_hectareID_100","EVI2_sd_hectareID_100","EVI2_hectareID_101","EVI2_sd_hectareID_101","EVI2_hectareID_102","EVI2_sd_hectareID_102","EVI2_hectareID_103","EVI2_sd_hectareID_103","EVI2_hectareID_104","EVI2_sd_hectareID_104","EVI2_hectareID_105","EVI2_sd_hectareID_105","EVI2_hectareID_106","EVI2_sd_hectareID_106","EVI2_hectareID_107","EVI2_sd_hectareID_107","EVI2_hectareID_108","EVI2_sd_hectareID_108","EVI2_hectareID_109","EVI2_sd_hectareID_109","EVI2_hectareID_110","EVI2_sd_hectareID_110","EVI2_hectareID_111","EVI2_sd_hectareID_111","EVI2_hectareID_112","EVI2_sd_hectareID_112","EVI2_hectareID_113","EVI2_sd_hectareID_113","EVI2_hectareID_114","EVI2_sd_hectareID_114","EVI2_hectareID_115","EVI2_sd_hectareID_115","EVI2_hectareID_116","EVI2_sd_hectareID_116","EVI2_hectareID_117","EVI2_sd_hectareID_117","EVI2_hectareID_118","EVI2_sd_hectareID_118","EVI2_hectareID_119","EVI2_sd_hectareID_119","EVI2_hectareID_120","EVI2_sd_hectareID_120","EVI2_hectareID_121","EVI2_sd_hectareID_121","EVI2_hectareID_122","EVI2_sd_hectareID_122","EVI2_hectareID_123","EVI2_sd_hectareID_123","EVI2_hectareID_124","EVI2_sd_hectareID_124","EVI2_hectareID_125","EVI2_sd_hectareID_125","EVI2_hectareID_126","EVI2_sd_hectareID_126","EVI2_hectareID_127","EVI2_sd_hectareID_127","EVI2_hectareID_128","EVI2_sd_hectareID_128","EVI2_hectareID_129","EVI2_sd_hectareID_129"
"1",2018-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297806,0,NA,NA,NA,NA,NA,NA,NA,NA,0.359133,0,NA,NA,0.419535,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469825,0,0.459794,0,NA,NA,NA,NA,NA,NA,NA,NA,0.297212,0,0.327223,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514415,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.490499,0,NA,NA,NA,NA,0.39302,0,NA,NA,NA,NA,NA,NA,0.444284,0,NA,NA,0.541935,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425488,0,NA,NA,NA,NA,NA,NA,NA,NA,0.320472,0,0.398645,0,NA,NA,NA,NA,0.314095,0,0.460273,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2457,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2018-12-22,NA,NA,0.3555,0,NA,NA,0.256187,0,0.290926,0,NA,NA,0.375503,0,0.397477,0,0.593934,0,NA,NA,0.569566,0,0.597662,0,0.312223,0,NA,NA,NA,NA,0.358708,0,0.420489,0,0.624238,0,NA,NA,NA,NA,0.570432,0,0.2856,0,NA,NA,0.598094,0,0.331229,0,NA,NA,NA,NA,NA,NA,NA,NA,0.601631,0,0.627594,0,NA,NA,0.172657,0,NA,NA,0.581358,0,0.546844,0,0.279404,0,NA,NA,0.270832,0,0.464903,0,NA,NA,0.413142,0,0.583233,0,0.503607,0,0.616957,0,NA,NA,0.602693,0,0.57708,0,NA,NA,NA,NA,NA,NA,0.175313,0,NA,NA,NA,NA,0.577938,0,0.587939,0,0.473862,0,NA,NA,0.389084,0,0.274552,0,0.516808,0,0.57328,0,0.572379,0,0.526961,0,0.469352,0,0.554854,0,0.58618,0,NA,NA,0.528826,0,0.535764,0,NA,NA,0.601617,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.547114,0,NA,NA,0.58002,0,NA,NA,NA,NA,0.422472,0,NA,NA,0.573442,0,0.590953,0,NA,NA,0.433458,0,0.551371,0,NA,NA,0.607347,0,0.594077,0,0.556368,0,0.570691,0,0.597474,0,NA,NA,0.577463,0,NA,NA,NA,NA,0.568716,0,0.538853,0,NA,NA,0.621778,0,0.6055,0,0.441447,0,0.190278,0,0.560689,0,0.554363,0,0.45495,0,0.124128,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6726,0,NA,NA,0.562887,0,0.302832,0,0.382674,0,0.603761,0,NA,NA,NA,NA,0.085319,0,0.305047,0,NA,NA,NA,NA,0.598925,0,0.468374,0,NA,NA
"3",2019-01-01,NA,NA,NA,NA,0.521495,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555413,0,0.565831,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.497071,0,0.53144,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158679,0,NA,NA,0.617467,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.510919,0,0.655654,0,NA,NA,NA,NA,0.695224,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.575162,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583031,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.560851,0,NA,NA,0.652601,0,NA,NA,NA,NA,0.653244,0,NA,NA,0.598438,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2019-01-06,NA,NA,NA,NA,0.557388,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595173,0,NA,NA,NA,NA,NA,NA,0.549101,0,NA,NA,NA,NA,0.405906,0,NA,NA,NA,NA,NA,NA,0.590376,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.348572,0,0.584198,0,NA,NA,0.578015,0,NA,NA,NA,NA,NA,NA,NA,NA,0.551314,0,NA,NA,NA,NA,NA,NA,NA,NA,0.564838,0,0.64453,0,0.530194,0,NA,NA,NA,NA,0.631089,0,NA,NA,NA,NA,0.686859,0,NA,NA,0.530308,0,NA,NA,NA,NA,NA,NA,0.575609,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.539499,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641932,0,NA,NA,NA,NA,0.611791,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.544074,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.594116,0,0.596851,0,0.568303,0,0.579913,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.480525,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506956,0,0.635631,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.584707,0,NA,NA,NA,NA,NA,NA,0.591881,0,0.593069,0,NA,NA,NA,NA,NA,NA
"5",2019-01-16,NA,NA,0.300705,0,0.387248,0,NA,NA,NA,NA,NA,NA,0.660923,0,NA,NA,0.566922,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52846,0,0.408137,0,NA,NA,0.602069,0,0.573064,0,0.593451,0,0.551362,0,0.601246,0,NA,NA,NA,NA,0.563885,0,NA,NA,NA,NA,0.57783,0,0.552407,0,NA,NA,NA,NA,0.598836,0,NA,NA,NA,NA,0.563377,0,0.556488,0,0.558197,0,NA,NA,NA,NA,NA,NA,0.55292,0,NA,NA,0.616172,0,NA,NA,NA,NA,NA,NA,0.587405,0,0.568816,0,0.586026,0,NA,NA,NA,NA,NA,NA,0.587136,0,0.576174,0,0.584669,0,NA,NA,NA,NA,0.59038,0,0.63725,0,0.622085,0,0.562861,0,NA,NA,0.58367,0,0.598964,0,NA,NA,NA,NA,0.586222,0,0.482965,0,0.530162,0,0.597828,0,NA,NA,NA,NA,0.624876,0,0.563475,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552057,0,NA,NA,0.544493,0,NA,NA,0.561859,0,NA,NA,NA,NA,0.568328,0,0.568402,0,NA,NA,0.63681,0,0.591623,0,0.558841,0,0.598883,0,0.594581,0,0.576931,0,NA,NA,NA,NA,NA,NA,0.574824,0,0.601084,0,0.612315,0,NA,NA,NA,NA,0.570339,0,NA,NA,0.545856,0,NA,NA,NA,NA,0.577512,0,NA,NA,NA,NA,0.554104,0,0.59601,0,0.601584,0,NA,NA,NA,NA,0.616509,0,NA,NA,0.579394,0,NA,NA,NA,NA,NA,NA,NA,NA,0.580536,0,0.576937,0,0.574865,0,NA,NA,NA,NA
"6",2019-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533262,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57945,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307156,0,0.590481,0,0.584204,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572622,0,NA,NA,NA,NA,0.609339,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.582001,0,0.637823,0,0.586544,0,0.573547,0,0.670803,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.587315,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.634371,0,NA,NA,0.565941,0,NA,NA,NA,NA,0.290432,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59838,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573722,0,NA,NA,NA,NA,NA,NA,NA,NA,0.58247,0,NA,NA,0.5765,0,NA,NA,NA,NA,0.555944,0,NA,NA,NA,NA,NA,NA,0.653282,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.611377,0,NA,NA,NA,NA
"7",2019-01-26,0.568554,0,NA,NA,NA,NA,NA,NA,0.583158,0,NA,NA,NA,NA,NA,NA,0.577501,0,NA,NA,NA,NA,NA,NA,NA,NA,0.56792,0,NA,NA,0.420967,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617887,0,0.435311,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612676,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552915,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.578685,0,0.599525,0,NA,NA,0.600627,0,NA,NA,NA,NA,NA,NA,NA,NA,0.581306,0,NA,NA,NA,NA,0.623056,0,0.622496,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595349,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572885,0,NA,NA,NA,NA,0.464276,0,NA,NA,NA,NA,0.567508,0,NA,NA
"8",2019-01-31,0.586759,0,NA,NA,NA,NA,NA,NA,0.636257,0,NA,NA,0.662948,0,NA,NA,NA,NA,NA,NA,0.560346,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572154,0,NA,NA,NA,NA,NA,NA,0.605995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.607299,0,NA,NA,NA,NA,0.600896,0,NA,NA,0.565024,0,0.609502,0,NA,NA,NA,NA,0.553928,0,0.622463,0,0.483811,0,NA,NA,0.585851,0,NA,NA,0.58787,0,NA,NA,0.671632,0,0.572984,0,NA,NA,NA,NA,NA,NA,0.565612,0,NA,NA,0.578276,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60671,0,0.558409,0,NA,NA,0.575457,0,NA,NA,NA,NA,NA,NA,0.606271,0,NA,NA,NA,NA,0.230818,0,NA,NA,NA,NA,NA,NA,0.579495,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.575261,0,NA,NA,NA,NA,0.662159,0,0.591084,0,NA,NA,0.586781,0,0.632633,0,NA,NA,0.585472,0,NA,NA,NA,NA,0.563312,0,0.58147,0,NA,NA,NA,NA,NA,NA,0.576142,0,0.577642,0,NA,NA,0.568928,0,0.607094,0,NA,NA,NA,NA,0.58277,0,0.597075,0,0.570682,0,NA,NA,NA,NA,0.561261,0,NA,NA,0.637983,0,NA,NA,0.60103,0,NA,NA,NA,NA,NA,NA,0.587299,0,0.584065,0,NA,NA,0.592123,0,NA,NA
"9",2019-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537692,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2019-02-10,0.553331,0,0.334267,0,NA,NA,0.093342,0,0.561576,0,0.606178,0,NA,NA,NA,NA,0.240021,0,NA,NA,0.575492,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596037,0,NA,NA,0.428511,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.563362,0,0.572439,0,0.553639,0,0.606109,0,NA,NA,0.600385,0,0.57427,0,0.599055,0,0.550196,0,0.547044,0,0.559435,0,NA,NA,NA,NA,0.578417,0,NA,NA,NA,NA,0.604782,0,0.486447,0,0.632619,0,NA,NA,0.597265,0,NA,NA,0.589904,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627526,0,0.636171,0,NA,NA,NA,NA,0.583274,0,NA,NA,NA,NA,0.5552,0,NA,NA,NA,NA,NA,NA,NA,NA,0.599957,0,0.574815,0,NA,NA,NA,NA,0.576035,0,NA,NA,NA,NA,NA,NA,NA,NA,0.578674,0,NA,NA,NA,NA,0.541935,0,NA,NA,NA,NA,0.574004,0,NA,NA,0.546661,0,0.557765,0,NA,NA,NA,NA,0.432,0,0.549812,0,NA,NA,0.617837,0,NA,NA,0.566552,0,NA,NA,NA,NA,NA,NA,NA,NA,0.609443,0,NA,NA,NA,NA,0.555405,0,NA,NA,0.555999,0,NA,NA,NA,NA,0.560521,0,0.573163,0,NA,NA,NA,NA,NA,NA,0.622771,0,0.586253,0,NA,NA,0.620559,0,0.604267,0,0.609846,0,NA,NA,0.542838,0,NA,NA,NA,NA,0.561576,0,NA,NA,NA,NA,0.556228,0,0.618806,0
