"","date","NDVI_hectareID_1","NDVI_sd_hectareID_1","NDVI_hectareID_2","NDVI_sd_hectareID_2","NDVI_hectareID_3","NDVI_sd_hectareID_3","NDVI_hectareID_4","NDVI_sd_hectareID_4","NDVI_hectareID_5","NDVI_sd_hectareID_5","NDVI_hectareID_6","NDVI_sd_hectareID_6","NDVI_hectareID_7","NDVI_sd_hectareID_7","NDVI_hectareID_8","NDVI_sd_hectareID_8","NDVI_hectareID_9","NDVI_sd_hectareID_9","NDVI_hectareID_10","NDVI_sd_hectareID_10","NDVI_hectareID_11","NDVI_sd_hectareID_11","NDVI_hectareID_12","NDVI_sd_hectareID_12","NDVI_hectareID_13","NDVI_sd_hectareID_13","NDVI_hectareID_14","NDVI_sd_hectareID_14","NDVI_hectareID_15","NDVI_sd_hectareID_15","NDVI_hectareID_16","NDVI_sd_hectareID_16","NDVI_hectareID_17","NDVI_sd_hectareID_17","NDVI_hectareID_18","NDVI_sd_hectareID_18","NDVI_hectareID_19","NDVI_sd_hectareID_19","NDVI_hectareID_20","NDVI_sd_hectareID_20","NDVI_hectareID_21","NDVI_sd_hectareID_21","NDVI_hectareID_22","NDVI_sd_hectareID_22","NDVI_hectareID_23","NDVI_sd_hectareID_23","NDVI_hectareID_24","NDVI_sd_hectareID_24","NDVI_hectareID_25","NDVI_sd_hectareID_25","NDVI_hectareID_26","NDVI_sd_hectareID_26","NDVI_hectareID_27","NDVI_sd_hectareID_27","NDVI_hectareID_28","NDVI_sd_hectareID_28","NDVI_hectareID_29","NDVI_sd_hectareID_29","NDVI_hectareID_30","NDVI_sd_hectareID_30","NDVI_hectareID_31","NDVI_sd_hectareID_31","NDVI_hectareID_32","NDVI_sd_hectareID_32","NDVI_hectareID_33","NDVI_sd_hectareID_33","NDVI_hectareID_34","NDVI_sd_hectareID_34","NDVI_hectareID_35","NDVI_sd_hectareID_35","NDVI_hectareID_36","NDVI_sd_hectareID_36","NDVI_hectareID_37","NDVI_sd_hectareID_37","NDVI_hectareID_38","NDVI_sd_hectareID_38","NDVI_hectareID_39","NDVI_sd_hectareID_39","NDVI_hectareID_40","NDVI_sd_hectareID_40","NDVI_hectareID_41","NDVI_sd_hectareID_41","NDVI_hectareID_42","NDVI_sd_hectareID_42","NDVI_hectareID_43","NDVI_sd_hectareID_43","NDVI_hectareID_44","NDVI_sd_hectareID_44","NDVI_hectareID_45","NDVI_sd_hectareID_45","NDVI_hectareID_46","NDVI_sd_hectareID_46","NDVI_hectareID_47","NDVI_sd_hectareID_47","NDVI_hectareID_48","NDVI_sd_hectareID_48","NDVI_hectareID_49","NDVI_sd_hectareID_49","NDVI_hectareID_50","NDVI_sd_hectareID_50","NDVI_hectareID_51","NDVI_sd_hectareID_51","NDVI_hectareID_52","NDVI_sd_hectareID_52","NDVI_hectareID_53","NDVI_sd_hectareID_53","NDVI_hectareID_54","NDVI_sd_hectareID_54","NDVI_hectareID_55","NDVI_sd_hectareID_55","NDVI_hectareID_56","NDVI_sd_hectareID_56","NDVI_hectareID_57","NDVI_sd_hectareID_57","NDVI_hectareID_58","NDVI_sd_hectareID_58","NDVI_hectareID_59","NDVI_sd_hectareID_59","NDVI_hectareID_60","NDVI_sd_hectareID_60","NDVI_hectareID_61","NDVI_sd_hectareID_61","NDVI_hectareID_62","NDVI_sd_hectareID_62","NDVI_hectareID_63","NDVI_sd_hectareID_63","NDVI_hectareID_64","NDVI_sd_hectareID_64","NDVI_hectareID_65","NDVI_sd_hectareID_65","NDVI_hectareID_66","NDVI_sd_hectareID_66","NDVI_hectareID_67","NDVI_sd_hectareID_67","NDVI_hectareID_68","NDVI_sd_hectareID_68","NDVI_hectareID_69","NDVI_sd_hectareID_69","NDVI_hectareID_70","NDVI_sd_hectareID_70","NDVI_hectareID_71","NDVI_sd_hectareID_71","NDVI_hectareID_72","NDVI_sd_hectareID_72","NDVI_hectareID_73","NDVI_sd_hectareID_73","NDVI_hectareID_74","NDVI_sd_hectareID_74","NDVI_hectareID_75","NDVI_sd_hectareID_75","NDVI_hectareID_76","NDVI_sd_hectareID_76","NDVI_hectareID_77","NDVI_sd_hectareID_77","NDVI_hectareID_78","NDVI_sd_hectareID_78","NDVI_hectareID_79","NDVI_sd_hectareID_79","NDVI_hectareID_80","NDVI_sd_hectareID_80","NDVI_hectareID_81","NDVI_sd_hectareID_81","NDVI_hectareID_82","NDVI_sd_hectareID_82","NDVI_hectareID_83","NDVI_sd_hectareID_83","NDVI_hectareID_84","NDVI_sd_hectareID_84","NDVI_hectareID_85","NDVI_sd_hectareID_85","NDVI_hectareID_86","NDVI_sd_hectareID_86","NDVI_hectareID_87","NDVI_sd_hectareID_87","NDVI_hectareID_88","NDVI_sd_hectareID_88","NDVI_hectareID_89","NDVI_sd_hectareID_89","NDVI_hectareID_90","NDVI_sd_hectareID_90","NDVI_hectareID_91","NDVI_sd_hectareID_91","NDVI_hectareID_92","NDVI_sd_hectareID_92","NDVI_hectareID_93","NDVI_sd_hectareID_93","NDVI_hectareID_94","NDVI_sd_hectareID_94","NDVI_hectareID_95","NDVI_sd_hectareID_95","NDVI_hectareID_96","NDVI_sd_hectareID_96","NDVI_hectareID_97","NDVI_sd_hectareID_97","NDVI_hectareID_98","NDVI_sd_hectareID_98","NDVI_hectareID_99","NDVI_sd_hectareID_99","NDVI_hectareID_100","NDVI_sd_hectareID_100","NDVI_hectareID_101","NDVI_sd_hectareID_101","NDVI_hectareID_102","NDVI_sd_hectareID_102","NDVI_hectareID_103","NDVI_sd_hectareID_103","NDVI_hectareID_104","NDVI_sd_hectareID_104","NDVI_hectareID_105","NDVI_sd_hectareID_105","NDVI_hectareID_106","NDVI_sd_hectareID_106","NDVI_hectareID_107","NDVI_sd_hectareID_107","NDVI_hectareID_108","NDVI_sd_hectareID_108","NDVI_hectareID_109","NDVI_sd_hectareID_109","NDVI_hectareID_110","NDVI_sd_hectareID_110","NDVI_hectareID_111","NDVI_sd_hectareID_111","NDVI_hectareID_112","NDVI_sd_hectareID_112","NDVI_hectareID_113","NDVI_sd_hectareID_113","NDVI_hectareID_114","NDVI_sd_hectareID_114","NDVI_hectareID_115","NDVI_sd_hectareID_115","NDVI_hectareID_116","NDVI_sd_hectareID_116","NDVI_hectareID_117","NDVI_sd_hectareID_117","NDVI_hectareID_118","NDVI_sd_hectareID_118","NDVI_hectareID_119","NDVI_sd_hectareID_119","NDVI_hectareID_120","NDVI_sd_hectareID_120","NDVI_hectareID_121","NDVI_sd_hectareID_121","NDVI_hectareID_122","NDVI_sd_hectareID_122","NDVI_hectareID_123","NDVI_sd_hectareID_123","NDVI_hectareID_124","NDVI_sd_hectareID_124","NDVI_hectareID_125","NDVI_sd_hectareID_125","NDVI_hectareID_126","NDVI_sd_hectareID_126","NDVI_hectareID_127","NDVI_sd_hectareID_127","NDVI_hectareID_128","NDVI_sd_hectareID_128","NDVI_hectareID_129","NDVI_sd_hectareID_129"
"1",2018-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346223,0,NA,NA,NA,NA,NA,NA,NA,NA,0.669215,0,NA,NA,0.540584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63706,0,0.627273,0,NA,NA,NA,NA,NA,NA,NA,NA,0.363232,0,0.389064,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.765553,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.705047,0,NA,NA,NA,NA,0.518751,0,NA,NA,NA,NA,NA,NA,0.605174,0,NA,NA,0.77716,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565732,0,NA,NA,NA,NA,NA,NA,NA,NA,0.358745,0,0.537945,0,NA,NA,NA,NA,0.353522,0,0.623772,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2018-12-22,NA,NA,0.609997,0,NA,NA,0.2687,0,0.291328,0,NA,NA,0.65665,0,0.865596,0,0.85912,0,NA,NA,0.892354,0,0.857227,0,0.796211,0,NA,NA,NA,NA,0.674607,0,0.510329,0,0.894495,0,NA,NA,NA,NA,0.867316,0,0.456972,0,NA,NA,0.898945,0,0.347375,0,NA,NA,NA,NA,NA,NA,NA,NA,0.880845,0,0.874765,0,NA,NA,0.158836,0,NA,NA,0.889394,0,0.850738,0,0.289996,0,NA,NA,0.270542,0,0.760609,0,NA,NA,0.516084,0,0.886421,0,0.750255,0,0.801695,0,NA,NA,0.875441,0,0.848723,0,NA,NA,NA,NA,NA,NA,0.779497,0,NA,NA,NA,NA,0.876035,0,0.840485,0,0.789214,0,NA,NA,0.748837,0,0.374035,0,0.750197,0,0.836286,0,0.869784,0,0.649501,0,0.637514,0,0.885828,0,0.888448,0,NA,NA,0.841556,0,0.905286,0,NA,NA,0.885243,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744978,0,NA,NA,0.902307,0,NA,NA,NA,NA,0.552672,0,NA,NA,0.859704,0,0.883968,0,NA,NA,0.891381,0,0.784987,0,NA,NA,0.863946,0,0.903614,0,0.873271,0,0.841157,0,0.868348,0,NA,NA,0.891965,0,NA,NA,NA,NA,0.889769,0,0.882185,0,NA,NA,0.79635,0,0.855572,0,0.516071,0,0.768696,0,0.846315,0,0.878363,0,0.70531,0,0.100197,0,NA,NA,NA,NA,NA,NA,NA,NA,0.874126,0,NA,NA,0.889012,0,0.297341,0,0.553623,0,0.874257,0,NA,NA,NA,NA,0.068417,0,0.305618,0,NA,NA,NA,NA,0.881867,0,0.872311,0,NA,NA
"3",2019-01-01,NA,NA,NA,NA,0.812603,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82466,0,0.818182,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.819149,0,0.826277,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126637,0,NA,NA,0.750431,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664193,0,0.871632,0,NA,NA,NA,NA,0.837684,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698579,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855306,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.830439,0,NA,NA,0.864459,0,NA,NA,NA,NA,0.847099,0,NA,NA,0.841768,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2019-01-06,NA,NA,NA,NA,0.81754,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.834586,0,NA,NA,NA,NA,NA,NA,0.822903,0,NA,NA,NA,NA,0.665103,0,NA,NA,NA,NA,NA,NA,0.847433,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.399196,0,0.839002,0,NA,NA,0.834772,0,NA,NA,NA,NA,NA,NA,NA,NA,0.826064,0,NA,NA,NA,NA,NA,NA,NA,NA,0.837727,0,0.870086,0,0.744279,0,NA,NA,NA,NA,0.855726,0,NA,NA,NA,NA,0.861334,0,NA,NA,0.759629,0,NA,NA,NA,NA,NA,NA,0.815109,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.862514,0,NA,NA,NA,NA,0.854991,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.828093,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.840479,0,0.857808,0,0.852437,0,0.84435,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633687,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64039,0,0.857175,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845774,0,NA,NA,NA,NA,NA,NA,0.84593,0,0.848212,0,NA,NA,NA,NA,NA,NA
"5",2019-01-16,NA,NA,0.569402,0,0.864111,0,NA,NA,NA,NA,NA,NA,0.895899,0,NA,NA,0.875507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877088,0,0.571053,0,NA,NA,0.894149,0,0.880143,0,0.892047,0,0.843284,0,0.882027,0,NA,NA,NA,NA,0.880245,0,NA,NA,NA,NA,0.883138,0,0.870151,0,NA,NA,NA,NA,0.886195,0,NA,NA,NA,NA,0.88716,0,0.884107,0,0.867358,0,NA,NA,NA,NA,NA,NA,0.877528,0,NA,NA,0.891682,0,NA,NA,NA,NA,NA,NA,0.878333,0,0.871054,0,0.882384,0,NA,NA,NA,NA,NA,NA,0.879574,0,0.867712,0,0.890339,0,NA,NA,NA,NA,0.885595,0,0.889542,0,0.87478,0,0.83189,0,NA,NA,0.895856,0,0.890144,0,NA,NA,NA,NA,0.886434,0,0.88339,0,0.860452,0,0.902887,0,NA,NA,NA,NA,0.890179,0,0.881196,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.861,0,NA,NA,0.886364,0,NA,NA,0.877439,0,NA,NA,NA,NA,0.894291,0,0.895251,0,NA,NA,0.881388,0,0.903518,0,0.890616,0,0.879354,0,0.873173,0,0.888859,0,NA,NA,NA,NA,NA,NA,0.884224,0,0.893483,0,0.887897,0,NA,NA,NA,NA,0.823109,0,NA,NA,0.861684,0,NA,NA,NA,NA,0.88853,0,NA,NA,NA,NA,0.765933,0,0.871518,0,0.775822,0,NA,NA,NA,NA,0.888807,0,NA,NA,0.881262,0,NA,NA,NA,NA,NA,NA,NA,NA,0.881979,0,0.883833,0,0.886548,0,NA,NA,NA,NA
"6",2019-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.662178,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.860096,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31708,0,0.883629,0,0.867678,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868956,0,NA,NA,NA,NA,0.887668,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.864137,0,0.870938,0,0.869463,0,0.865723,0,0.886981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.819551,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.879451,0,NA,NA,0.851658,0,NA,NA,NA,NA,0.508498,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.861916,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875416,0,NA,NA,NA,NA,NA,NA,NA,NA,0.872894,0,NA,NA,0.812679,0,NA,NA,NA,NA,0.853004,0,NA,NA,NA,NA,NA,NA,0.876554,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.878817,0,NA,NA,NA,NA
"7",2019-01-26,0.870569,0,NA,NA,NA,NA,NA,NA,0.866975,0,NA,NA,NA,NA,NA,NA,0.872117,0,NA,NA,NA,NA,NA,NA,NA,NA,0.868161,0,NA,NA,0.70281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.901688,0,0.579618,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.869974,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.824607,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.888829,0,0.892462,0,NA,NA,0.889438,0,NA,NA,NA,NA,NA,NA,NA,NA,0.884381,0,NA,NA,NA,NA,0.888502,0,0.866948,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.872116,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8667,0,NA,NA,NA,NA,0.86492,0,NA,NA,NA,NA,0.875203,0,NA,NA
"8",2019-01-31,0.870681,0,NA,NA,NA,NA,NA,NA,0.872594,0,NA,NA,0.87764,0,NA,NA,NA,NA,NA,NA,0.876135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.809,0,NA,NA,NA,NA,NA,NA,0.888022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.876756,0,NA,NA,NA,NA,0.867818,0,NA,NA,0.859073,0,0.886013,0,NA,NA,NA,NA,0.870324,0,0.88639,0,0.646254,0,NA,NA,0.875356,0,NA,NA,0.862678,0,NA,NA,0.887153,0,0.864709,0,NA,NA,NA,NA,NA,NA,0.872166,0,NA,NA,0.811185,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.878683,0,0.865615,0,NA,NA,0.872087,0,NA,NA,NA,NA,NA,NA,0.874047,0,NA,NA,NA,NA,0.840557,0,NA,NA,NA,NA,NA,NA,0.872842,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.881781,0,NA,NA,NA,NA,0.868945,0,0.883998,0,NA,NA,0.86582,0,0.863014,0,NA,NA,0.879319,0,NA,NA,NA,NA,0.866891,0,0.882622,0,NA,NA,NA,NA,NA,NA,0.810406,0,0.872464,0,NA,NA,0.874329,0,0.872602,0,NA,NA,NA,NA,0.877647,0,0.878926,0,0.86801,0,NA,NA,NA,NA,0.875446,0,NA,NA,0.872777,0,NA,NA,0.880282,0,NA,NA,NA,NA,NA,NA,0.86881,0,0.874481,0,NA,NA,0.873528,0,NA,NA
"9",2019-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.827193,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2019-02-10,0.868326,0,0.600918,0,NA,NA,0.072426,0,0.856801,0,0.886546,0,NA,NA,NA,NA,0.852521,0,NA,NA,0.873645,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.872059,0,NA,NA,0.556735,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.878671,0,0.863757,0,0.773594,0,0.861969,0,NA,NA,0.871368,0,0.875998,0,0.877705,0,0.874472,0,0.876031,0,0.856188,0,NA,NA,NA,NA,0.858974,0,NA,NA,NA,NA,0.880751,0,0.719347,0,0.872488,0,NA,NA,0.864851,0,NA,NA,0.875064,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873944,0,0.865459,0,NA,NA,NA,NA,0.85213,0,NA,NA,NA,NA,0.870678,0,NA,NA,NA,NA,NA,NA,NA,NA,0.867985,0,0.874801,0,NA,NA,NA,NA,0.856226,0,NA,NA,NA,NA,NA,NA,NA,NA,0.882193,0,NA,NA,NA,NA,0.873745,0,NA,NA,NA,NA,0.875932,0,NA,NA,0.873107,0,0.882551,0,NA,NA,NA,NA,0.878813,0,0.874883,0,NA,NA,0.863811,0,NA,NA,0.876322,0,NA,NA,NA,NA,NA,NA,NA,NA,0.872382,0,NA,NA,NA,NA,0.813018,0,NA,NA,0.854761,0,NA,NA,NA,NA,0.871144,0,0.860901,0,NA,NA,NA,NA,NA,NA,0.869422,0,0.860095,0,NA,NA,0.8723,0,0.866115,0,0.877361,0,NA,NA,0.86391,0,NA,NA,NA,NA,0.849106,0,NA,NA,NA,NA,0.869517,0,0.886397,0
