"","date","NDVI_hectareID_27","NDVI_sd_hectareID_27","NDVI_hectareID_26","NDVI_sd_hectareID_26","NDVI_hectareID_17","NDVI_sd_hectareID_17","NDVI_hectareID_24","NDVI_sd_hectareID_24","NDVI_hectareID_09","NDVI_sd_hectareID_09","NDVI_hectareID_11","NDVI_sd_hectareID_11","NDVI_hectareID_31","NDVI_sd_hectareID_31","NDVI_hectareID_07","NDVI_sd_hectareID_07","NDVI_hectareID_08","NDVI_sd_hectareID_08","NDVI_hectareID_12","NDVI_sd_hectareID_12","NDVI_hectareID_24","NDVI_sd_hectareID_24","NDVI_hectareID_25","NDVI_sd_hectareID_25","NDVI_hectareID_28","NDVI_sd_hectareID_28","NDVI_hectareID_18","NDVI_sd_hectareID_18","NDVI_hectareID_03","NDVI_sd_hectareID_03","NDVI_hectareID_30","NDVI_sd_hectareID_30","NDVI_hectareID_14","NDVI_sd_hectareID_14","NDVI_hectareID_04","NDVI_sd_hectareID_04","NDVI_hectareID_06","NDVI_sd_hectareID_06","NDVI_hectareID_20","NDVI_sd_hectareID_20","NDVI_hectareID_23","NDVI_sd_hectareID_23","NDVI_hectareID_05","NDVI_sd_hectareID_05","NDVI_hectareID_16","NDVI_sd_hectareID_16","NDVI_hectareID_01","NDVI_sd_hectareID_01","NDVI_hectareID_21","NDVI_sd_hectareID_21","NDVI_hectareID_02","NDVI_sd_hectareID_02","NDVI_hectareID_15","NDVI_sd_hectareID_15","NDVI_hectareID_13","NDVI_sd_hectareID_13","NDVI_hectareID_22","NDVI_sd_hectareID_22","NDVI_hectareID_19","NDVI_sd_hectareID_19","NDVI_hectareID_10","NDVI_sd_hectareID_10","NDVI_hectareID_29","NDVI_sd_hectareID_29"
"1",2018-12-17,NA,NA,0.807614,0.039857,0.836105,0.019098,0.875505,0.023368,0.831688,0.031461,NA,NA,0.880853,0.01698,0.887402,0.025219,0.875751,0.014661,NA,NA,0.860229,0.019136,0.863766,0.020389,0.877564,0.021253,0.542462,0.081045,0.844759,0.085622,0.886148,0.024493,NA,NA,0.906142,0.010691,0.680815,0.059262,0.758383,0.072048,0.681614,0.051944,0.851896,0.027858,0.863806,0.019765,0.879137,0.015588,0.813199,0.083012,0.473156,0.114244,0.859171,0.016688,0.64801,0.083688,0.879611,0.012527,0.778973,0.04301,0.815668,0.047239,0.868114,0.018197
"2",2018-12-22,NA,NA,NA,NA,NA,NA,0.767879,0.087746,NA,NA,0.594197,0.012659,0.330789,0.069041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.719381,0.037629,NA,NA,0.801827,0.016649,0.865697,0.024493,0.21675,0.015245,0.812732,0.035525,0.274325,0,NA,NA,0.503466,0.060981,NA,NA,NA,NA,0.810838,0.024428,NA,NA,0.629889,0.080331,0.669094,0.063528,NA,NA,NA,NA,NA,NA,NA,NA,0.841523,0.013688
"3",2018-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21019,0.01264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572114,0.029926
"4",2019-01-01,0.773839,0.015984,0.567513,0.109999,0.382404,0.03574,0.802442,0.022031,0.776246,0.037848,0.573618,0.02633,0.803884,0.024394,0.814982,0.023012,NA,NA,NA,NA,0.633246,0.02195,0.786052,0.022026,NA,NA,NA,NA,0.733746,0.037891,0.799312,0.027132,NA,NA,NA,NA,NA,NA,NA,NA,0.77247,0.048174,0.652941,0.031203,NA,NA,0.620891,0.02145,0.728528,0.029899,NA,NA,0.44823,0.087341,0.782648,0.01949,0.807005,0.013467,0.547698,0.065754,0.539854,0,NA,NA
"5",2019-01-06,NA,NA,NA,NA,0.361845,0,NA,NA,0.711327,0.070352,0.776228,0.064702,0.863125,0.016219,0.840516,0.023543,0.861618,0.019652,0.8353,0.017827,NA,NA,NA,NA,NA,NA,0.432004,0.15812,NA,NA,0.702689,0.064227,0.556314,0.007173,NA,NA,0.689385,0.053401,NA,NA,NA,NA,NA,NA,0.726145,0.078507,NA,NA,NA,NA,NA,NA,0.832109,0.017875,NA,NA,NA,NA,0.760833,0.025413,0.811252,0.047813,NA,NA
"6",2019-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.847832,0.022989,NA,NA,0.84222,0.019167,0.123907,0,NA,NA,NA,NA,NA,NA,NA,NA,0.775309,0.018716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673516,0.023711,NA,NA,NA,NA,0.703878,0.058076,NA,NA,NA,NA,NA,NA,0.828843,0.016915,0.808928,0.019209,NA,NA,NA,NA,NA,NA
"7",2019-01-21,0.86168,0.019425,NA,NA,0.872312,0.015613,NA,NA,0.844302,0.021893,0.855677,0.017218,0.88835,0.015663,NA,NA,0.875,0.010097,0.729228,0.021853,0.870484,0.019977,0.898289,0.012008,0.887763,0.015101,0.720709,0.042738,NA,NA,0.894172,0.017846,NA,NA,NA,NA,NA,NA,0.856071,0.020698,0.845302,0.019349,NA,NA,0.877568,0.01663,0.820453,0.016037,0.864785,0.013449,0.729765,0.072381,0.859489,0.013981,NA,NA,0.840125,0.020319,NA,NA,0.0387,0.007947,0.790658,0.159006
"8",2019-01-26,0.520592,0,NA,NA,0.770857,0.146856,0.875328,0.016551,0.84589,0.055143,0.822937,0.020405,0.886964,0.015507,0.575082,0.042672,0.831301,0.059268,NA,NA,NA,NA,0.689546,0.122341,0.83378,0.038057,0.548509,0.087229,0.88113,0.014214,0.888693,0.018923,0.851632,0.016387,0.887771,0.009314,0.86504,0.019527,0.177174,0.068552,0.749243,0.026957,0.868341,0.018394,0.843459,0.019236,0.868006,0.016333,0.757036,0.084093,NA,NA,NA,NA,0.770245,0.05911,0.771037,0.04276,0.877715,0.013383,0.376196,0.072232,0.872848,0.019204
"9",2019-01-31,0.863402,0.017248,0.874344,0.030211,0.877077,0.014541,0.890671,0.018305,0.872761,0.022014,0.853972,0.025525,0.896326,0.014978,0.89202,0.028601,0.881403,0.011065,0.869854,0.011924,0.863067,0.031251,0.901972,0.012366,0.886972,0.015455,0.609113,0.197325,0.88274,0.014163,0.891828,0.017198,0.861624,0.016807,NA,NA,0.831025,0.018135,0.865462,0.01949,NA,NA,NA,NA,0.852906,0.018439,0.287194,0.110611,0.872663,0.012477,0.854395,0.066404,NA,NA,NA,NA,0.890978,0.014301,0.673741,0,0.533469,0.079967,0.881103,0.019086
"10",2019-02-05,NA,NA,0.797897,0.204954,NA,NA,0.86692,0.01884,0.873827,0.025929,0.849918,0.018572,0.637266,0.071978,0.776774,0.063239,0.848379,0.012949,0.865407,0.014354,0.764386,0.069369,0.853718,0.014622,0.830396,0.029599,0.847972,0.016103,0.873775,0.015066,0.441778,0.052327,0.798612,0.020995,0.858542,0.03131,0.87402,0.017376,0.808772,0.027169,0.851927,0.020571,0.87444,0.018342,0.736773,0.139118,0.872355,0.015083,NA,NA,0.887603,0.079824,0.678053,0.131194,0.709578,0.030387,0.788539,0.04863,0.638362,0.128263,0.820417,0.054664,0.4388,0.104517
"11",2019-02-10,NA,NA,NA,NA,0.783044,0.023803,0.249833,0.139305,0.843813,0.02148,0.659664,0.036525,0.637274,0.042038,NA,NA,0.842265,0.011539,0.511468,0.050665,0.636507,0.02765,NA,NA,NA,NA,0.520938,0.12216,0.84282,0.012785,NA,NA,0.51963,0.100281,0.849929,0.013738,0.83258,0.023249,0.545659,0.120426,0.667539,0.031877,0.831787,0.018246,0.597651,0.210562,0.763282,0.018555,0.652914,0.027265,0.689063,0.092076,0.711733,0.045403,NA,NA,NA,NA,0.7975,0.023737,0.623899,0.071608,NA,NA
"12",2019-02-15,0.653975,0.032571,0.621016,0.031144,NA,NA,NA,NA,0.692913,0.031998,0.708668,0.042554,0.823176,0.016193,0.843923,0.023994,NA,NA,NA,NA,NA,NA,0.834636,0.010879,NA,NA,0.756619,0.040732,0.715355,0.019893,NA,NA,0.557003,0.025825,NA,NA,0.780535,0.02983,0.805391,0.018166,0.394366,0.072931,NA,NA,0.716465,0.044994,0.791755,0.038643,0.601154,0.049519,NA,NA,0.766992,0.029449,NA,NA,0.627324,0.048098,NA,NA,NA,NA,NA,NA
"13",2019-02-20,0.846554,0.017756,0.852758,0.031165,0.865487,0.014642,0.875282,0.020143,0.838268,0.022023,0.842556,0.015668,0.877273,0.016023,0.851194,0.020575,0.835791,0.01495,0.849155,0.011499,0.863433,0.019414,0.885023,0.009608,0.871774,0.016515,0.847909,0.014166,0.852937,0.013227,0.87631,0.019142,0.852662,0.018015,0.865244,0.009958,0.837336,0.017683,0.842962,0.017328,0.854969,0.016693,0.837445,0.019185,0.867554,0.012168,0.824088,0.014385,0.860283,0.012109,0.849006,0.07028,0.850978,0.015047,0.861088,0.01673,0.877222,0.014615,0.871225,0.011723,0.832133,0.036922,0.860777,0.020001
"14",2019-02-25,0.834691,0.017725,0.852158,0.030712,0.877305,0.016009,0.878569,0.019555,0.884356,0.023052,0.868565,0.018136,0.867563,0.014591,0.891029,0.022879,0.882216,0.012053,0.87134,0.01739,0.868835,0.021427,0.880025,0.009518,0.85033,0.01547,0.864029,0.015203,0.883646,0.01468,0.843126,0.024637,0.867692,0.022181,0.891755,0.010477,0.884126,0.018741,0.857765,0.018853,0.867148,0.016372,0.887531,0.021294,0.885328,0.015314,0.877008,0.015724,0.866748,0.011535,0.885823,0.079679,0.865956,0.017267,0.871639,0.018058,0.884156,0.017416,0.885484,0.011856,0.862606,0.041288,0.835161,0.024794
