"","date","NDVI_hectareID_02","NDVI_sd_hectareID_02","NDVI_hectareID_06","NDVI_sd_hectareID_06","NDVI_hectareID_11","NDVI_sd_hectareID_11","NDVI_hectareID_12","NDVI_sd_hectareID_12","NDVI_hectareID_20","NDVI_sd_hectareID_20","NDVI_hectareID_21","NDVI_sd_hectareID_21","NDVI_hectareID_22","NDVI_sd_hectareID_22","NDVI_hectareID_23","NDVI_sd_hectareID_23","NDVI_hectareID_24","NDVI_sd_hectareID_24","NDVI_hectareID_25","NDVI_sd_hectareID_25","NDVI_hectareID_26","NDVI_sd_hectareID_26","NDVI_hectareID_28","NDVI_sd_hectareID_28","NDVI_hectareID_29","NDVI_sd_hectareID_29","NDVI_hectareID_30","NDVI_sd_hectareID_30","NDVI_hectareID_31","NDVI_sd_hectareID_31","NDVI_hectareID_32","NDVI_sd_hectareID_32","NDVI_hectareID_33","NDVI_sd_hectareID_33","NDVI_hectareID_34","NDVI_sd_hectareID_34","NDVI_hectareID_35","NDVI_sd_hectareID_35","NDVI_hectareID_37","NDVI_sd_hectareID_37","NDVI_hectareID_38","NDVI_sd_hectareID_38","NDVI_hectareID_39","NDVI_sd_hectareID_39","NDVI_hectareID_41","NDVI_sd_hectareID_41","NDVI_hectareID_42","NDVI_sd_hectareID_42","NDVI_hectareID_43","NDVI_sd_hectareID_43","NDVI_hectareID_44","NDVI_sd_hectareID_44","NDVI_hectareID_45","NDVI_sd_hectareID_45","NDVI_hectareID_46","NDVI_sd_hectareID_46","NDVI_hectareID_47","NDVI_sd_hectareID_47","NDVI_hectareID_48","NDVI_sd_hectareID_48","NDVI_hectareID_49","NDVI_sd_hectareID_49","NDVI_hectareID_50","NDVI_sd_hectareID_50","NDVI_hectareID_51","NDVI_sd_hectareID_51","NDVI_hectareID_52","NDVI_sd_hectareID_52","NDVI_hectareID_52","NDVI_sd_hectareID_52","NDVI_hectareID_54","NDVI_sd_hectareID_54","NDVI_hectareID_55","NDVI_sd_hectareID_55","NDVI_hectareID_56","NDVI_sd_hectareID_56","NDVI_hectareID_57","NDVI_sd_hectareID_57","NDVI_hectareID_58","NDVI_sd_hectareID_58","NDVI_hectareID_59","NDVI_sd_hectareID_59","NDVI_hectareID_61","NDVI_sd_hectareID_61","NDVI_hectareID_62","NDVI_sd_hectareID_62","NDVI_hectareID_63","NDVI_sd_hectareID_63","NDVI_hectareID_64","NDVI_sd_hectareID_64"
"1",2018-12-15,0.842557,0.065809,0.895824,0.019989,0.9003835,0.0071185,0.863075,0.013578,0.840125,0.017431,0.7671615,0.015439,0.836696,0.011833,0.732711,0.019492,0.802688,0.087222,0.79562,0.011014,0.870801,0.00972,0.430882,0.104171,NA,NA,0.8818415,0.0171355,0.7711295,0.0152505,0.744336,0.009698,0.817782,0.0140415,0.810406,0.017452,0.8864465,0.024171,0.834583,0.019672,0.848919,0.0133815,NA,NA,0.845057,0.016638,NA,NA,0.846647,0.079908,0.872429,0.008345,0.555455,0.118516,0.825478,0.020585,0.792532,0.018404,0.743935,0.029561,0.8003305,0.06225,0.830728,0.010755,0.911403,0.009215,0.893201,0.0145015,0.902648,0.015915,0.895984,0.02614,0.829885,0.022254,0.8537465,0.010189,0.800763,0.077674,0.901533,0.020435,0.8965785,0.0142575,0.803753,0.012894,0.8163735,0.021158,0.3992305,0.0685685,0.593675,0.095461
"2",2018-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307979,0.077772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2018-12-25,0.760992,0.038163,0.525957,0.030906,NA,NA,NA,NA,0.534576,0.032833,NA,NA,-0.023837,0.014569,NA,NA,0.403657,0.057265,NA,NA,NA,NA,-0.053693,0.017249,NA,NA,NA,NA,0.457682,0.0244245,0.719151,0.010702,NA,NA,0.677302,0.01601,NA,NA,NA,NA,0.5788125,0.041728,0.393565,0.0297265,0.757457,0.015963,NA,NA,0.79701,0.009952,NA,NA,NA,NA,NA,NA,0.405488,0.028046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405183,0.044161,0.76791,0.038749,NA,NA,0.6179315,0.0688835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.524309,0.01942
"4",2019-01-04,NA,NA,NA,NA,0.792152,0.007781,NA,NA,NA,NA,NA,NA,0.717216,0.014051,NA,NA,0.766659,0.079736,NA,NA,0.796798,0.009251,0.519083,0.083849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.700079,0.009895,NA,NA,NA,NA,NA,NA,NA,NA
"5",2019-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74135,0.061645,NA,NA,0.59698,0.016525,0.233908,0.145466,0.50651,0.058474,NA,NA,NA,NA,0.627001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.817576,0.020157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641576,0.072223,0.502279,0.0478675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182596,0.135239
"6",2019-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.751669,0.040536,NA,NA,NA,NA,NA,NA,NA,NA
"7",2019-01-19,0.82935,0.018617,0.650919,0.119357,0.6927115,0.036493,NA,NA,0.862587,0.015208,0.8370955,0.01868,NA,NA,0.789873,0.020887,0.233,0.037521,NA,NA,0.696772,0.060885,0.491448,0.049939,NA,NA,0.8044315,0.037446,0.795126,0.015994,0.83759,0.010019,0.8590185,0.0123485,0.836115,0.01558,0.8923555,0.021163,0.859776,0.022749,0.853757,0.011641,0.790573,0.1104265,0.838669,0.087093,0.626803,0,NA,NA,0.855135,0.016984,0.844065,0.013545,0.827033,0.0193,0.785006,0.033909,NA,NA,0.8518635,0.03165,0.784688,0.053471,0.911245,0.012836,0.86756,0.0523935,0.899546,0.015846,0.879545,0.043967,0.825907,0.021539,0.8596475,0.0093825,0.886701,0.015516,0.902969,0.011363,0.871927,0.0161685,0.713282,0.077244,0.8891675,0.022144,0.7466285,0.0451445,0.858039,0.012761
"8",2019-01-24,0.867841,0.011044,0.887997,0.014225,NA,NA,NA,NA,0.796384,0.127294,0.8066255,0.036121,NA,NA,0.791808,0.018024,0.742349,0.120054,0.783931,0.052927,0.836196,0.059633,0.571182,0.084329,NA,NA,0.542912,0.16708,0.7797555,0.0476505,0.802567,0.041262,0.7030735,0.093022,NA,NA,0.6382045,0.1361425,0.851275,0.014606,0.8499865,0.010622,0.82352,0.017448,0.828635,0.023201,NA,NA,0.867753,0.008951,0.58708,0.060176,0.835621,0.016501,0.784314,0.07429,0.79468,0.016937,0.767467,0.019779,NA,NA,0.824526,0.016903,0.743214,0.113974,0.8880085,0.013446,NA,NA,0.898029,0.008195,0.823064,0.022627,NA,NA,0.743868,0.0809675,0.900185,0.019471,0.852723,0.015568,0.626737,0.085428,0.772018,0.0792665,0.7833175,0.039821,0.861189,0.011913
"9",2019-01-29,0.53133,0.056094,0.43745,0.066317,0.8499455,0.060757,NA,NA,NA,NA,NA,NA,0.786482,0.055546,NA,NA,NA,NA,0.788445,0.03826,0.763108,0.078816,0.392281,0.135331,-0.012402,0.09808,NA,NA,0.721646,0.0202685,0.804026,0.014513,0.662878,0.1137095,0.752772,0.016573,0.777078,0.027401,NA,NA,0.748447,0.143831,0.500235,0.0596745,0.715155,0.136256,0.6257685,0.0590625,0.752926,0.070838,NA,NA,-0.014175,0,0.744784,0.061825,0.415706,0.038965,0.578767,0.114802,0.78142,0.0671725,NA,NA,NA,NA,0.4957165,0.054879,0.850126,0.021165,NA,NA,0.179348,0,0.7415705,0.0332605,NA,NA,0.802135,0.026724,0.157155,0,0.806392,0.013357,0.768758,0.1214325,0.7469825,0.0313545,0.361411,0.143645
"10",2019-02-03,0.862053,0.024963,0.507163,0.047379,NA,NA,0.502071,0.145618,NA,NA,0.842511,0.018462,0.580218,0.0862,NA,NA,0.779484,0.123164,0.82671,0.0096,0.867995,0.046099,0.578827,0.066349,0.688564,0.098891,0.391924,0.061601,0.7912585,0.0168715,0.68856,0.091209,0.8607845,0.0150935,0.840632,0.01539,0.7618385,0.042176,0.841285,0.026384,0.8527495,0.010441,0.4440375,0.0793935,0.598444,0.00916,0.874073,0.0095555,0.626148,0.157653,0.871195,0.008516,0.853172,0.012942,NA,NA,0.800029,0.015636,0.807635,0.014272,0.853066,0.0306575,0.785029,0.02419,0.903473,0.01468,0.8984125,0.012001,0.907196,0.04294,0.886985,0.039216,0.177157,0.031929,0.8546545,0.0137705,0.754633,0.144103,0.903565,0.015854,0.8363685,0.0189645,0.737964,0.070522,0.828062,0.017625,0.32548,0.114891,0.852201,0.01266
"11",2019-02-08,0.86208,0.013379,0.876163,0.017066,0.8701955,0.038821,NA,NA,0.855749,0.013381,0.8269355,0.01861,NA,NA,0.777559,0.019649,NA,NA,0.509905,0.102736,0.697487,0.058108,0.485527,0.085005,0.78963,0.018316,NA,NA,0.77012,0.0177305,0.312977,0.09235,0.8457715,0.012731,0.353023,0.079739,0.470084,0.1661835,0.803325,0.032827,0.8437185,0.0100055,0.8447315,0.009742,0.861217,0.01329,0.801687,0.1225425,0.788442,0.097488,0.847435,0.008915,0.838564,0.012709,0.839218,0.011991,NA,NA,0.759777,0.019815,0.8430495,0.0266985,0.819035,0.017981,0.866496,0.012703,0.428619,0.0460645,NA,NA,0.889506,0.013328,NA,NA,0.534073,0.0670575,0.3043405,0.0991635,NA,NA,0.7467745,0.10386,0.786494,0.040685,0.878175,0.0240165,NA,NA,0.6531,0.094474
"12",2019-02-13,0.8678,0.012958,0.883721,0.014565,0.8905815,0.0082715,0.80704,0.014643,0.820562,0.014485,0.834835,0.017754,0.835095,0.012831,0.777247,0.017724,0.718193,0.119468,0.79554,0.008935,0.83656,0.04917,0.574922,0.059881,0.747191,0.018164,0.877959,0.012953,0.769854,0.017259,0.814677,0.009882,0.8429935,0.01221,0.819623,0.01426,0.871777,0.018656,0.711837,0.195089,0.834353,0.009874,0.8565245,0.010034,0.234997,0,0.8532,0.0100555,0.866093,0.010212,0.847695,0.008857,0.830416,0.012043,0.839036,0.011087,0.797103,0.014668,0.77554,0.014746,0.8445755,0.028962,0.815195,0.011632,0.894764,0.010706,0.8832685,0.0114475,0.892194,0.016828,0.893873,0.00835,0.800526,0.020981,0.848972,0.0089645,0.8836155,0.013634,0.870328,0.019939,0.853308,0.014547,0.112838,0.01378,0.868984,0.023675,0.65029,0.100305,0.826932,0.011988
"13",2019-02-23,NA,NA,NA,NA,0.0930345,0.0065565,0.846445,0.012301,0.664985,0.095528,0.837377,0.016088,NA,NA,0.431025,0.097132,NA,NA,0.813058,0.010064,0.624917,0.270161,0.651263,0.058697,0.811342,0.019197,0.1898975,0.0024605,0.622261,0.0790505,NA,NA,0.84748,0.0118655,NA,NA,0.750129,0.076199,0.727464,0.122772,0.837688,0.0137325,0.8477665,0.011438,0.861873,0.012942,0.235394,0.1153225,0.400548,0.027218,NA,NA,NA,NA,NA,NA,0.727389,0.041961,NA,NA,0.630889,0.103635,0.8309,0.011914,0.893285,0.015868,0.8721825,0.047037,0.357576,0.144506,0.877191,0.014348,NA,NA,0.8120885,0.031902,0.874888,0.020426,0.270763,0.100673,0.8515545,0.015625,0.804431,0.014424,NA,NA,0.7892085,0.0321675,0.83608,0.016983
"14",2019-02-28,0.497721,0.023496,NA,NA,0.6467335,0.0328355,NA,NA,NA,NA,NA,NA,0.317837,0.092519,NA,NA,0.694171,0.09473,0.768623,0.053565,0.776632,0.019948,NA,NA,0.737186,0.016763,0.1883455,0.0351475,0.5741655,0.0183445,0.781751,0.009029,0.5739185,0.039689,0.468205,0.047647,0.5578865,0.105288,NA,NA,0.7344695,0.0165475,0.4204745,0.0526105,0.732297,0.025529,0.5678355,0.0306335,NA,NA,NA,NA,NA,NA,NA,NA,0.500196,0.040119,NA,NA,NA,NA,0.771261,0.009136,0.800249,0.01925,NA,NA,0.405018,0.075287,0.499783,0.045184,0.374804,0.053548,NA,NA,0.802949,0.018792,0.793063,0.012951,0.5830455,0.0371375,0.774649,0.012814,0.663048,0.0292555,NA,NA,0.787879,0.021229
