"","Date","mata_escura_RVI","mata_escura_RVI_fitted","mata_escura_RVI_trend","Date.1","monte_pascoal_RVI","monte_pascoal_RVI_fitted","monte_pascoal_RVI_trend","Date.2","rio_doce_RVI","rio_doce_RVI_fitted","rio_doce_RVI_trend","Date.3","sooretama_RVI","sooretama_RVI_fitted","sooretama_RVI_trend"
"1",2016-01-10,0.884,0.81682047,0.83626283,2016-01-10,0.856,0.79556503,0.78579924,2016-01-10,0.8225,0.75453039,0.77740207,2016-01-10,0.989,0.76296347,0.75516088
"2",2016-01-22,0.934,0.82894556,0.83624455,2016-01-22,0.857,0.80327805,0.78568865,2016-01-22,0.8045,0.75183301,0.77733888,2016-01-22,0.946,0.76028013,0.7550803
"3",2016-02-03,0.8425,0.82621567,0.83622567,2016-02-03,0.8415,0.79801937,0.78557617,2016-02-03,0.776,0.75198096,0.77727495,2016-02-03,0.868,0.7518957,0.75499851
"4",2016-02-15,0.843,0.83039378,0.83620618,2016-02-15,0.835,0.80551888,0.78546178,2016-02-15,0.7415,0.75237127,0.77721026,2016-02-15,0.823,0.75942049,0.7549155
"5",2016-02-27,0.812,0.82651748,0.83618603,2016-02-27,0.831,0.8093346,0.78534548,2016-02-27,0.739,0.7537875,0.77714479,2016-02-27,0.8345,0.75117897,0.75483124
"6",2016-03-10,0.808,0.82406135,0.83616517,2016-03-10,0.817,0.80166986,0.78522728,2016-03-10,0.7625,0.75694861,0.77707851,2016-03-10,0.836,0.74482932,0.75474567
"7",2016-03-22,-999,0.82253837,0.83614355,2016-03-22,-999,0.79817932,0.78510715,2016-03-22,-999,0.75699644,0.77701141,2016-03-22,-999,0.74072313,0.75465866
"8",2016-04-03,0.8,0.81660138,0.83612115,2016-04-03,0.804,0.78827089,0.78498506,2016-04-03,0.764,0.75384776,0.77694346,2016-04-03,0.836,0.72640618,0.75457003
"9",2016-04-15,0.828,0.81629632,0.83609796,2016-04-15,0.805,0.78622237,0.78486097,2016-04-15,0.74,0.75409143,0.77687467,2016-04-15,0.851,0.72306352,0.75447955
"10",2016-04-27,0.798,0.81665293,0.83607399,2016-04-27,0.772,0.78395349,0.78473482,2016-04-27,0.7555,0.74909357,0.77680502,2016-04-27,0.867,0.71560963,0.75438698
"11",2016-05-09,0.83,0.81526571,0.83604924,2016-05-09,0.782,0.77689775,0.78460654,2016-05-09,0.762,0.73525337,0.77673451,2016-05-09,0.9055,0.71113283,0.75429205
"12",2016-05-21,0.854,0.81140496,0.83602375,2016-05-21,0.832,0.76724333,0.78447604,2016-05-21,0.77,0.72969579,0.7766631,2016-05-21,0.9195,0.70970495,0.75419447
"13",2016-06-02,0.808,0.8157894,0.8359975,2016-06-02,0.778,0.76823786,0.7843432,2016-06-02,0.767,0.73055392,0.77659074,2016-06-02,0.936,0.70830832,0.75409392
"14",2016-06-14,0.847,0.81910325,0.8359705,2016-06-14,0.788,0.77041627,0.78420789,2016-06-14,0.752,0.73039162,0.77651735,2016-06-14,0.9375,0.7186048,0.75399006
"15",2016-06-26,-999,0.82453548,0.8359427,2016-06-26,-999,0.76507189,0.78406991,2016-06-26,-999,0.73002969,0.77644278,2016-06-26,-999,0.72510639,0.75388253
"16",2016-07-08,0.808,0.82244487,0.83591405,2016-07-08,0.769,0.75900159,0.78392907,2016-07-08,0.7695,0.73592207,0.77636685,2016-07-08,0.929,0.72883524,0.75377091
"17",2016-07-20,0.849,0.82220257,0.8358845,2016-07-20,0.794,0.75254963,0.78378509,2016-07-20,0.7665,0.74436247,0.77628933,2016-07-20,0.9405,0.71298832,0.75365478
"18",2016-08-01,0.801,0.82173662,0.83585396,2016-08-01,0.766,0.75214181,0.78363769,2016-08-01,0.789,0.75455322,0.77620989,2016-08-01,0.8985,0.71493908,0.75353367
"19",2016-08-13,0.85,0.83298831,0.83582237,2016-08-13,0.788,0.75081898,0.78348648,2016-08-13,0.8155,0.76135611,0.77612816,2016-08-13,0.9275,0.71802061,0.75340706
"20",2016-08-25,0.843,0.84058564,0.83578961,2016-08-25,0.781,0.75138151,0.78333105,2016-08-25,0.8265,0.77598365,0.77604367,2016-08-25,0.9345,0.73639249,0.7532744
"21",2016-09-06,0.856,0.8433364,0.83575556,2016-09-06,0.793,0.76623113,0.78317089,2016-09-06,0.8895,0.84085229,0.77595587,2016-09-06,0.923,0.74814658,0.75313511
"22",2016-09-18,0.892,0.85271137,0.83572007,2016-09-18,0.817,0.7707196,0.78300544,2016-09-18,0.882,0.85749946,0.77586415,2016-09-18,1.0055,0.7681443,0.75298854
"23",2016-09-30,0.83,0.8597316,0.83568293,2016-09-30,0.78,0.77422461,0.78283403,2016-09-30,0.841666666666667,0.86778024,0.77576778,2016-09-30,0.889,0.79694433,0.75283401
"24",2016-10-12,0.876,0.86776266,0.83564388,2016-10-12,0.794,0.78801754,0.78265589,2016-10-12,0.863,0.85784879,0.77566591,2016-10-12,0.905,0.82471564,0.75267079
"25",2016-10-24,0.851,0.87036525,0.83560264,2016-10-24,0.796,0.79832575,0.78247014,2016-10-24,0.832,0.83013847,0.7755576,2016-10-24,0.908,0.83493341,0.7524981
"26",2016-11-05,0.854,0.87499933,0.8355589,2016-11-05,0.807,0.80580458,0.78227576,2016-11-05,0.817,0.84886,0.77544178,2016-11-05,0.835,0.8361984,0.75231505
"27",2016-11-17,0.869,0.87955465,0.83551231,2016-11-17,0.862,0.81060377,0.78207158,2016-11-17,0.841,0.84660554,0.77531725,2016-11-17,0.79,0.82647109,0.75212058
"28",2016-11-29,0.835,0.87157745,0.83546253,2016-11-29,0.799,0.81093751,0.7818563,2016-11-29,0.777,0.81636405,0.77518268,2016-11-29,0.78,0.79548322,0.75191359
"29",2016-12-11,0.846,0.8687085,0.83540921,2016-12-11,0.802,0.81038816,0.78162844,2016-12-11,0.801,0.79219055,0.77503666,2016-12-11,0.8,0.78231514,0.75169293
"30",2016-12-23,0.823,0.83705361,0.83535201,2016-12-23,0.796,0.79710821,0.78138636,2016-12-23,0.738,0.76813063,0.77487764,2016-12-23,0.737,0.77571005,0.75145742
"31",2017-01-04,0.825,0.815807,0.8352906,2017-01-04,0.796,0.79088439,0.78112824,2017-01-04,0.722,0.7518037,0.77470398,2017-01-04,0.743,0.75899586,0.75120597
"32",2017-01-16,0.804,0.82789386,0.83522464,2017-01-16,0.787,0.79842033,0.78085207,2017-01-16,0.793,0.74897205,0.77451388,2017-01-16,0.721,0.75618,0.75093755
"33",2017-01-28,0.815,0.82509314,0.83515376,2017-01-28,0.799,0.79297318,0.78055571,2017-01-28,0.715,0.74896894,0.77430539,2017-01-28,0.731,0.7476198,0.75065128
"34",2017-02-09,0.892,0.82921307,0.83507753,2017-02-09,0.851,0.80027016,0.78023676,2017-02-09,0.786,0.7492259,0.77407645,2017-02-09,0.775,0.75489834,0.75034644
"35",2017-02-21,0.863,0.82529126,0.83499544,2017-02-21,0.839,0.803855,0.77989266,2017-02-21,0.739,0.75047145,0.77382484,2017-02-21,0.716,0.7464129,0.75002258
"36",2017-03-05,0.813,0.82277477,0.8349069,2017-03-05,0.774,0.79593415,0.77952067,2017-03-05,0.732,0.75342703,0.77354832,2017-03-05,0.694,0.73981434,0.74967959
"37",2017-03-17,0.82,0.82118409,0.8348112,2017-03-17,0.823,0.79216651,0.77911792,2017-03-17,0.738,0.75324904,0.77324465,2017-03-17,0.747,0.73542888,0.74931787
"38",2017-03-29,0.858,0.81518161,0.83470749,2017-03-29,0.812,0.78196705,0.77868151,2017-03-29,0.786,0.74983165,0.77291179,2017-03-29,0.704,0.72079393,0.74893842
"39",2017-04-10,0.807,0.81477448,0.83459484,2017-04-10,0.778,0.77956796,0.7782087,2017-04-10,0.731,0.74976806,0.77254808,2017-04-10,0.755,0.71707802,0.74854292
"40",2017-04-22,0.822,0.81503465,0.83447218,2017-04-22,0.756,0.77691021,0.7776971,2017-04-22,-999,0.7444356,0.77215253,2017-04-22,0.818,0.70928597,0.74813383
"41",2017-05-04,0.838,0.81353748,0.8343384,2017-05-04,0.786,0.76942299,0.77714501,2017-05-04,0.754,0.73024562,0.77172512,2017-05-04,0.724,0.70448923,0.7477144
"42",2017-05-16,0.835,0.80955206,0.83419235,2017-05-16,0.769,0.75930405,0.77655186,2017-05-16,0.715,0.72430205,0.77126728,2017-05-16,0.835,0.70274069,0.74728867
"43",2017-05-28,0.827,0.81380452,0.83403288,2017-05-28,0.767,0.75980476,0.77591863,2017-05-28,0.684,0.72474771,0.77078231,2017-05-28,0.738,0.70105268,0.74686147
"44",2017-06-09,0.804,0.81699922,0.83385893,2017-06-09,0.734,0.76147227,0.77524841,2017-06-09,0.714,0.72415821,0.77027573,2017-06-09,0.734,0.71105247,0.74643818
"45",2017-06-21,0.804,0.82227676,0.83366969,2017-06-21,0.717,0.75556931,0.77454655,2017-06-21,0.761,0.72335072,0.76975481,2017-06-21,0.782,0.71727461,0.74602406
"46",2017-07-03,0.845,0.82002324,0.83346456,2017-07-03,0.778,0.7489064,0.77382011,2017-07-03,0.715,0.72877231,0.76922683,2017-07-03,0.769,0.72071046,0.74562275
"47",2017-07-15,0.85,0.81943376,0.83309613,2017-07-15,0.781,0.74175352,0.77298503,2017-07-15,0.738,0.73667123,0.76861746,2017-07-15,0.702,0.70392854,0.74462993
"48",2017-07-27,0.804,0.81860626,0.83271127,2017-07-27,0.747,0.74064752,0.77214615,2017-07-27,0.746,0.74631792,0.76800183,2017-07-27,0.728,0.70499926,0.74362002
"49",2017-08-08,0.792,0.82948917,0.83231033,2017-08-08,0.718,0.73862892,0.77130406,2017-08-08,0.785,0.75258623,0.76738195,2017-08-08,0.724,0.7071838,0.74259145
"50",2017-08-20,0.826,0.83671352,0.83189405,2017-08-20,0.721,0.73851082,0.77045892,2017-08-20,0.794,0.76667416,0.76676048,2017-08-20,-999,0.72464117,0.74154215
"51",2017-09-01,0.837,0.83904444,0.83146361,2017-09-01,0.761,0.75269816,0.76961055,2017-09-01,0.8,0.83101084,0.76613998,2017-09-01,0.736,0.73546534,0.74047031
"52",2017-09-13,0.891,0.84799789,0.83102012,2017-09-13,0.772,0.75647912,0.76875854,2017-09-13,0.839,0.84712575,0.76552228,2017-09-13,0.827,0.75452722,0.73937472
"53",2017-09-25,0.836,0.85462077,0.83056423,2017-09-25,0.767,0.75930117,0.76790246,2017-09-25,0.902,0.85689455,0.76490847,2017-09-25,0.802,0.78240679,0.73825477
