"","Date","mata_escura_EVI2","mata_escura_EVI2_fitted","mata_escura_EVI2_trend","Date.1","monte_pascoal_EVI2","monte_pascoal_EVI2_fitted","monte_pascoal_EVI2_trend","Date.2","rio_doce_EVI2","rio_doce_EVI2_fitted","rio_doce_EVI2_trend","Date.3","sooretama_EVI2","sooretama_EVI2_fitted","sooretama_EVI2_trend"
"1",2019-01-01,-999,0.56811478,0.47503333,2019-01-01,0.538,0.54764676,0.51661249,2019-01-01,-999,0.60334956,0.46903135,2019-01-01,0.371,0.57658406,0.50976596
"2",2019-01-06,-999,0.55581435,0.47503078,2019-01-06,0.53,0.54729924,0.51661468,2019-01-06,0.584,0.60321498,0.46904699,2019-01-06,0.55475,0.57665753,0.50975613
"3",2019-01-11,0.6495,0.54922536,0.47502821,2019-01-11,-999,0.5424162,0.51661688,2019-01-11,0.586,0.60057938,0.46906269,2019-01-11,-999,0.55644375,0.50974619
"4",2019-01-16,0.532,0.5613267,0.47502561,2019-01-16,-999,0.54319125,0.51661908,2019-01-16,0.564,0.60160354,0.46907843,2019-01-16,0.598,0.58602127,0.50973614
"5",2019-01-21,0.5155,0.50736068,0.47502298,2019-01-21,0.556,0.55774194,0.51662129,2019-01-21,0.602,0.58377839,0.46909422,2019-01-21,0.5855,0.58273468,0.50972598
"6",2019-01-26,0.4655,0.48066612,0.47502032,2019-01-26,0.567,0.55703532,0.51662351,2019-01-26,0.557,0.55916602,0.46911006,2019-01-26,0.60125,0.5720323,0.5097157
"7",2019-01-31,0.504,0.46802364,0.47501763,2019-01-31,0.549,0.5563707,0.51662573,2019-01-31,0.545,0.56107007,0.46912595,2019-01-31,0.59675,0.56129045,0.50970532
"8",2019-02-05,0.466,0.47592059,0.47501491,2019-02-05,0.551,0.55493181,0.51662797,2019-02-05,-999,0.53648954,0.46914188,2019-02-05,0.532,0.56152738,0.50969481
"9",2019-02-10,0.5,0.49338362,0.47501216,2019-02-10,0.547,0.54758366,0.51663022,2019-02-10,0.505,0.53527212,0.46915786,2019-02-10,0.579,0.52825736,0.50968419
"10",2019-02-15,-999,0.48137738,0.47500937,2019-02-15,0.583,0.54860222,0.51663248,2019-02-15,0.533,0.52828237,0.46917389,2019-02-15,0.46175,0.5135895,0.50967345
"11",2019-02-20,0.515,0.48685994,0.47500654,2019-02-20,0.515,0.55185469,0.51663475,2019-02-20,0.537,0.522162,0.46918996,2019-02-20,-999,0.52128254,0.50966258
"12",2019-02-25,0.481,0.49818839,0.47500367,2019-02-25,0.501,0.52599538,0.51663703,2019-02-25,0.514,0.52420395,0.46920607,2019-02-25,0.53975,0.51659525,0.50965159
"13",2019-03-02,0.5135,0.50302832,0.47500075,2019-03-02,0.498,0.52154268,0.51663932,2019-03-02,0.509,0.51949257,0.46922223,2019-03-02,-999,0.52465466,0.50964047
"14",2019-03-07,0.5085,0.50839307,0.47499778,2019-03-07,-999,0.51910307,0.51664163,2019-03-07,0.532,0.51359112,0.46923844,2019-03-07,0.56,0.563197,0.50962921
"15",2019-03-12,0.4725,0.53495076,0.47499475,2019-03-12,0.591,0.52669694,0.51664396,2019-03-12,0.503,0.51266608,0.46925469,2019-03-12,0.52025,0.57069235,0.50961781
"16",2019-03-17,-999,0.53735831,0.47499167,2019-03-17,0.476,0.53593853,0.51664631,2019-03-17,-999,0.51140761,0.469271,2019-03-17,0.5265,0.572366,0.50960627
"17",2019-03-22,0.509,0.50363028,0.47498852,2019-03-22,-999,0.53465434,0.51664867,2019-03-22,0.464,0.4923151,0.46928735,2019-03-22,-999,0.56319174,0.50959459
"18",2019-03-27,-999,0.49759442,0.47498531,2019-03-27,0.522,0.52619983,0.51665106,2019-03-27,0.521,0.46424277,0.46930375,2019-03-27,-999,0.55875699,0.50958277
"19",2019-04-01,0.4895,0.48991116,0.47498204,2019-04-01,0.592,0.56862363,0.51665348,2019-04-01,0.368,0.43759519,0.46932019,2019-04-01,0.55925,0.54896633,0.5095708
"20",2019-04-06,0.473,0.47315346,0.4749787,2019-04-06,0.563,0.63102424,0.51665592,2019-04-06,0.51,0.4411143,0.46933669,2019-04-06,0.549,0.53547411,0.50955868
"21",2019-04-11,-999,0.48661017,0.47497529,2019-04-11,-999,0.49636293,0.5166584,2019-04-11,0.323,0.47981519,0.46935324,2019-04-11,0.5115,0.52236867,0.50954641
"22",2019-04-16,0.468,0.4972454,0.4749718,2019-04-16,0.631,0.45778852,0.5166609,2019-04-16,0.502,0.5161359,0.46936985,2019-04-16,-999,0.52405484,0.50953399
"23",2019-04-21,0.58,0.49702853,0.47496825,2019-04-21,0.168,0.44691871,0.51666345,2019-04-21,0.534,0.47593274,0.46938651,2019-04-21,0.4905,0.51864691,0.50952143
"24",2019-04-26,0.4815,0.47849615,0.47496462,2019-04-26,0.56,0.43352494,0.51666603,2019-04-26,0.456,0.48867784,0.46940322,2019-04-26,0.5455,0.52054853,0.50950871
