system:time_start,EVI_median,fitted
"Dec 15, 2018",0.546,0.564
"Dec 15, 2018",0.588,0.564
"Dec 20, 2018",,0.568
"Dec 20, 2018",,0.568
"Dec 25, 2018",0.656,0.572
"Dec 25, 2018",,0.572
"Dec 30, 2018",,0.575
"Dec 30, 2018",,0.575
"Jan 4, 2019",,0.578
"Jan 4, 2019",,0.578
"Jan 9, 2019",,0.58
"Jan 9, 2019",,0.58
"Jan 14, 2019",0.804,0.582
"Jan 14, 2019",0.812,0.582
"Jan 19, 2019",0.569,0.584
"Jan 19, 2019",0.592,0.584
"Jan 24, 2019",0.569,0.585
"Jan 24, 2019",0.553,0.585
"Jan 29, 2019",0.566,0.586
"Jan 29, 2019",0.567,0.586
"Feb 3, 2019",0.544,0.586
"Feb 3, 2019",0.553,0.586
"Feb 8, 2019",0.522,0.586
"Feb 8, 2019",0.538,0.586
"Feb 13, 2019",0.521,0.586
"Feb 13, 2019",0.549,0.586
"Feb 18, 2019",,0.585
"Feb 18, 2019",,0.585
"Feb 23, 2019",0.591,0.583
"Feb 23, 2019",0.611,0.583
"Feb 28, 2019",0.553,0.581
"Feb 28, 2019",0.572,0.581
"Mar 5, 2019",0.585,0.579
"Mar 5, 2019",0.589,0.579
"Mar 10, 2019",0.522,0.576
"Mar 10, 2019",0.558,0.576
"Mar 15, 2019",0.495,0.573
"Mar 15, 2019",0.532,0.573
"Mar 20, 2019",,0.569
"Mar 20, 2019",,0.569
"Mar 25, 2019",0.599,0.566
"Mar 25, 2019",0.484,0.566
"Mar 30, 2019",,0.561
"Mar 30, 2019",,0.561
"Apr 4, 2019",0.506,0.557
"Apr 4, 2019",0.553,0.557
"Apr 9, 2019",0.483,0.552
"Apr 9, 2019",0.535,0.552
"Apr 14, 2019",,0.548
"Apr 14, 2019",,0.548
"Apr 19, 2019",0.49,0.543
"Apr 19, 2019",0.533,0.543
"Apr 24, 2019",0.561,0.537
"Apr 24, 2019",0.736,0.537
"Apr 29, 2019",0.486,0.532
"Apr 29, 2019",0.529,0.532
"May 4, 2019",,0.527
"May 4, 2019",0.258,0.527
"May 9, 2019",,0.521
"May 9, 2019",,0.521
"May 9, 2019",,0.521
"May 9, 2019",,0.521
"May 14, 2019",0.494,0.516
"May 14, 2019",0.537,0.516
"May 19, 2019",,0.511
"May 19, 2019",,0.511
"May 24, 2019",0.467,0.506
"May 24, 2019",0.518,0.506
"May 29, 2019",0.463,0.501
"May 29, 2019",0.498,0.501
"Jun 3, 2019",0.478,0.496
"Jun 3, 2019",0.502,0.496
"Jun 8, 2019",,0.491
"Jun 8, 2019",,0.491
"Jun 13, 2019",0.458,0.487
"Jun 13, 2019",0.457,0.487
"Jun 18, 2019",0.544,0.483
"Jun 18, 2019",0.599,0.483
"Jun 23, 2019",,0.479
"Jun 23, 2019",,0.479
"Jun 28, 2019",,0.475
"Jun 28, 2019",,0.475
"Jul 3, 2019",0.439,0.472
"Jul 3, 2019",0.479,0.472
"Jul 8, 2019",0.432,0.469
