system:time_start,EVI_median,fitted
"Dec 17, 2018",0.619,0.657
"Dec 22, 2018",0.61,0.656
"Dec 27, 2018",,0.654
"Jan 1, 2019",0.632,0.652
"Jan 6, 2019",0.642,0.65
"Jan 11, 2019",,0.647
"Jan 16, 2019",,0.644
"Jan 21, 2019",0.634,0.64
"Jan 26, 2019",0.675,0.637
"Jan 31, 2019",0.624,0.633
"Feb 5, 2019",0.612,0.629
"Feb 10, 2019",0.607,0.624
"Feb 15, 2019",0.716,0.62
"Feb 20, 2019",0.569,0.615
"Feb 25, 2019",0.549,0.611
"Mar 2, 2019",0.591,0.606
"Mar 7, 2019",,0.602
"Mar 12, 2019",0.653,0.597
"Mar 17, 2019",0.553,0.592
"Mar 22, 2019",,0.588
"Mar 27, 2019",0.6,0.583
"Apr 1, 2019",0.671,0.579
"Apr 6, 2019",0.643,0.575
"Apr 11, 2019",,0.571
"Apr 16, 2019",0.733,0.568
"Apr 21, 2019",0.216,0.564
"Apr 26, 2019",0.628,0.561
"May 1, 2019",0.572,0.559
"May 6, 2019",,0.556
"May 11, 2019",0.561,0.554
"May 16, 2019",,0.552
"May 21, 2019",0.588,0.551
"May 26, 2019",0.525,0.55
"May 31, 2019",0.565,0.55
"Jun 5, 2019",,0.55
"Jun 10, 2019",0.608,0.55
"Jun 15, 2019",,0.55
"Jun 20, 2019",0.567,0.551
"Jun 25, 2019",0.529,0.553
"Jun 30, 2019",0.471,0.555
"Jul 5, 2019",0.56,0.557
"Jul 15, 2019",0.533,0.562
"Jul 20, 2019",,0.565
"Jul 25, 2019",0.443,0.568
"Jul 30, 2019",0.557,0.572
"Aug 4, 2019",,0.576
"Aug 9, 2019",0.595,0.58
"Aug 14, 2019",0.624,0.584
"Aug 19, 2019",0.557,0.588
"Aug 24, 2019",,0.592
"Aug 29, 2019",,0.597
"Sep 3, 2019",0.626,0.601
"Sep 8, 2019",,0.606
"Sep 13, 2019",0.616,0.61
"Sep 18, 2019",,0.614
"Sep 28, 2019",,0.623
"Oct 3, 2019",0.701,0.627
"Oct 8, 2019",0.706,0.63
"Oct 13, 2019",0.642,0.634
"Oct 18, 2019",0.701,0.637
"Oct 23, 2019",,0.64
"Oct 28, 2019",0.619,0.643
"Nov 2, 2019",,0.645
"Nov 7, 2019",0.674,0.647
"Nov 12, 2019",0.604,0.649
"Nov 17, 2019",,0.65
"Nov 22, 2019",0.614,0.651
"Nov 27, 2019",,0.652
"Dec 2, 2019",,0.652
"Dec 7, 2019",,0.652
"Dec 12, 2019",0.636,0.651
"Dec 17, 2019",0.609,0.65
"Dec 22, 2019",0.596,0.649
"Dec 27, 2019",0.613,0.647
"Jan 1, 2020",0.635,0.645
"Jan 6, 2020",0.604,0.642
