"","system.time_start","RVI_median","VH_median","Date"
"1","Jan 10, 2016",0.856,-12.317,2016-01-10
"2","Jan 22, 2016",0.857,-12.159,2016-01-22
"3","Feb 3, 2016",0.8415,-12.511,2016-02-03
"4","Feb 15, 2016",0.835,-12.541,2016-02-15
"5","Feb 27, 2016",0.831,-12.607,2016-02-27
"6","Mar 10, 2016",0.817,-12.87,2016-03-10
"7","Apr 3, 2016",0.804,-12.445,2016-04-03
"8","Apr 15, 2016",0.805,-12.567,2016-04-15
"9","Apr 27, 2016",0.772,-12.768,2016-04-27
"10","May 9, 2016",0.782,-12.83,2016-05-09
"11","May 21, 2016",0.832,-12.336,2016-05-21
"12","Jun 2, 2016",0.778,-12.558,2016-06-02
"13","Jun 14, 2016",0.788,-13.181,2016-06-14
"14","Jul 8, 2016",0.769,-12.476,2016-07-08
"15","Jul 20, 2016",0.794,-12.915,2016-07-20
"16","Aug 1, 2016",0.766,-13.18,2016-08-01
"17","Aug 13, 2016",0.788,-13.196,2016-08-13
"18","Aug 25, 2016",0.781,-13.132,2016-08-25
"19","Sep 6, 2016",0.793,-12.946,2016-09-06
"20","Sep 18, 2016",0.817,-13.073,2016-09-18
"21","Sep 30, 2016",0.78,-13.014,2016-09-30
"22","Oct 12, 2016",0.794,-12.873,2016-10-12
"23","Oct 24, 2016",0.796,-12.822,2016-10-24
"24","Nov 5, 2016",0.807,-12.915,2016-11-05
"25","Nov 17, 2016",0.862,-12.255,2016-11-17
"26","Nov 29, 2016",0.799,-12.76,2016-11-29
"27","Dec 11, 2016",0.802,-13.214,2016-12-11
"28","Dec 23, 2016",0.796,-12.679,2016-12-23
"29","Jan 4, 2017",0.796,-12.945,2017-01-04
"30","Jan 16, 2017",0.787,-12.929,2017-01-16
"31","Jan 28, 2017",0.799,-12.815,2017-01-28
"32","Feb 9, 2017",0.851,-12.285,2017-02-09
"33","Feb 21, 2017",0.839,-12.35,2017-02-21
"34","Mar 5, 2017",0.774,-13.06,2017-03-05
"35","Mar 17, 2017",0.823,-12.381,2017-03-17
"36","Mar 29, 2017",0.812,-12.838,2017-03-29
"37","Apr 10, 2017",0.778,-12.697,2017-04-10
"38","Apr 22, 2017",0.756,-13.524,2017-04-22
"39","May 4, 2017",0.786,-12.825,2017-05-04
"40","May 16, 2017",0.769,-13.274,2017-05-16
"41","May 28, 2017",0.767,-12.294,2017-05-28
"42","Jun 9, 2017",0.734,-12.525,2017-06-09
"43","Jun 21, 2017",0.717,-12.978,2017-06-21
"44","Jul 3, 2017",0.778,-12.761,2017-07-03
"45","Jul 15, 2017",0.781,-12.488,2017-07-15
"46","Jul 27, 2017",0.747,-12.692,2017-07-27
"47","Aug 8, 2017",0.718,-13.035,2017-08-08
"48","Aug 20, 2017",0.721,-13.083,2017-08-20
"49","Sep 1, 2017",0.761,-12.79,2017-09-01
"50","Sep 13, 2017",0.772,-12.834,2017-09-13
"51","Sep 25, 2017",0.767,-12.769,2017-09-25
"52","Oct 7, 2017",0.77,-12.688,2017-10-07
"53","Oct 19, 2017",0.753,-12.794,2017-10-19
"54","Oct 31, 2017",0.79,-13.069,2017-10-31
"55","Nov 12, 2017",0.818,-12.477,2017-11-12
"56","Nov 24, 2017",0.786,-12.541,2017-11-24
"57","Dec 6, 2017",0.786,-12.836,2017-12-06
"58","Dec 18, 2017",0.812,-12.218,2017-12-18
"59","Dec 30, 2017",0.749,-12.97,2017-12-30
"60","Jan 11, 2018",0.776,-12.615,2018-01-11
"61","Jan 23, 2018",0.761,-13.176,2018-01-23
