"","system.time_start","RVI_median","VH_median","VV_median","Date"
"1","Jan 3, 2016",0.826,-12.453,-6.451,2016-01-03
"2","Jan 15, 2016",0.819,-12.589,-6.45,2016-01-15
"3","Jan 27, 2016",0.775,-12.788,-6.564,2016-01-27
"4","Jan 27, 2016",0.777,-12.849,-6.555,2016-01-27
"5","Feb 8, 2016",0.748,-13.281,-6.796,2016-02-08
"6","Feb 20, 2016",0.739,-12.979,-6.433,2016-02-20
"7","Mar 3, 2016",0.768,-13.345,-7.07,2016-03-03
"8","Mar 27, 2016",0.777,-13.341,-7.075,2016-03-27
"9","Apr 8, 2016",0.74,-13.224,-6.689,2016-04-08
"10","Apr 20, 2016",0.76,-13.606,-7.204,2016-04-20
"11","May 2, 2016",0.762,-13.221,-6.939,2016-05-02
"12","May 14, 2016",0.777,-12.707,-6.45,2016-05-14
"13","May 26, 2016",0.777,-13.406,-7.06,2016-05-26
"14","Jun 7, 2016",0.77,-12.968,-6.567,2016-06-07
"15","Jul 1, 2016",0.787,-13.144,-6.81,2016-07-01
"16","Jul 13, 2016",0.769,-13.464,-7.195,2016-07-13
"17","Jul 25, 2016",0.796,-13.653,-7.686,2016-07-25
"18","Aug 6, 2016",0.822,-13.533,-7.58,2016-08-06
"19","Aug 18, 2016",0.832,-13.473,-7.684,2016-08-18
"20","Aug 30, 2016",0.879,-13.16,-7.685,2016-08-30
"21","Sep 11, 2016",0.881,-13.347,-7.938,2016-09-11
"22","Sep 23, 2016",0.847,-12.966,-7.325,2016-09-23
"23","Sep 29, 2016",0.827,-13.091,-7.184,2016-09-29
"24","Oct 11, 2016",0.863,-12.781,-7.054,2016-10-11
"25","Oct 23, 2016",0.832,-12.896,-7.064,2016-10-23
"26","Nov 4, 2016",0.817,-13.032,-6.941,2016-11-04
"27","Nov 16, 2016",0.841,-11.964,-6.181,2016-11-16
"28","Nov 28, 2016",0.777,-13.221,-7.05,2016-11-28
"29","Dec 10, 2016",0.801,-12.088,-6.064,2016-12-10
"30","Dec 22, 2016",0.738,-13.218,-6.697,2016-12-22
"31","Jan 3, 2017",0.722,-13.463,-6.802,2017-01-03
"32","Jan 15, 2017",0.793,-12.838,-6.794,2017-01-15
"33","Jan 27, 2017",0.715,-13.464,-6.818,2017-01-27
"34","Feb 8, 2017",0.786,-12.345,-6.178,2017-02-08
"35","Feb 20, 2017",0.739,-13.475,-6.942,2017-02-20
"36","Mar 4, 2017",0.732,-13.347,-6.806,2017-03-04
"37","Mar 16, 2017",0.738,-13.467,-6.947,2017-03-16
"38","Mar 28, 2017",0.786,-12.478,-6.317,2017-03-28
"39","Apr 9, 2017",0.731,-13.537,-6.943,2017-04-09
"40","May 3, 2017",0.754,-13.588,-7.19,2017-05-03
"41","May 15, 2017",0.715,-13.532,-6.813,2017-05-15
"42","May 27, 2017",0.684,-13.349,-6.434,2017-05-27
"43","Jun 8, 2017",0.714,-13.464,-6.704,2017-06-08
"44","Jun 20, 2017",0.761,-13.658,-7.316,2017-06-20
"45","Jul 2, 2017",0.715,-13.836,-7.184,2017-07-02
"46","Jul 14, 2017",0.738,-13.663,-7.192,2017-07-14
"47","Jul 26, 2017",0.746,-13.901,-7.427,2017-07-26
"48","Aug 7, 2017",0.785,-13.906,-7.674,2017-08-07
"49","Aug 19, 2017",0.794,-13.721,-7.545,2017-08-19
"50","Aug 31, 2017",0.8,-13.848,-7.812,2017-08-31
"51","Sep 12, 2017",0.839,-13.594,-7.702,2017-09-12
"52","Sep 24, 2017",0.902,-13.156,-7.691,2017-09-24
"53","Oct 6, 2017",0.863,-12.852,-7.304,2017-10-06
"54","Oct 18, 2017",0.872,-12.784,-7.183,2017-10-18
"55","Oct 30, 2017",0.855,-12.658,-6.93,2017-10-30
"56","Nov 11, 2017",0.847,-12.281,-6.429,2017-11-11
"57","Nov 23, 2017",0.841,-12.098,-6.304,2017-11-23
"58","Dec 5, 2017",0.769,-12.534,-6.31,2017-12-05
"59","Dec 17, 2017",0.739,-13.341,-6.804,2017-12-17
"60","Dec 29, 2017",0.746,-13.467,-7.055,2017-12-29
"61","Jan 10, 2018",0.73,-13.538,-7.053,2018-01-10
"62","Jan 22, 2018",0.722,-13.657,-6.926,2018-01-22
"63","Feb 3, 2018",0.8,-12.349,-6.324,2018-02-03
"64","Feb 15, 2018",0.73,-13.401,-6.818,2018-02-15
"65","Feb 27, 2018",0.754,-12.562,-6.059,2018-02-27
"66","Mar 11, 2018",0.762,-12.401,-6.069,2018-03-11
"67","Mar 23, 2018",0.715,-13.095,-6.444,2018-03-23
"68","Apr 4, 2018",0.746,-12.713,-6.314,2018-04-04
"69","Apr 16, 2018",0.707,-13.404,-6.688,2018-04-16
"70","Apr 28, 2018",0.683,-13.437,-6.438,2018-04-28
"71","May 10, 2018",0.709,-13.444,-6.682,2018-05-10
"72","May 22, 2018",0.662,-13.556,-6.553,2018-05-22
"73","Jun 3, 2018",0.67,-13.412,-6.433,2018-06-03
"74","Jun 15, 2018",0.7,-13.446,-6.703,2018-06-15
"75","Jun 27, 2018",0.69,-13.691,-6.931,2018-06-27
"76","Jul 9, 2018",0.67,-13.817,-6.687,2018-07-09
"77","Jul 21, 2018",0.676,-13.82,-6.818,2018-07-21
"78","Aug 2, 2018",0.744,-13.059,-6.569,2018-08-02
"79","Aug 14, 2018",0.694,-13.675,-6.927,2018-08-14
"80","Aug 26, 2018",0.705,-13.681,-6.951,2018-08-26
"81","Sep 7, 2018",0.738,-13.69,-7.191,2018-09-07
"82","Sep 19, 2018",0.761,-12.701,-6.303,2018-09-19
"83","Oct 1, 2018",0.744,-13.31,-6.811,2018-10-01
"84","Oct 13, 2018",0.803,-13.301,-7.31,2018-10-13
"85","Oct 25, 2018",0.779,-12.567,-6.431,2018-10-25
"86","Nov 6, 2018",0.795,-12.181,-6.19,2018-11-06
"87","Nov 18, 2018",0.762,-12.806,-6.568,2018-11-18
"88","Nov 30, 2018",0.723,-13.559,-6.93,2018-11-30
"89","Dec 12, 2018",0.729,-13.549,-6.923,2018-12-12
"90","Dec 24, 2018",0.745,-13.438,-7.071,2018-12-24
"91","Jan 5, 2019",0.736,-12.815,-6.435,2019-01-05
"92","Jan 17, 2019",0.716,-13.555,-6.943,2019-01-17
"93","Jan 29, 2019",0.728,-13.669,-6.941,2019-01-29
"94","Feb 10, 2019",0.729,-13.432,-6.93,2019-02-10
"95","Feb 22, 2019",0.705,-13.438,-6.697,2019-02-22
"96","Mar 6, 2019",0.731,-13.558,-6.934,2019-03-06
"97","Mar 18, 2019",0.721,-13.306,-6.667,2019-03-18
"98","Mar 30, 2019",0.715,-13.687,-7.06,2019-03-30
"99","Apr 11, 2019",0.717,-13.561,-6.938,2019-04-11
"100","Apr 23, 2019",0.73,-13.554,-6.937,2019-04-23
"101","May 5, 2019",0.7,-13.561,-6.684,2019-05-05
"102","May 17, 2019",0.728,-13.075,-6.432,2019-05-17
"103","May 29, 2019",0.682,-13.683,-6.812,2019-05-29
"104","Jun 10, 2019",0.732,-14.186,-7.556,2019-06-10
"105","Jun 22, 2019",0.754,-13.941,-7.442,2019-06-22
"106","Jul 4, 2019",0.713,-13.931,-7.196,2019-07-04
"107","Jul 16, 2019",0.73,-14.172,-7.559,2019-07-16
"108","Jul 28, 2019",0.753,-14.188,-7.945,2019-07-28
"109","Aug 9, 2019",0.792,-13.803,-7.809,2019-08-09
"110","Aug 21, 2019",0.825,-13.686,-7.838,2019-08-21
"111","Sep 2, 2019",0.823,-13.69,-7.828,2019-09-02
"112","Sep 14, 2019",0.85,-13.194,-7.562,2019-09-14
"113","Sep 26, 2019",0.856,-13.304,-7.682,2019-09-26
"114","Oct 8, 2019",0.895,-13.061,-7.564,2019-10-08
"115","Oct 20, 2019",0.871,-13.181,-7.566,2019-10-20
"116","Nov 1, 2019",0.818,-13.068,-7.187,2019-11-01
"117","Nov 13, 2019",0.809,-13.2,-7.185,2019-11-13
"118","Nov 25, 2019",0.78,-12.571,-6.425,2019-11-25
"119","Dec 19, 2019",0.697,-13.699,-6.937,2019-12-19
"120","Dec 31, 2019",0.685,-13.806,-6.829,2019-12-31
"121","Jan 12, 2020",0.697,-13.693,-6.817,2020-01-12
"122","Jan 24, 2020",0.737,-12.416,-5.938,2020-01-24
"123","Feb 5, 2020",0.692,-13.536,-6.814,2020-02-05
"124","Feb 17, 2020",0.705,-13.563,-6.812,2020-02-17
"125","Feb 29, 2020",0.746,-12.411,-5.932,2020-02-29
"126","Mar 12, 2020",0.699,-13.306,-6.574,2020-03-12
"127","Mar 24, 2020",0.692,-13.057,-6.303,2020-03-24
"128","Apr 5, 2020",0.701,-13.283,-6.563,2020-04-05
"129","Apr 17, 2020",0.708,-13.437,-6.695,2020-04-17
"130","Apr 29, 2020",0.669,-13.563,-6.562,2020-04-29
"131","May 11, 2020",0.668,-14.064,-7.059,2020-05-11
"132","May 23, 2020",0.666,-13.31,-6.317,2020-05-23
"133","Jun 4, 2020",0.66,-13.275,-6.185,2020-06-04
"134","Jun 16, 2020",0.698,-13.154,-6.445,2020-06-16
"135","Jun 28, 2020",0.654,-13.312,-6.302,2020-06-28
"136","Jul 10, 2020",0.668,-13.076,-6.183,2020-07-10
"137","Jul 22, 2020",0.692,-13.199,-6.452,2020-07-22
"138","Aug 3, 2020",0.685,-13.406,-6.564,2020-08-03
"139","Aug 15, 2020",0.717,-13.185,-6.559,2020-08-15
