system:time_start,RVI_median,fitted
"Jan 10, 2016",0.884,0.855
"Jan 22, 2016",0.934,0.847
"Feb 3, 2016",0.842,0.84
"Feb 3, 2016",0.843,0.84
"Feb 15, 2016",0.843,0.833
"Feb 27, 2016",0.812,0.827
"Mar 10, 2016",0.808,0.821
"Apr 3, 2016",0.8,0.812
"Apr 15, 2016",0.828,0.809
"Apr 27, 2016",0.798,0.808
"May 9, 2016",0.83,0.808
"May 21, 2016",0.854,0.81
"Jun 2, 2016",0.808,0.813
"Jun 14, 2016",0.847,0.817
"Jul 8, 2016",0.808,0.828
"Jul 20, 2016",0.849,0.834
"Aug 1, 2016",0.801,0.841
"Aug 13, 2016",0.85,0.847
"Aug 25, 2016",0.843,0.853
"Sep 6, 2016",0.856,0.859
"Sep 18, 2016",0.892,0.864
"Sep 30, 2016",0.83,0.867
"Oct 12, 2016",0.876,0.869
"Oct 24, 2016",0.851,0.87
"Nov 5, 2016",0.854,0.869
"Nov 17, 2016",0.869,0.867
"Nov 29, 2016",0.835,0.864
"Dec 11, 2016",0.846,0.86
"Dec 23, 2016",0.823,0.854
"Jan 4, 2017",0.825,0.848
"Jan 16, 2017",0.804,0.841
"Jan 28, 2017",0.815,0.833
"Feb 9, 2017",0.892,0.826
"Feb 21, 2017",0.863,0.819
"Mar 5, 2017",0.813,0.813
"Mar 17, 2017",0.82,0.808
"Mar 29, 2017",0.858,0.803
"Apr 10, 2017",0.807,0.8
"Apr 22, 2017",0.822,0.798
"May 4, 2017",0.838,0.798
"May 16, 2017",0.835,0.799
"May 28, 2017",0.827,0.801
"Jun 9, 2017",0.804,0.805
"Jun 21, 2017",0.804,0.81
"Jul 3, 2017",0.845,0.815
"Jul 15, 2017",0.85,0.822
"Jul 27, 2017",0.804,0.828
"Aug 8, 2017",0.792,0.835
"Aug 20, 2017",0.826,0.841
"Sep 1, 2017",0.837,0.847
"Sep 13, 2017",0.891,0.852
"Sep 25, 2017",0.836,0.856
"Oct 7, 2017",0.839,0.858
"Oct 19, 2017",0.855,0.86
"Oct 31, 2017",0.875,0.86
"Nov 12, 2017",0.933,0.859
"Nov 24, 2017",0.846,0.856
"Dec 6, 2017",0.872,0.852
"Dec 18, 2017",0.818,0.847
"Dec 30, 2017",0.802,0.841
"Jan 11, 2018",0.808,0.834
"Jan 23, 2018",0.811,0.827
"Feb 4, 2018",0.877,0.819
"Feb 16, 2018",0.819,0.812
"Feb 28, 2018",0.821,0.806
"Mar 12, 2018",0.842,0.8
"Mar 24, 2018",0.808,0.795
"Apr 5, 2018",0.786,0.791
"Apr 17, 2018",0.831,0.789
"Apr 29, 2018",0.772,0.788
"May 11, 2018",0.775,0.788
"May 23, 2018",0.806,0.79
"Jun 4, 2018",0.791,0.793
"Jun 16, 2018",0.757,0.798
"Jun 28, 2018",0.77,0.803
"Jul 10, 2018",0.787,0.809
"Jul 22, 2018",0.806,0.815
"Aug 3, 2018",0.791,0.822
"Aug 15, 2018",0.833,0.828
"Aug 27, 2018",0.819,0.834
"Sep 8, 2018",0.836,0.84
"Sep 20, 2018",0.855,0.844
"Oct 2, 2018",0.854,0.847
"Oct 14, 2018",0.854,0.849
"Oct 26, 2018",0.85,0.85
"Nov 7, 2018",0.866,0.849
"Nov 19, 2018",0.829,0.847
"Dec 1, 2018",0.826,0.844
"Dec 13, 2018",0.808,0.839
"Dec 25, 2018",0.782,0.833
"Jan 6, 2019",0.799,0.827
"Jan 18, 2019",0.783,0.82
"Jan 30, 2019",0.799,0.813
"Feb 11, 2019",0.814,0.805
"Feb 23, 2019",0.768,0.799
"Mar 7, 2019",0.771,0.792
"Mar 19, 2019",0.789,0.787
"Mar 31, 2019",0.76,0.783
"Apr 12, 2019",0.804,0.78
"Apr 24, 2019",0.745,0.778
"May 6, 2019",0.754,0.778
"May 18, 2019",0.772,0.779
"May 30, 2019",0.77,0.782
"Jun 11, 2019",0.831,0.786
"Jun 23, 2019",0.808,0.791
"Jul 5, 2019",0.768,0.796
"Jul 17, 2019",0.794,0.802
"Jul 29, 2019",0.757,0.809
"Aug 10, 2019",0.839,0.816
"Aug 22, 2019",0.794,0.822
"Sep 3, 2019",0.791,0.827
"Sep 15, 2019",0.768,0.832
"Sep 27, 2019",0.8,0.836
"Oct 9, 2019",0.816,0.839
"Oct 21, 2019",0.813,0.84
"Nov 2, 2019",0.816,0.84
"Nov 14, 2019",0.842,0.838
"Nov 26, 2019",0.854,0.835
"Dec 8, 2019",0.858,0.831
"Dec 20, 2019",0.816,0.826
"Jan 1, 2020",0.798,0.82
"Jan 13, 2020",0.779,0.813
"Feb 6, 2020",0.78,0.799
"Feb 18, 2020",0.784,0.792
"Mar 1, 2020",0.781,0.785
"Mar 13, 2020",0.807,0.779
"Mar 25, 2020",0.787,0.775
"Apr 6, 2020",0.764,0.771
"Apr 18, 2020",0.798,0.769
"Apr 30, 2020",0.737,0.768
"May 12, 2020",0.757,0.769
"May 24, 2020",0.769,0.771
"Jun 5, 2020",0.759,0.774
"Jun 17, 2020",0.799,0.778
"Jun 29, 2020",0.781,0.784
"Jul 11, 2020",0.74,0.79
"Jul 23, 2020",0.74,0.796
"Aug 4, 2020",0.753,0.803
"Aug 16, 2020",0.77,0.809
"Aug 28, 2020",0.782,0.815
"Sep 9, 2020",0.897,0.82
"Sep 21, 2020",0.943,0.825
"Oct 15, 2020",0.941,0.83
"Oct 27, 2020",0.982,0.83
"Nov 8, 2020",0.972,0.829
"Nov 20, 2020",0.816,0.827
"Dec 2, 2020",0.791,0.823
"Dec 14, 2020",0.754,0.818
"Dec 26, 2020",0.757,0.813
"Jan 7, 2021",0.757,0.806
"Jan 19, 2021",0.775,0.799
"Jan 31, 2021",0.78,0.792
"Feb 12, 2021",0.772,0.785
"Feb 24, 2021",0.751,0.778
"Mar 8, 2021",0.744,0.772
"Mar 20, 2021",0.78,0.767
"Apr 1, 2021",0.78,0.763
"Apr 13, 2021",0.765,0.76
"Apr 25, 2021",0.761,0.758
"May 7, 2021",0.786,0.758
"Aug 23, 2021",0.831,0.803
"Sep 4, 2021",0.821,0.808
"Sep 16, 2021",0.822,0.813
"Sep 28, 2021",0.85,0.817
"Oct 10, 2021",0.892,0.819
"Oct 22, 2021",0.853,0.82
"Nov 3, 2021",0.845,0.82
"Nov 15, 2021",0.835,0.818
"Nov 27, 2021",0.796,0.815
"Dec 9, 2021",0.82,0.811
"Dec 21, 2021",0.799,0.805
