system:time_start,VH_median,fitted
"Jan 10, 2016",-12.608,-12.983
"Jan 22, 2016",-11.514,-12.999
"Feb 3, 2016",-13.265,-13.024
"Feb 3, 2016",-13.25,-13.024
"Feb 15, 2016",-13.047,-13.057
"Feb 27, 2016",-13.389,-13.098
"Mar 10, 2016",-13.39,-13.144
"Apr 3, 2016",-13.547,-13.245
"Apr 15, 2016",-13.742,-13.296
"Apr 27, 2016",-13.567,-13.344
"May 9, 2016",-13.892,-13.388
"May 21, 2016",-12.835,-13.426
"Jun 2, 2016",-13.931,-13.456
"Jun 14, 2016",-13.301,-13.477
"Jul 8, 2016",-13.515,-13.489
"Jul 20, 2016",-13.196,-13.48
"Aug 1, 2016",-13.692,-13.461
"Aug 13, 2016",-13.367,-13.434
"Aug 25, 2016",-13.914,-13.4
"Sep 6, 2016",-13.669,-13.359
"Sep 18, 2016",-13.674,-13.315
"Sep 30, 2016",-13.273,-13.268
"Oct 12, 2016",-12.609,-13.222
"Oct 24, 2016",-13.299,-13.177
"Nov 5, 2016",-13.291,-13.137
"Nov 17, 2016",-12.42,-13.102
"Nov 29, 2016",-12.985,-13.075
"Dec 11, 2016",-12.521,-13.057
"Dec 23, 2016",-12.835,-13.048
"Jan 4, 2017",-13.548,-13.049
"Jan 16, 2017",-13.645,-13.061
"Jan 28, 2017",-13.51,-13.082
"Feb 9, 2017",-11.985,-13.112
"Feb 21, 2017",-12.335,-13.149
"Mar 5, 2017",-13.535,-13.193
"Mar 17, 2017",-13.198,-13.242
"Mar 29, 2017",-12.613,-13.293
"Apr 10, 2017",-13.195,-13.344
"Apr 22, 2017",-13.673,-13.394
"May 4, 2017",-12.859,-13.44
"May 16, 2017",-13.617,-13.48
"May 28, 2017",-12.794,-13.514
"Jun 9, 2017",-13.293,-13.539
"Jun 21, 2017",-13.706,-13.554
"Jul 3, 2017",-13.541,-13.56
"Jul 15, 2017",-12.579,-13.555
"Jul 27, 2017",-13.768,-13.541
"Aug 8, 2017",-13.806,-13.517
"Aug 20, 2017",-13.761,-13.486
"Sep 1, 2017",-13.692,-13.448
"Sep 13, 2017",-12.518,-13.405
"Sep 25, 2017",-13.731,-13.359
"Oct 7, 2017",-13.516,-13.312
"Oct 19, 2017",-13.764,-13.266
"Oct 31, 2017",-13.545,-13.224
"Nov 12, 2017",-11.89,-13.186
"Nov 24, 2017",-13.26,-13.156
"Dec 6, 2017",-12.203,-13.134
"Dec 18, 2017",-13.376,-13.121
"Dec 30, 2017",-13.708,-13.118
"Jan 11, 2018",-13.428,-13.124
"Jan 23, 2018",-13.893,-13.141
"Feb 4, 2018",-11.989,-13.168
"Feb 16, 2018",-12.93,-13.202
"Feb 28, 2018",-13.488,-13.243
"Mar 12, 2018",-12.424,-13.29
"Mar 24, 2018",-12.858,-13.34
"Apr 5, 2018",-13.455,-13.392
"Apr 17, 2018",-12.772,-13.442
"Apr 29, 2018",-13.569,-13.49
"May 11, 2018",-13.921,-13.533
"May 23, 2018",-13.202,-13.57
"Jun 4, 2018",-13.518,-13.599
"Jun 16, 2018",-13.868,-13.618
"Jun 28, 2018",-13.831,-13.628
"Jul 10, 2018",-13.57,-13.628
"Jul 22, 2018",-13.266,-13.618
"Aug 3, 2018",-14.01,-13.598
"Aug 15, 2018",-13.775,-13.57
"Aug 27, 2018",-14.014,-13.535
"Sep 8, 2018",-14.012,-13.494
"Sep 20, 2018",-13.803,-13.449
"Oct 2, 2018",-13.609,-13.402
"Oct 14, 2018",-13.82,-13.356
