system:time_start,RVI_median,fitted
"Jan 10, 2016",0.856,0.835
"Jan 22, 2016",0.857,0.832
"Feb 3, 2016",0.84,0.828
"Feb 3, 2016",0.843,0.828
"Feb 15, 2016",0.835,0.822
"Feb 27, 2016",0.831,0.816
"Mar 10, 2016",0.817,0.81
"Apr 3, 2016",0.804,0.797
"Apr 15, 2016",0.805,0.79
"Apr 27, 2016",0.772,0.784
"May 9, 2016",0.782,0.779
"May 21, 2016",0.832,0.775
"Jun 2, 2016",0.778,0.772
"Jun 14, 2016",0.788,0.77
"Jul 8, 2016",0.769,0.77
"Jul 20, 2016",0.794,0.771
"Aug 1, 2016",0.766,0.774
"Aug 13, 2016",0.788,0.778
"Aug 25, 2016",0.781,0.782
"Sep 6, 2016",0.793,0.787
"Sep 18, 2016",0.817,0.792
"Sep 30, 2016",0.78,0.797
"Oct 12, 2016",0.794,0.802
"Oct 24, 2016",0.796,0.807
"Nov 5, 2016",0.807,0.81
"Nov 17, 2016",0.862,0.813
"Nov 29, 2016",0.799,0.815
"Dec 11, 2016",0.802,0.816
"Dec 23, 2016",0.796,0.816
"Jan 4, 2017",0.796,0.814
"Jan 16, 2017",0.787,0.811
"Jan 28, 2017",0.799,0.807
"Feb 9, 2017",0.851,0.802
"Feb 21, 2017",0.839,0.796
"Mar 5, 2017",0.774,0.79
"Mar 17, 2017",0.823,0.784
"Mar 29, 2017",0.812,0.777
"Apr 10, 2017",0.778,0.77
"Apr 22, 2017",0.756,0.764
"May 4, 2017",0.786,0.759
"May 16, 2017",0.769,0.754
"May 28, 2017",0.767,0.751
"Jun 9, 2017",0.734,0.748
"Jun 21, 2017",0.717,0.747
"Jul 3, 2017",0.778,0.747
"Jul 15, 2017",0.781,0.748
"Jul 27, 2017",0.747,0.75
"Aug 8, 2017",0.718,0.753
"Aug 20, 2017",0.721,0.757
"Sep 1, 2017",0.761,0.762
"Sep 13, 2017",0.772,0.767
"Sep 25, 2017",0.767,0.772
"Oct 7, 2017",0.77,0.777
"Oct 19, 2017",0.753,0.782
"Oct 31, 2017",0.79,0.786
"Nov 12, 2017",0.818,0.79
"Nov 24, 2017",0.786,0.792
"Dec 6, 2017",0.786,0.793
"Dec 18, 2017",0.812,0.793
"Dec 30, 2017",0.749,0.792
"Jan 11, 2018",0.776,0.79
"Jan 23, 2018",0.761,0.786
"Feb 4, 2018",0.824,0.782
"Feb 16, 2018",0.745,0.776
"Feb 28, 2018",0.752,0.77
"Mar 12, 2018",0.784,0.764
"Mar 24, 2018",0.769,0.757
"Apr 5, 2018",0.73,0.751
"Apr 17, 2018",0.768,0.744
"Apr 29, 2018",0.724,0.739
"May 11, 2018",0.735,0.734
"May 23, 2018",0.769,0.729
"Jun 4, 2018",0.761,0.726
"Jun 16, 2018",0.711,0.725
"Jun 28, 2018",0.713,0.724
"Jul 10, 2018",0.7,0.725
"Jul 22, 2018",0.706,0.726
"Aug 3, 2018",0.692,0.729
"Aug 15, 2018",0.721,0.733
"Aug 27, 2018",0.718,0.737
"Sep 8, 2018",0.732,0.742
"Sep 20, 2018",0.729,0.747
"Oct 2, 2018",0.726,0.753
"Oct 14, 2018",0.741,0.758
"Oct 26, 2018",0.797,0.762
"Nov 7, 2018",0.802,0.766
"Nov 19, 2018",0.764,0.769
"Dec 1, 2018",0.766,0.77
"Dec 13, 2018",0.73,0.771
"Dec 25, 2018",0.734,0.77
"Jan 6, 2019",0.744,0.768
"Jan 18, 2019",0.732,0.765
"Jan 30, 2019",0.783,0.761
"Feb 11, 2019",0.758,0.756
"Feb 23, 2019",0.743,0.751
"Mar 7, 2019",0.703,0.744
"Mar 19, 2019",0.745,0.738
"Mar 31, 2019",0.718,0.731
"Apr 12, 2019",0.72,0.724
"Apr 24, 2019",0.713,0.718
"May 6, 2019",0.733,0.713
"May 18, 2019",0.701,0.709
"May 30, 2019",0.673,0.705
"Jun 11, 2019",0.723,0.703
"Jun 23, 2019",0.72,0.702
"Jul 5, 2019",0.669,0.702
"Jul 17, 2019",0.645,0.703
"Jul 29, 2019",0.72,0.705
"Aug 10, 2019",0.712,0.709
"Aug 22, 2019",0.718,0.713
"Sep 3, 2019",0.682,0.718
"Sep 15, 2019",0.659,0.723
"Sep 27, 2019",0.694,0.728
"Oct 9, 2019",0.716,0.733
"Oct 21, 2019",0.68,0.738
"Nov 2, 2019",0.722,0.742
"Nov 14, 2019",0.719,0.745
"Nov 26, 2019",0.712,0.747
"Dec 8, 2019",0.762,0.748
"Dec 20, 2019",0.712,0.748
"Jan 1, 2020",0.75,0.747
"Jan 13, 2020",0.714,0.744
"Feb 6, 2020",0.719,0.736
"Feb 18, 2020",0.734,0.731
"Mar 1, 2020",0.7,0.724
"Mar 13, 2020",0.751,0.718
"Mar 25, 2020",0.7,0.711
"Apr 6, 2020",0.717,0.705
"Apr 18, 2020",0.726,0.698
"Apr 30, 2020",0.657,0.693
"May 12, 2020",0.666,0.688
"May 24, 2020",0.655,0.684
"Jun 5, 2020",0.669,0.681
"Jun 17, 2020",0.723,0.679
"Jun 29, 2020",0.658,0.679
"Jul 11, 2020",0.644,0.68
"Jul 23, 2020",0.641,0.682
"Aug 4, 2020",0.665,0.685
"Aug 16, 2020",0.665,0.688
"Aug 28, 2020",0.707,0.693
"Sep 9, 2020",0.756,0.698
"Sep 21, 2020",0.774,0.703
"Oct 15, 2020",0.795,0.713
"Oct 27, 2020",0.814,0.717
"Nov 8, 2020",0.813,0.721
"Nov 20, 2020",0.739,0.724
"Dec 2, 2020",0.7,0.725
"Dec 14, 2020",0.679,0.726
"Dec 26, 2020",0.712,0.725
"Jan 7, 2021",0.7,0.723
"Jan 19, 2021",0.692,0.72
"Jan 31, 2021",0.69,0.716
"Feb 12, 2021",0.686,0.71
"Feb 24, 2021",0.679,0.705
"Mar 8, 2021",0.701,0.698
"Mar 20, 2021",0.704,0.692
"Apr 1, 2021",0.689,0.685
"Apr 13, 2021",0.665,0.679
"Apr 25, 2021",0.673,0.673
"May 7, 2021",0.687,0.667
"Aug 23, 2021",0.698,0.668
"Sep 4, 2021",0.691,0.673
"Sep 16, 2021",0.671,0.678
"Sep 28, 2021",0.726,0.683
"Oct 10, 2021",0.761,0.688
"Oct 22, 2021",0.706,0.693
"Nov 3, 2021",0.736,0.697
"Nov 15, 2021",0.724,0.7
"Nov 27, 2021",0.706,0.702
"Dec 9, 2021",0.745,0.703
"Dec 21, 2021",0.738,0.703
