system:time_start,VH_median,fitted
"Jan 10, 2016",-12.317,-12.627
"Jan 22, 2016",-12.159,-12.632
"Feb 3, 2016",-12.506,-12.64
"Feb 3, 2016",-12.516,-12.64
"Feb 15, 2016",-12.541,-12.649
"Feb 27, 2016",-12.607,-12.66
"Mar 10, 2016",-12.87,-12.673
"Apr 3, 2016",-12.445,-12.7
"Apr 15, 2016",-12.567,-12.714
"Apr 27, 2016",-12.768,-12.728
"May 9, 2016",-12.83,-12.74
"May 21, 2016",-12.336,-12.751
"Jun 2, 2016",-12.558,-12.76
"Jun 14, 2016",-13.181,-12.767
"Jul 8, 2016",-12.476,-12.774
"Jul 20, 2016",-12.915,-12.773
"Aug 1, 2016",-13.18,-12.771
"Aug 13, 2016",-13.196,-12.766
"Aug 25, 2016",-13.132,-12.759
"Sep 6, 2016",-12.946,-12.751
"Sep 18, 2016",-13.073,-12.742
"Sep 30, 2016",-13.014,-12.732
"Oct 12, 2016",-12.873,-12.723
"Oct 24, 2016",-12.822,-12.713
"Nov 5, 2016",-12.915,-12.705
"Nov 17, 2016",-12.255,-12.698
"Nov 29, 2016",-12.76,-12.693
"Dec 11, 2016",-13.214,-12.69
"Dec 23, 2016",-12.679,-12.689
"Jan 4, 2017",-12.945,-12.69
"Jan 16, 2017",-12.929,-12.695
"Jan 28, 2017",-12.815,-12.701
"Feb 9, 2017",-12.285,-12.71
"Feb 21, 2017",-12.35,-12.72
"Mar 5, 2017",-13.06,-12.732
"Mar 17, 2017",-12.381,-12.745
"Mar 29, 2017",-12.838,-12.759
"Apr 10, 2017",-12.697,-12.773
"Apr 22, 2017",-13.524,-12.787
"May 4, 2017",-12.825,-12.8
"May 16, 2017",-13.274,-12.811
"May 28, 2017",-12.294,-12.821
"Jun 9, 2017",-12.525,-12.829
"Jun 21, 2017",-12.978,-12.835
"Jul 3, 2017",-12.761,-12.838
"Jul 15, 2017",-12.488,-12.839
"Jul 27, 2017",-12.692,-12.837
"Aug 8, 2017",-13.035,-12.833
"Aug 20, 2017",-13.083,-12.827
"Sep 1, 2017",-12.79,-12.82
"Sep 13, 2017",-12.834,-12.811
"Sep 25, 2017",-12.769,-12.801
"Oct 7, 2017",-12.688,-12.792
"Oct 19, 2017",-12.794,-12.782
"Oct 31, 2017",-13.069,-12.773
"Nov 12, 2017",-12.477,-12.766
"Nov 24, 2017",-12.541,-12.76
"Dec 6, 2017",-12.836,-12.756
"Dec 18, 2017",-12.218,-12.754
"Dec 30, 2017",-12.97,-12.754
"Jan 11, 2018",-12.615,-12.757
"Jan 23, 2018",-13.176,-12.763
"Feb 4, 2018",-12.074,-12.77
"Feb 16, 2018",-12.915,-12.78
"Feb 28, 2018",-12.838,-12.792
"Mar 12, 2018",-12.584,-12.804
"Mar 24, 2018",-12.478,-12.818
"Apr 5, 2018",-12.773,-12.832
"Apr 17, 2018",-12.751,-12.846
"Apr 29, 2018",-12.619,-12.859
"May 11, 2018",-13.299,-12.871
"May 23, 2018",-12.402,-12.882
"Jun 4, 2018",-12.455,-12.891
"Jun 16, 2018",-12.745,-12.897
"Jun 28, 2018",-12.457,-12.902
"Jul 10, 2018",-12.895,-12.903
"Jul 22, 2018",-12.635,-12.903
"Aug 3, 2018",-13.038,-12.9
"Aug 15, 2018",-13.35,-12.895
"Aug 27, 2018",-13.174,-12.888
"Sep 8, 2018",-13.076,-12.88
"Sep 20, 2018",-13.2,-12.87
"Oct 2, 2018",-12.884,-12.861
"Oct 14, 2018",-13.064,-12.851
"Oct 26, 2018",-12.434,-12.842
"Nov 7, 2018",-12.476,-12.834
"Nov 19, 2018",-12.674,-12.827
"Dec 1, 2018",-12.903,-12.822
"Dec 13, 2018",-12.601,-12.819
"Dec 25, 2018",-13.133,-12.819
"Jan 6, 2019",-12.991,-12.821
"Jan 18, 2019",-13.192,-12.825
"Jan 30, 2019",-12.459,-12.832
"Feb 11, 2019",-12.944,-12.841
"Feb 23, 2019",-12.757,-12.851
"Mar 7, 2019",-13.106,-12.864
"Mar 19, 2019",-13.449,-12.877
"Mar 31, 2019",-13.02,-12.891
"Apr 12, 2019",-12.86,-12.905
"Apr 24, 2019",-12.726,-12.918
"May 6, 2019",-12.551,-12.931
"May 18, 2019",-12.931,-12.942
"May 30, 2019",-12.726,-12.952
"Jun 11, 2019",-12.538,-12.96
"Jun 23, 2019",-12.791,-12.965
"Jul 5, 2019",-13.317,-12.968
"Jul 17, 2019",-13.518,-12.968
"Jul 29, 2019",-12.692,-12.966
"Aug 10, 2019",-12.946,-12.962
"Aug 22, 2019",-12.711,-12.956
"Sep 3, 2019",-13.058,-12.948
"Sep 15, 2019",-13.274,-12.939
"Sep 27, 2019",-12.772,-12.93
"Oct 9, 2019",-12.738,-12.92
"Oct 21, 2019",-13.084,-12.911
"Nov 2, 2019",-12.571,-12.902
"Nov 14, 2019",-12.975,-12.895
"Nov 26, 2019",-13.29,-12.889
"Dec 8, 2019",-12.493,-12.885
"Dec 20, 2019",-12.997,-12.883
"Jan 1, 2020",-12.448,-12.884
"Jan 13, 2020",-13.065,-12.888
"Feb 6, 2020",-13.084,-12.901
"Feb 18, 2020",-12.824,-12.911
"Mar 1, 2020",-13.394,-12.923
"Mar 13, 2020",-12.49,-12.936
"Mar 25, 2020",-13.334,-12.949
"Apr 6, 2020",-12.917,-12.963
"Apr 18, 2020",-12.583,-12.977
"Apr 30, 2020",-13.132,-12.99
"May 12, 2020",-13.429,-13.002
"May 24, 2020",-12.946,-13.013
"Jun 5, 2020",-13.214,-13.021
"Jun 17, 2020",-12.867,-13.028
"Jun 29, 2020",-13.1,-13.032
"Jul 11, 2020",-12.9,-13.033
"Jul 23, 2020",-13.285,-13.032
"Aug 4, 2020",-13.261,-13.029
"Aug 16, 2020",-12.633,-13.024
"Aug 28, 2020",-12.763,-13.017
"Sep 9, 2020",-13.131,-13.008
"Sep 21, 2020",-13.241,-12.999
"Oct 15, 2020",-12.959,-12.98
"Oct 27, 2020",-13.01,-12.97
"Nov 8, 2020",-12.804,-12.962
"Nov 20, 2020",-12.692,-12.956
"Dec 2, 2020",-13.019,-12.951
"Dec 14, 2020",-13.194,-12.949
"Dec 26, 2020",-13.117,-12.948
"Jan 7, 2021",-13.261,-12.951
"Jan 19, 2021",-13.228,-12.955
"Jan 31, 2021",-13.152,-12.962
"Feb 12, 2021",-13.307,-12.972
"Feb 24, 2021",-13.291,-12.982
"Mar 8, 2021",-13.573,-12.995
"Mar 20, 2021",-12.895,-13.008
"Apr 1, 2021",-13.45,-13.022
"Apr 13, 2021",-13.505,-13.036
"Apr 25, 2021",-13.103,-13.05
"May 7, 2021",-12.945,-13.062
"Aug 23, 2021",-12.801,-13.085
"Sep 4, 2021",-12.849,-13.077
"Sep 16, 2021",-13.052,-13.068
"Sep 28, 2021",-12.746,-13.058
"Oct 10, 2021",-12.512,-13.049
"Oct 22, 2021",-13.134,-13.039
"Nov 3, 2021",-12.708,-13.031
"Nov 15, 2021",-13.019,-13.023
"Nov 27, 2021",-13.218,-13.018
"Dec 9, 2021",-12.446,-13.014
"Dec 21, 2021",-12.59,-13.013
