system:time_start,VV_median,fitted
"Jan 10, 2016",-6.726,-6.862
"Jan 22, 2016",-6.455,-6.844
"Feb 3, 2016",-6.835,-6.82
"Feb 3, 2016",-6.839,-6.82
"Feb 15, 2016",-6.799,-6.792
"Feb 27, 2016",-6.886,-6.762
"Mar 10, 2016",-6.919,-6.729
"Apr 3, 2016",-6.596,-6.662
"Apr 15, 2016",-6.631,-6.631
"Apr 27, 2016",-6.585,-6.603
"May 9, 2016",-6.757,-6.579
"May 21, 2016",-6.57,-6.56
"Jun 2, 2016",-6.353,-6.546
"Jun 14, 2016",-7.071,-6.538
"Jul 8, 2016",-6.263,-6.542
"Jul 20, 2016",-6.878,-6.553
"Aug 1, 2016",-7.012,-6.568
"Aug 13, 2016",-7.089,-6.589
"Aug 25, 2016",-6.96,-6.612
"Sep 6, 2016",-6.788,-6.638
"Sep 18, 2016",-7.157,-6.665
"Sep 30, 2016",-6.772,-6.691
"Oct 12, 2016",-6.738,-6.717
"Oct 24, 2016",-6.812,-6.739
"Nov 5, 2016",-6.85,-6.757
"Nov 17, 2016",-6.565,-6.771
"Nov 29, 2016",-6.767,-6.779
"Dec 11, 2016",-7.177,-6.782
"Dec 23, 2016",-6.593,-6.778
"Jan 4, 2017",-6.993,-6.768
"Jan 16, 2017",-6.855,-6.752
"Jan 28, 2017",-6.823,-6.731
"Feb 9, 2017",-6.568,-6.705
"Feb 21, 2017",-6.519,-6.675
"Mar 5, 2017",-6.839,-6.643
"Mar 17, 2017",-6.495,-6.61
"Mar 29, 2017",-6.923,-6.576
"Apr 10, 2017",-6.504,-6.544
"Apr 22, 2017",-7.065,-6.515
"May 4, 2017",-6.617,-6.489
"May 16, 2017",-7.051,-6.467
"May 28, 2017",-6.104,-6.451
"Jun 9, 2017",-6.055,-6.441
"Jun 21, 2017",-6.363,-6.437
"Jul 3, 2017",-6.606,-6.439
"Jul 15, 2017",-6.292,-6.447
"Jul 27, 2017",-6.273,-6.46
"Aug 8, 2017",-6.398,-6.479
"Aug 20, 2017",-6.495,-6.501
"Sep 1, 2017",-6.365,-6.526
"Sep 13, 2017",-6.613,-6.553
"Sep 25, 2017",-6.522,-6.58
"Oct 7, 2017",-6.498,-6.606
"Oct 19, 2017",-6.506,-6.629
"Oct 31, 2017",-6.92,-6.65
"Nov 12, 2017",-6.604,-6.665
"Nov 24, 2017",-6.488,-6.676
"Dec 6, 2017",-6.731,-6.681
"Dec 18, 2017",-6.273,-6.68
"Dec 30, 2017",-6.645,-6.673
"Jan 11, 2018",-6.424,-6.659
"Jan 23, 2018",-6.856,-6.64
"Feb 4, 2018",-6.244,-6.616
"Feb 16, 2018",-6.449,-6.588
"Feb 28, 2018",-6.508,-6.557
"Mar 12, 2018",-6.415,-6.524
"Mar 24, 2018",-6.285,-6.491
"Apr 5, 2018",-6.208,-6.458
"Apr 17, 2018",-6.498,-6.427
"Apr 29, 2018",-6.024,-6.399
"May 11, 2018",-6.754,-6.376
"May 23, 2018",-6.153,-6.357
"Jun 4, 2018",-6.15,-6.344
"Jun 16, 2018",-6.056,-6.337
"Jun 28, 2018",-5.865,-6.337
"Jul 10, 2018",-6.072,-6.342
"Jul 22, 2018",-5.943,-6.354
"Aug 3, 2018",-6.338,-6.37
"Aug 15, 2018",-6.774,-6.391
"Aug 27, 2018",-6.46,-6.415
"Sep 8, 2018",-6.654,-6.441
"Sep 20, 2018",-6.82,-6.468
"Oct 2, 2018",-6.305,-6.494
"Oct 14, 2018",-6.633,-6.519
"Oct 26, 2018",-6.307,-6.541
"Nov 7, 2018",-6.416,-6.559
"Nov 19, 2018",-6.365,-6.572
"Dec 1, 2018",-6.6,-6.579
"Dec 13, 2018",-6.091,-6.581
"Dec 25, 2018",-6.68,-6.576
"Jan 6, 2019",-6.569,-6.565
"Jan 18, 2019",-6.66,-6.549
"Jan 30, 2019",-6.297,-6.527
