system:time_start,VH_median,fitted
"Jan 3, 2016",-12.172,-12.836
"Jan 3, 2016",-12.453,-12.836
"Jan 15, 2016",-12.2,-12.868
"Jan 15, 2016",-12.589,-12.868
"Jan 27, 2016",-12.788,-12.91
"Jan 27, 2016",-12.849,-12.91
"Feb 8, 2016",-13.004,-12.962
"Feb 8, 2016",-13.281,-12.962
"Feb 20, 2016",-12.979,-13.021
"Mar 3, 2016",-12.925,-13.085
"Mar 3, 2016",-13.345,-13.085
"Mar 27, 2016",-12.988,-13.216
"Mar 27, 2016",-13.341,-13.216
"Apr 8, 2016",-13.224,-13.278
"Apr 20, 2016",-13.36,-13.334
"Apr 20, 2016",-13.606,-13.334
"May 2, 2016",-13.221,-13.382
"May 14, 2016",-12.485,-13.42
"May 14, 2016",-12.707,-13.42
"May 26, 2016",-12.919,-13.445
"May 26, 2016",-13.406,-13.445
"Jun 7, 2016",-12.889,-13.458
"Jun 7, 2016",-12.968,-13.458
"Jul 1, 2016",-12.863,-13.443
"Jul 1, 2016",-13.144,-13.443
"Jul 13, 2016",-13.119,-13.416
"Jul 13, 2016",-13.464,-13.416
"Jul 25, 2016",-13.516,-13.377
"Jul 25, 2016",-13.653,-13.377
"Aug 6, 2016",-13.243,-13.329
"Aug 6, 2016",-13.533,-13.329
"Aug 18, 2016",-13.391,-13.273
"Aug 18, 2016",-13.473,-13.273
"Aug 30, 2016",-12.777,-13.211
"Aug 30, 2016",-13.16,-13.211
"Sep 11, 2016",-13.203,-13.147
"Sep 11, 2016",-13.347,-13.147
"Sep 23, 2016",-12.7,-13.082
"Sep 23, 2016",-12.966,-13.082
"Sep 29, 2016",-13.091,-13.051
"Oct 11, 2016",-12.781,-12.992
"Oct 23, 2016",-12.896,-12.939
"Nov 4, 2016",-13.032,-12.895
"Nov 16, 2016",-11.964,-12.863
"Nov 28, 2016",-13.221,-12.842
"Dec 10, 2016",-12.088,-12.835
"Dec 22, 2016",-13.218,-12.841
"Jan 3, 2017",-13.463,-12.86
"Jan 15, 2017",-12.838,-12.892
"Jan 27, 2017",-13.464,-12.935
"Feb 8, 2017",-12.345,-12.987
"Feb 20, 2017",-13.475,-13.047
"Mar 4, 2017",-13.347,-13.111
"Mar 16, 2017",-13.467,-13.177
"Mar 28, 2017",-12.478,-13.242
"Apr 9, 2017",-13.537,-13.304
"May 3, 2017",-13.588,-13.407
"May 15, 2017",-13.532,-13.444
"May 27, 2017",-13.349,-13.469
"Jun 8, 2017",-13.464,-13.48
"Jun 20, 2017",-13.658,-13.479
"Jul 2, 2017",-13.836,-13.464
"Jul 14, 2017",-13.663,-13.436
"Jul 26, 2017",-13.901,-13.397
"Aug 7, 2017",-13.906,-13.348
"Aug 19, 2017",-13.721,-13.291
"Aug 31, 2017",-13.848,-13.229
"Sep 12, 2017",-13.594,-13.165
"Sep 24, 2017",-13.156,-13.1
"Oct 6, 2017",-12.852,-13.039
"Oct 18, 2017",-12.784,-12.983
"Oct 30, 2017",-12.658,-12.935
"Nov 11, 2017",-12.281,-12.898
"Nov 23, 2017",-12.098,-12.872
"Dec 5, 2017",-12.534,-12.858
"Dec 17, 2017",-13.341,-12.859
"Dec 29, 2017",-13.467,-12.872
"Jan 10, 2018",-13.538,-12.899
"Jan 22, 2018",-13.657,-12.937
"Feb 3, 2018",-12.349,-12.986
"Feb 15, 2018",-13.401,-13.042
"Feb 27, 2018",-12.562,-13.105
"Mar 11, 2018",-12.401,-13.17
"Mar 23, 2018",-13.095,-13.236
"Apr 4, 2018",-12.713,-13.3
"Apr 16, 2018",-13.404,-13.359
"Apr 28, 2018",-13.437,-13.41
"May 10, 2018",-13.444,-13.451
"May 22, 2018",-13.556,-13.481
"Jun 3, 2018",-13.412,-13.499
"Jun 15, 2018",-13.446,-13.503
"Jun 27, 2018",-13.691,-13.494
"Jul 9, 2018",-13.817,-13.472
"Jul 21, 2018",-13.82,-13.437
"Aug 2, 2018",-13.059,-13.392
"Aug 14, 2018",-13.675,-13.339
"Aug 26, 2018",-13.681,-13.279
"Sep 7, 2018",-13.69,-13.215
"Sep 19, 2018",-12.701,-13.15
"Oct 1, 2018",-13.31,-13.087
"Oct 13, 2018",-13.301,-13.029
"Oct 25, 2018",-12.567,-12.977
"Nov 6, 2018",-12.181,-12.935
"Nov 18, 2018",-12.806,-12.904
"Nov 30, 2018",-13.559,-12.885
"Dec 12, 2018",-13.549,-12.879
"Dec 24, 2018",-13.438,-12.887
"Jan 5, 2019",-12.939,-12.908
"Jan 17, 2019",-13.555,-12.941
"Jan 29, 2019",-13.552,-12.985
"Feb 10, 2019",-13.553,-13.039
"Feb 22, 2019",-13.557,-13.099
"Mar 6, 2019",-13.559,-13.164
"Mar 18, 2019",-13.303,-13.23
"Mar 30, 2019",-13.683,-13.295
"Apr 11, 2019",-13.564,-13.356
"Apr 23, 2019",-13.558,-13.411
"May 5, 2019",-13.563,-13.457
"May 17, 2019",-13.071,-13.492
"May 29, 2019",-13.682,-13.515
"Jun 10, 2019",-14.184,-13.525
"Jun 22, 2019",-13.94,-13.522
"Jul 4, 2019",-13.924,-13.505
"Jul 16, 2019",-14.181,-13.476
"Jul 28, 2019",-14.185,-13.435
"Aug 9, 2019",-13.803,-13.385
"Aug 21, 2019",-13.807,-13.328
"Sep 2, 2019",-13.686,-13.265
"Sep 14, 2019",-13.315,-13.201
"Sep 26, 2019",-13.304,-13.137
"Oct 8, 2019",-13.065,-13.076
"Oct 20, 2019",-13.184,-13.021
"Nov 1, 2019",-13.068,-12.974
"Nov 13, 2019",-13.319,-12.938
"Nov 25, 2019",-12.681,-12.914
"Dec 19, 2019",-13.809,-12.904
"Dec 31, 2019",-13.805,-12.919
"Jan 12, 2020",-13.799,-12.947
"Jan 24, 2020",-12.552,-12.987
"Feb 5, 2020",-13.537,-13.037
"Feb 17, 2020",-13.567,-13.094
"Feb 29, 2020",-12.463,-13.157
"Mar 12, 2020",-13.309,-13.223
"Mar 24, 2020",-13.097,-13.289
"Apr 5, 2020",-13.348,-13.352
"Apr 17, 2020",-13.463,-13.41
"Apr 29, 2020",-13.585,-13.46
"May 11, 2020",-14.088,-13.5
"May 23, 2020",-13.346,-13.529
"Jun 4, 2020",-13.274,-13.545
"Jun 16, 2020",-13.215,-13.547
"Jun 28, 2020",-13.407,-13.536
"Jul 10, 2020",-13.165,-13.512
"Jul 22, 2020",-13.221,-13.476
"Aug 3, 2020",-13.523,-13.43
"Aug 15, 2020",-13.229,-13.376
"Aug 27, 2020",-13.412,-13.315
"Sep 8, 2020",-13.166,-13.251
"Sep 20, 2020",-13.201,-13.187
"Oct 2, 2020",-13.062,-13.124
"Oct 14, 2020",-12.781,-13.066
"Oct 26, 2020",-11.843,-13.016
"Nov 7, 2020",-12.179,-12.975
"Nov 19, 2020",-12.556,-12.945
"Dec 1, 2020",-13.396,-12.928
"Dec 13, 2020",-12.947,-12.924
"Dec 25, 2020",-12.781,-12.933
"Jan 6, 2021",-13.201,-12.956
"Jan 18, 2021",-13.324,-12.99
"Jan 30, 2021",-13.471,-13.036
"Feb 11, 2021",-13.172,-13.09
"Feb 23, 2021",-12.306,-13.151
"Mar 7, 2021",-12.535,-13.216
"Mar 19, 2021",-13.303,-13.282
"Mar 31, 2021",-13.318,-13.347
"Apr 12, 2021",-13.401,-13.408
"Apr 24, 2021",-13.1,-13.461
"May 6, 2021",-13.278,-13.506
"May 18, 2021",-13.405,-13.54
"May 30, 2021",-13.208,-13.561
"Jun 11, 2021",-13.224,-13.57
"Jun 23, 2021",-13.342,-13.565
"Jul 5, 2021",-13.793,-13.546
"Jul 17, 2021",-13.523,-13.516
"Jul 29, 2021",-13.402,-13.474
