system:time_start,RVI_median,fitted
"Jan 10, 2016",0.974,0.855
"Jan 10, 2016",1.004,0.855
"Jan 22, 2016",0.946,0.845
"Feb 3, 2016",0.86,0.835
"Feb 3, 2016",0.858,0.835
"Feb 3, 2016",0.876,0.835
"Feb 3, 2016",0.878,0.835
"Feb 15, 2016",0.829,0.826
"Feb 15, 2016",0.817,0.826
"Feb 27, 2016",0.839,0.818
"Feb 27, 2016",0.83,0.818
"Mar 10, 2016",0.866,0.811
"Mar 10, 2016",0.806,0.811
"Apr 3, 2016",0.852,0.804
"Apr 3, 2016",0.82,0.804
"Apr 15, 2016",0.87,0.803
"Apr 15, 2016",0.832,0.803
"Apr 27, 2016",0.878,0.804
"Apr 27, 2016",0.856,0.804
"May 9, 2016",0.899,0.807
"May 9, 2016",0.912,0.807
"May 21, 2016",0.92,0.811
"May 21, 2016",0.919,0.811
"Jun 2, 2016",0.932,0.817
"Jun 2, 2016",0.94,0.817
"Jun 14, 2016",0.947,0.824
"Jun 14, 2016",0.928,0.824
"Jul 8, 2016",0.916,0.84
"Jul 8, 2016",0.942,0.84
"Jul 20, 2016",0.944,0.848
"Jul 20, 2016",0.937,0.848
"Aug 1, 2016",0.874,0.855
"Aug 1, 2016",0.923,0.855
"Aug 13, 2016",0.935,0.862
"Aug 13, 2016",0.92,0.862
"Aug 25, 2016",0.943,0.868
"Aug 25, 2016",0.926,0.868
"Sep 6, 2016",0.925,0.872
"Sep 6, 2016",0.921,0.872
"Sep 18, 2016",0.998,0.875
"Sep 18, 2016",1.013,0.875
"Oct 6, 2016",0.889,0.875
"Oct 18, 2016",0.905,0.873
"Oct 30, 2016",0.908,0.869
"Nov 11, 2016",0.835,0.864
"Nov 23, 2016",0.79,0.856
"Dec 5, 2016",0.78,0.848
"Dec 17, 2016",0.8,0.838
"Dec 29, 2016",0.737,0.828
"Jan 10, 2017",0.743,0.817
"Jan 22, 2017",0.721,0.807
"Feb 3, 2017",0.731,0.797
"Feb 15, 2017",0.775,0.788
"Feb 27, 2017",0.716,0.78
"Mar 11, 2017",0.694,0.774
"Mar 23, 2017",0.747,0.769
"Apr 4, 2017",0.704,0.766
"Apr 16, 2017",0.755,0.766
"Apr 28, 2017",0.818,0.767
"May 10, 2017",0.724,0.77
"May 22, 2017",0.835,0.774
"Jun 3, 2017",0.738,0.78
"Jun 15, 2017",0.734,0.787
"Jun 27, 2017",0.782,0.795
"Jul 9, 2017",0.769,0.803
"Jul 21, 2017",0.702,0.811
"Aug 2, 2017",0.728,0.819
"Aug 14, 2017",0.724,0.825
"Sep 7, 2017",0.736,0.835
"Sep 19, 2017",0.827,0.838
"Oct 1, 2017",0.802,0.839
"Oct 13, 2017",0.798,0.837
"Oct 25, 2017",0.853,0.834
"Nov 6, 2017",0.868,0.829
"Nov 18, 2017",0.786,0.823
"Nov 30, 2017",0.81,0.814
"Dec 12, 2017",0.837,0.805
"Dec 24, 2017",0.772,0.795
"Jan 5, 2018",0.759,0.785
"Jan 17, 2018",0.73,0.774
"Jan 29, 2018",0.722,0.764
"Feb 10, 2018",0.714,0.755
"Feb 22, 2018",0.698,0.746
"Mar 6, 2018",0.706,0.739
"Mar 18, 2018",0.692,0.734
"Mar 30, 2018",0.67,0.73
"Apr 11, 2018",0.697,0.729
"Apr 23, 2018",0.671,0.729
"May 5, 2018",0.694,0.731
"May 17, 2018",0.638,0.735
"May 29, 2018",0.675,0.74
"Jun 10, 2018",0.658,0.747
"Jun 22, 2018",0.625,0.754
"Jul 4, 2018",0.636,0.762
"Jul 16, 2018",0.665,0.77
"Jul 28, 2018",0.64,0.778
"Aug 9, 2018",0.727,0.785
"Aug 21, 2018",0.654,0.792
"Sep 2, 2018",0.693,0.797
"Sep 14, 2018",0.671,0.8
"Sep 26, 2018",0.685,0.801
"Oct 8, 2018",0.735,0.801
"Oct 20, 2018",0.778,0.799
"Nov 1, 2018",0.747,0.794
"Nov 13, 2018",0.757,0.788
"Nov 25, 2018",0.745,0.781
"Dec 7, 2018",0.722,0.772
"Dec 19, 2018",0.677,0.762
"Dec 31, 2018",0.716,0.752
"Jan 12, 2019",0.669,0.742
"Jan 24, 2019",0.697,0.731
"Feb 5, 2019",0.667,0.721
"Feb 17, 2019",0.717,0.712
"Mar 1, 2019",0.649,0.705
"Mar 13, 2019",0.665,0.699
"Mar 25, 2019",0.657,0.694
"Apr 6, 2019",0.648,0.692
"Apr 30, 2019",0.663,0.693
"May 12, 2019",0.652,0.696
"May 24, 2019",0.628,0.701
"Jun 5, 2019",0.67,0.707
"Jun 17, 2019",0.662,0.714
"Jul 11, 2019",0.663,0.73
"Jul 23, 2019",0.654,0.738
"Aug 4, 2019",0.639,0.745
"Aug 16, 2019",0.686,0.752
"Aug 28, 2019",0.705,0.757
"Sep 9, 2019",0.669,0.761
"Sep 21, 2019",0.739,0.764
"Oct 3, 2019",0.713,0.764
"Oct 15, 2019",0.738,0.763
"Oct 27, 2019",0.745,0.759
"Nov 8, 2019",0.757,0.754
"Nov 20, 2019",0.8,0.747
"Dec 2, 2019",0.769,0.739
"Dec 14, 2019",0.684,0.73
"Dec 26, 2019",0.712,0.72
"Jan 7, 2020",0.729,0.709
"Jan 19, 2020",0.657,0.698
"Jan 25, 2020",0.728,0.693
"Jan 31, 2020",0.646,0.688
"Feb 12, 2020",0.663,0.679
"Feb 24, 2020",0.669,0.671
"Mar 7, 2020",0.701,0.664
"Mar 19, 2020",0.636,0.659
"Mar 31, 2020",0.627,0.656
"Apr 12, 2020",0.638,0.654
"Apr 24, 2020",0.619,0.655
"May 6, 2020",0.624,0.657
"May 18, 2020",0.612,0.661
"May 30, 2020",0.604,0.667
"Jun 11, 2020",0.635,0.673
"Jun 23, 2020",0.609,0.681
"Jul 5, 2020",0.634,0.689
"Jul 17, 2020",0.623,0.697
"Jul 29, 2020",0.615,0.705
"Aug 10, 2020",0.642,0.712
"Aug 22, 2020",0.698,0.718
"Sep 3, 2020",0.691,0.723
"Sep 15, 2020",0.743,0.726
"Sep 27, 2020",0.698,0.727
"Oct 9, 2020",0.782,0.726
"Oct 21, 2020",0.798,0.724
"Nov 2, 2020",0.763,0.719
"Nov 14, 2020",0.698,0.713
"Nov 26, 2020",0.655,0.706
"Dec 20, 2020",0.684,0.687
"Jan 1, 2021",0.705,0.676
"Jan 13, 2021",0.745,0.666
"Jan 25, 2021",0.747,0.656
"Feb 6, 2021",0.811,0.646
"Feb 18, 2021",0.737,0.637
"Mar 2, 2021",0.682,0.63
"Mar 14, 2021",0.671,0.624
"Mar 26, 2021",0.651,0.62
"Apr 7, 2021",0.637,0.617
"Apr 19, 2021",0.619,0.617
"May 1, 2021",0.627,0.619
"May 13, 2021",0.639,0.622
"May 25, 2021",0.709,0.627
"Jun 6, 2021",0.665,0.633
"Jun 18, 2021",0.758,0.64
"Jun 30, 2021",0.763,0.648
"Jul 12, 2021",0.761,0.656
"Jul 24, 2021",0.778,0.664
"Aug 5, 2021",0.818,0.672
"Aug 17, 2021",0.802,0.678
"Aug 29, 2021",0.803,0.684
"Sep 10, 2021",0.761,0.687
"Sep 22, 2021",0.816,0.69
"Oct 4, 2021",0.85,0.69
"Oct 16, 2021",0.764,0.688
"Oct 28, 2021",0.774,0.684
"Nov 9, 2021",0.702,0.679
"Nov 21, 2021",0.733,0.672
"Dec 3, 2021",0.686,0.664
"Dec 15, 2021",0.687,0.654
