system:time_start,VH_median,fitted
"Jan 10, 2016",-12.454,-12.867
"Jan 10, 2016",-12.714,-12.867
"Jan 22, 2016",-11.485,-12.915
"Feb 3, 2016",-12.484,-12.977
"Feb 3, 2016",-12.486,-12.977
"Feb 3, 2016",-12.559,-12.977
"Feb 3, 2016",-12.562,-12.977
"Feb 15, 2016",-12.64,-13.051
"Feb 15, 2016",-12.738,-13.051
"Feb 27, 2016",-12.985,-13.132
"Feb 27, 2016",-12.968,-13.132
"Mar 10, 2016",-13.455,-13.219
"Mar 10, 2016",-13.47,-13.219
"Apr 3, 2016",-13.483,-13.392
"Apr 3, 2016",-13.455,-13.392
"Apr 15, 2016",-13.671,-13.472
"Apr 15, 2016",-13.844,-13.472
"Apr 27, 2016",-13.798,-13.543
"Apr 27, 2016",-14.037,-13.543
"May 9, 2016",-13.987,-13.601
"May 9, 2016",-14.119,-13.601
"May 21, 2016",-13.389,-13.646
"May 21, 2016",-13.678,-13.646
"Jun 2, 2016",-13.548,-13.674
"Jun 2, 2016",-13.739,-13.674
"Jun 14, 2016",-13.639,-13.685
"Jun 14, 2016",-13.771,-13.685
"Jul 8, 2016",-13.174,-13.655
"Jul 8, 2016",-13.306,-13.655
"Jul 20, 2016",-13.576,-13.615
"Jul 20, 2016",-14.03,-13.615
"Aug 1, 2016",-13.542,-13.561
"Aug 1, 2016",-14.075,-13.561
"Aug 13, 2016",-13.832,-13.495
"Aug 13, 2016",-14.075,-13.495
"Aug 25, 2016",-13.968,-13.42
"Aug 25, 2016",-14.09,-13.42
"Sep 6, 2016",-13.298,-13.34
"Sep 6, 2016",-13.62,-13.34
"Sep 18, 2016",-13.419,-13.257
"Sep 18, 2016",-13.748,-13.257
"Oct 6, 2016",-13.051,-13.137
"Oct 18, 2016",-13.112,-13.065
"Oct 30, 2016",-12.17,-13.003
"Nov 11, 2016",-12.737,-12.953
"Nov 23, 2016",-12.918,-12.918
"Dec 5, 2016",-13.018,-12.9
"Dec 17, 2016",-12.547,-12.899
"Dec 29, 2016",-13.426,-12.916
"Jan 10, 2017",-13.523,-12.949
"Jan 22, 2017",-13.672,-12.999
"Feb 3, 2017",-13.555,-13.062
"Feb 15, 2017",-12.519,-13.135
"Feb 27, 2017",-13.428,-13.217
"Mar 11, 2017",-13.859,-13.304
"Mar 23, 2017",-13.608,-13.392
"Apr 4, 2017",-13.947,-13.477
"Apr 16, 2017",-14.133,-13.556
"Apr 28, 2017",-12.983,-13.626
"May 10, 2017",-13.476,-13.684
"May 22, 2017",-12.138,-13.728
"Jun 3, 2017",-13.646,-13.755
"Jun 15, 2017",-13.514,-13.765
"Jun 27, 2017",-12.65,-13.757
"Jul 9, 2017",-12.802,-13.732
"Jul 21, 2017",-13.631,-13.692
"Aug 2, 2017",-13.171,-13.637
"Aug 14, 2017",-13.949,-13.57
"Sep 7, 2017",-13.896,-13.414
"Sep 19, 2017",-12.736,-13.332
"Oct 1, 2017",-13.337,-13.251
"Oct 13, 2017",-13.581,-13.175
"Oct 25, 2017",-12.732,-13.108
"Nov 6, 2017",-11.983,-13.053
"Nov 18, 2017",-13.038,-13.011
"Nov 30, 2017",-12.992,-12.986
"Dec 12, 2017",-12.142,-12.977
"Dec 24, 2017",-13.007,-12.986
"Jan 5, 2018",-13.243,-13.013
"Jan 17, 2018",-13.434,-13.055
"Jan 29, 2018",-13.602,-13.112
"Feb 10, 2018",-12.868,-13.182
"Feb 22, 2018",-13.556,-13.261
"Mar 6, 2018",-13.619,-13.346
"Mar 18, 2018",-13.142,-13.433
"Mar 30, 2018",-13.352,-13.52
"Apr 11, 2018",-13.117,-13.603
"Apr 23, 2018",-13.621,-13.677
"May 5, 2018",-13.141,-13.74
"May 17, 2018",-13.471,-13.79
"May 29, 2018",-13.415,-13.825
"Jun 10, 2018",-13.934,-13.842
"Jun 22, 2018",-14.072,-13.842
"Jul 4, 2018",-13.631,-13.825
"Jul 16, 2018",-13.463,-13.791
"Jul 28, 2018",-14.04,-13.742
"Aug 9, 2018",-12.943,-13.68
"Aug 21, 2018",-14.099,-13.609
"Sep 2, 2018",-13.826,-13.53
"Sep 14, 2018",-14.008,-13.448
"Sep 26, 2018",-13.86,-13.366
"Oct 8, 2018",-13.038,-13.287
"Oct 20, 2018",-12.65,-13.216
"Nov 1, 2018",-12.822,-13.155
"Nov 13, 2018",-12.605,-13.107
"Nov 25, 2018",-12.98,-13.075
"Dec 7, 2018",-13.503,-13.059
"Dec 19, 2018",-13.741,-13.06
"Dec 31, 2018",-12.914,-13.079
"Jan 12, 2019",-13.538,-13.114
"Jan 24, 2019",-13.301,-13.165
"Feb 5, 2019",-13.896,-13.23
"Feb 17, 2019",-12.98,-13.305
"Mar 1, 2019",-14.037,-13.388
"Mar 13, 2019",-13.335,-13.475
"Mar 25, 2019",-14.109,-13.562
"Apr 6, 2019",-13.913,-13.647
"Apr 30, 2019",-13.883,-13.794
"May 12, 2019",-14.18,-13.85
"May 24, 2019",-13.577,-13.892
"Jun 5, 2019",-14.394,-13.917
"Jun 17, 2019",-13.575,-13.924
"Jul 11, 2019",-14.414,-13.888
"Jul 23, 2019",-13.609,-13.845
"Aug 4, 2019",-14.266,-13.789
"Aug 16, 2019",-14.326,-13.721
"Aug 28, 2019",-14.172,-13.645
"Sep 9, 2019",-14.08,-13.564
"Sep 21, 2019",-14.111,-13.481
"Oct 3, 2019",-14.113,-13.401
"Oct 15, 2019",-13.641,-13.326
"Oct 27, 2019",-13.356,-13.26
"Nov 8, 2019",-14.087,-13.206
"Nov 20, 2019",-12.432,-13.167
"Dec 2, 2019",-12.578,-13.143
"Dec 14, 2019",-13.704,-13.137
"Dec 26, 2019",-13.058,-13.148
"Jan 7, 2020",-12.96,-13.177
"Jan 19, 2020",-14.164,-13.221
"Jan 25, 2020",-12.823,-13.249
"Jan 31, 2020",-13.677,-13.28
"Feb 12, 2020",-13.984,-13.351
"Feb 24, 2020",-14.038,-13.431
"Mar 7, 2020",-13.262,-13.516
"Mar 19, 2020",-13.702,-13.604
"Mar 31, 2020",-13.837,-13.69
"Apr 12, 2020",-14.073,-13.772
"Apr 24, 2020",-13.891,-13.845
"May 6, 2020",-14.039,-13.907
"May 18, 2020",-13.607,-13.955
"May 30, 2020",-14.137,-13.988
"Jun 11, 2020",-13.731,-14.003
"Jun 23, 2020",-13.735,-14.001
"Jul 5, 2020",-13.453,-13.981
"Jul 17, 2020",-13.74,-13.945
"Jul 29, 2020",-13.774,-13.895
"Aug 10, 2020",-13.951,-13.831
"Aug 22, 2020",-14.197,-13.759
"Sep 3, 2020",-13.987,-13.679
"Sep 15, 2020",-14.109,-13.597
"Sep 27, 2020",-13.23,-13.515
"Oct 9, 2020",-13.521,-13.437
"Oct 21, 2020",-12.369,-13.367
"Nov 2, 2020",-12.888,-13.308
"Nov 14, 2020",-13.413,-13.262
"Nov 26, 2020",-13.143,-13.231
"Dec 20, 2020",-13.699,-13.221
"Jan 1, 2021",-14.101,-13.242
"Jan 13, 2021",-14.296,-13.28
"Jan 25, 2021",-13.173,-13.332
"Feb 6, 2021",-12.991,-13.398
"Feb 18, 2021",-12.646,-13.475
"Mar 2, 2021",-13.111,-13.558
"Mar 14, 2021",-13.481,-13.645
"Mar 26, 2021",-13.678,-13.733
"Apr 7, 2021",-13.603,-13.817
"Apr 19, 2021",-13.582,-13.894
"May 1, 2021",-14.068,-13.961
"May 13, 2021",-14.243,-14.016
"May 25, 2021",-14.294,-14.055
"Jun 6, 2021",-13.743,-14.078
"Jun 18, 2021",-14.195,-14.084
"Jun 30, 2021",-14.386,-14.072
"Jul 12, 2021",-14.329,-14.043
"Jul 24, 2021",-13.86,-13.998
"Aug 5, 2021",-13.639,-13.94
"Aug 17, 2021",-13.946,-13.871
"Aug 29, 2021",-13.835,-13.794
"Sep 10, 2021",-13.037,-13.713
"Sep 22, 2021",-13.558,-13.63
"Oct 4, 2021",-13.416,-13.55
"Oct 16, 2021",-12.712,-13.477
