system:time_start,VV_median,fitted
"Jan 10, 2016",-7.574,-7.221
"Jan 10, 2016",-7.928,-7.221
"Jan 22, 2016",-6.389,-7.194
"Feb 3, 2016",-6.892,-7.184
"Feb 3, 2016",-6.891,-7.184
"Feb 3, 2016",-6.89,-7.184
"Feb 3, 2016",-6.889,-7.184
"Feb 15, 2016",-6.829,-7.192
"Feb 15, 2016",-7.03,-7.192
"Feb 27, 2016",-7.176,-7.216
"Feb 27, 2016",-7.195,-7.216
"Mar 10, 2016",-7.893,-7.256
"Mar 10, 2016",-7.592,-7.256
"Apr 3, 2016",-7.833,-7.374
"Apr 3, 2016",-7.735,-7.374
"Apr 15, 2016",-8.17,-7.447
"Apr 15, 2016",-8.035,-7.447
"Apr 27, 2016",-8.327,-7.524
"Apr 27, 2016",-8.36,-7.524
"May 9, 2016",-8.643,-7.602
"May 9, 2016",-8.882,-7.602
"May 21, 2016",-8.14,-7.678
"May 21, 2016",-8.373,-7.678
"Jun 2, 2016",-8.423,-7.748
"Jun 2, 2016",-8.835,-7.748
"Jun 14, 2016",-8.575,-7.809
"Jun 14, 2016",-8.855,-7.809
"Jul 8, 2016",-7.956,-7.892
"Jul 8, 2016",-8.347,-7.892
"Jul 20, 2016",-8.508,-7.91
"Jul 20, 2016",-8.824,-7.91
"Aug 1, 2016",-8.053,-7.911
"Aug 1, 2016",-8.985,-7.911
"Aug 13, 2016",-8.736,-7.895
"Aug 13, 2016",-8.824,-7.895
"Aug 25, 2016",-8.891,-7.862
"Aug 25, 2016",-8.983,-7.862
"Sep 6, 2016",-8.015,-7.813
"Sep 6, 2016",-8.281,-7.813
"Sep 18, 2016",-8.671,-7.75
"Sep 18, 2016",-9.069,-7.75
"Oct 6, 2016",-7.669,-7.635
"Oct 18, 2016",-7.759,-7.549
"Oct 30, 2016",-6.858,-7.459
"Nov 11, 2016",-7.016,-7.369
"Nov 23, 2016",-6.894,-7.282
"Dec 5, 2016",-6.889,-7.203
"Dec 17, 2016",-6.518,-7.133
"Dec 29, 2016",-6.956,-7.076
"Jan 10, 2017",-7.07,-7.034
"Jan 22, 2017",-7.107,-7.008
"Feb 3, 2017",-7.084,-6.999
"Feb 15, 2017",-6.329,-7.008
"Feb 27, 2017",-6.822,-7.034
"Mar 11, 2017",-7.107,-7.075
"Mar 23, 2017",-7.181,-7.129
"Apr 4, 2017",-7.24,-7.194
"Apr 16, 2017",-7.765,-7.267
"Apr 28, 2017",-7.075,-7.344
"May 10, 2017",-6.894,-7.422
"May 22, 2017",-6.391,-7.498
"Jun 3, 2017",-7.175,-7.567
"Jun 15, 2017",-7.021,-7.627
"Jun 27, 2017",-6.483,-7.675
"Jul 9, 2017",-6.568,-7.709
"Jul 21, 2017",-6.957,-7.726
"Aug 2, 2017",-6.669,-7.726
"Aug 14, 2017",-7.41,-7.709
"Sep 7, 2017",-7.475,-7.625
"Sep 19, 2017",-6.923,-7.561
"Oct 1, 2017",-7.301,-7.486
"Oct 13, 2017",-7.518,-7.403
"Oct 25, 2017",-7.079,-7.314
"Nov 6, 2017",-6.422,-7.223
"Nov 18, 2017",-6.927,-7.135
"Nov 30, 2017",-7.014,-7.052
"Dec 12, 2017",-6.354,-6.977
"Dec 24, 2017",-6.755,-6.914
"Jan 5, 2018",-6.919,-6.865
"Jan 17, 2018",-6.899,-6.832
"Jan 29, 2018",-7.006,-6.816
"Feb 10, 2018",-6.203,-6.818
