system:time_start,EVI2_median,fitted
"Dec 17, 2018",0.515,0.559
"Dec 17, 2018",0.431,0.559
"Dec 17, 2018",0.523,0.559
"Dec 17, 2018",0.413,0.559
"Dec 22, 2018",0.494,0.562
"Dec 22, 2018",0.554,0.562
"Dec 22, 2018",0.57,0.562
"Dec 22, 2018",0.542,0.562
"Dec 27, 2018",,0.564
"Dec 27, 2018",,0.564
"Dec 27, 2018",,0.564
"Dec 27, 2018",,0.564
"Jan 1, 2019",0.172,0.566
"Jan 1, 2019",0.573,0.566
"Jan 1, 2019",0.144,0.566
"Jan 1, 2019",0.595,0.566
"Jan 6, 2019",0.55,0.568
"Jan 6, 2019",0.575,0.568
"Jan 6, 2019",0.515,0.568
"Jan 6, 2019",0.579,0.568
"Jan 11, 2019",,0.569
"Jan 11, 2019",,0.569
"Jan 11, 2019",,0.569
"Jan 11, 2019",,0.569
"Jan 16, 2019",0.617,0.57
"Jan 16, 2019",0.577,0.57
"Jan 16, 2019",0.624,0.57
"Jan 16, 2019",0.574,0.57
"Jan 21, 2019",0.58,0.571
"Jan 21, 2019",0.584,0.571
"Jan 21, 2019",0.585,0.571
"Jan 21, 2019",0.593,0.571
"Jan 26, 2019",0.615,0.571
"Jan 26, 2019",0.578,0.571
"Jan 26, 2019",0.632,0.571
"Jan 26, 2019",0.58,0.571
"Jan 31, 2019",0.615,0.57
"Jan 31, 2019",0.587,0.57
"Jan 31, 2019",0.593,0.57
"Jan 31, 2019",0.592,0.57
"Feb 5, 2019",0.486,0.569
"Feb 5, 2019",0.576,0.569
"Feb 5, 2019",0.499,0.569
"Feb 5, 2019",0.567,0.569
"Feb 10, 2019",0.582,0.568
"Feb 10, 2019",0.576,0.568
"Feb 10, 2019",0.585,0.568
"Feb 10, 2019",0.573,0.568
"Feb 15, 2019",0.351,0.566
"Feb 15, 2019",0.546,0.566
"Feb 15, 2019",0.399,0.566
"Feb 15, 2019",0.551,0.566
"Feb 20, 2019",,0.564
"Feb 20, 2019",,0.564
"Feb 20, 2019",,0.564
"Feb 20, 2019",,0.564
"Feb 25, 2019",0.554,0.561
"Feb 25, 2019",0.528,0.561
"Feb 25, 2019",0.553,0.561
"Feb 25, 2019",0.524,0.561
"Mar 2, 2019",,0.558
"Mar 2, 2019",,0.558
"Mar 2, 2019",,0.558
"Mar 2, 2019",,0.558
"Mar 7, 2019",,0.555
"Mar 7, 2019",0.558,0.555
"Mar 7, 2019",,0.555
"Mar 7, 2019",0.562,0.555
"Mar 12, 2019",0.487,0.551
"Mar 12, 2019",0.554,0.551
"Mar 12, 2019",0.494,0.551
"Mar 12, 2019",0.546,0.551
"Mar 17, 2019",0.543,0.547
"Mar 17, 2019",0.517,0.547
"Mar 17, 2019",0.534,0.547
"Mar 17, 2019",0.512,0.547
"Mar 22, 2019",,0.543
"Mar 22, 2019",,0.543
"Mar 22, 2019",,0.543
"Mar 22, 2019",,0.543
"Mar 27, 2019",,0.538
"Mar 27, 2019",,0.538
"Mar 27, 2019",,0.538
"Mar 27, 2019",,0.538
"Apr 1, 2019",0.551,0.534
"Apr 1, 2019",0.547,0.534
"Apr 1, 2019",0.574,0.534
"Apr 1, 2019",0.565,0.534
"Apr 6, 2019",0.558,0.529
"Apr 6, 2019",0.538,0.529
"Apr 6, 2019",0.564,0.529
"Apr 6, 2019",0.536,0.529
"Apr 11, 2019",0.531,0.524
"Apr 11, 2019",0.495,0.524
"Apr 11, 2019",0.534,0.524
