system:time_start,NDVI_median,fitted
"Dec 17, 2018",0.773,0.815
"Dec 17, 2018",0.585,0.815
"Dec 17, 2018",0.773,0.815
"Dec 17, 2018",0.546,0.815
"Dec 22, 2018",0.8,0.818
"Dec 22, 2018",0.85,0.818
"Dec 22, 2018",0.833,0.818
"Dec 22, 2018",0.838,0.818
"Dec 27, 2018",,0.821
"Dec 27, 2018",,0.821
"Dec 27, 2018",,0.821
"Dec 27, 2018",,0.821
"Jan 1, 2019",0.14,0.825
"Jan 1, 2019",0.828,0.825
"Jan 1, 2019",0.112,0.825
"Jan 1, 2019",0.842,0.825
"Jan 6, 2019",0.87,0.829
"Jan 6, 2019",0.837,0.829
"Jan 6, 2019",0.881,0.829
"Jan 6, 2019",0.844,0.829
"Jan 11, 2019",,0.833
"Jan 11, 2019",,0.833
"Jan 11, 2019",,0.833
"Jan 11, 2019",,0.833
"Jan 16, 2019",0.894,0.837
"Jan 16, 2019",0.882,0.837
"Jan 16, 2019",0.898,0.837
"Jan 16, 2019",0.876,0.837
"Jan 21, 2019",0.815,0.841
"Jan 21, 2019",0.869,0.841
"Jan 21, 2019",0.816,0.841
"Jan 21, 2019",0.877,0.841
"Jan 26, 2019",0.894,0.845
"Jan 26, 2019",0.872,0.845
"Jan 26, 2019",0.917,0.845
"Jan 26, 2019",0.87,0.845
"Jan 31, 2019",0.843,0.849
"Jan 31, 2019",0.874,0.849
"Jan 31, 2019",0.826,0.849
"Jan 31, 2019",0.88,0.849
"Feb 5, 2019",0.794,0.853
"Feb 5, 2019",0.83,0.853
"Feb 5, 2019",0.808,0.853
"Feb 5, 2019",0.793,0.853
"Feb 10, 2019",0.876,0.857
"Feb 10, 2019",0.869,0.857
"Feb 10, 2019",0.883,0.857
"Feb 10, 2019",0.869,0.857
"Feb 15, 2019",0.799,0.861
"Feb 15, 2019",0.856,0.861
"Feb 15, 2019",0.838,0.861
"Feb 15, 2019",0.866,0.861
"Feb 20, 2019",,0.864
"Feb 20, 2019",,0.864
"Feb 20, 2019",,0.864
"Feb 20, 2019",,0.864
"Feb 25, 2019",0.865,0.868
"Feb 25, 2019",0.862,0.868
"Feb 25, 2019",0.866,0.868
"Feb 25, 2019",0.861,0.868
"Mar 2, 2019",,0.871
"Mar 2, 2019",,0.871
"Mar 2, 2019",,0.871
"Mar 2, 2019",,0.871
"Mar 7, 2019",,0.874
"Mar 7, 2019",0.868,0.874
"Mar 7, 2019",,0.874
"Mar 7, 2019",0.869,0.874
"Mar 12, 2019",0.896,0.877
"Mar 12, 2019",0.88,0.877
"Mar 12, 2019",0.911,0.877
"Mar 12, 2019",0.892,0.877
"Mar 17, 2019",0.883,0.879
"Mar 17, 2019",0.892,0.879
"Mar 17, 2019",0.876,0.879
"Mar 17, 2019",0.882,0.879
"Mar 22, 2019",,0.881
"Mar 22, 2019",,0.881
"Mar 22, 2019",,0.881
"Mar 22, 2019",,0.881
"Mar 27, 2019",,0.883
"Mar 27, 2019",,0.883
"Mar 27, 2019",,0.883
"Mar 27, 2019",,0.883
"Apr 1, 2019",0.86,0.885
"Apr 1, 2019",0.87,0.885
"Apr 1, 2019",0.887,0.885
"Apr 1, 2019",0.866,0.885
"Apr 6, 2019",0.856,0.886
"Apr 6, 2019",0.885,0.886
"Apr 6, 2019",0.873,0.886
"Apr 6, 2019",0.877,0.886
"Apr 11, 2019",0.893,0.887
"Apr 11, 2019",0.864,0.887
"Apr 11, 2019",0.917,0.887
"Apr 11, 2019",0.84,0.887
"Apr 16, 2019",,0.888
"Apr 16, 2019",,0.888
"Apr 16, 2019",,0.888
"Apr 16, 2019",,0.888
"Apr 21, 2019",,0.888
"Apr 21, 2019",0.852,0.888
"Apr 21, 2019",,0.888
"Apr 21, 2019",0.845,0.888
"Apr 26, 2019",,0.888
"Apr 26, 2019",0.876,0.888
"Apr 26, 2019",,0.888
"Apr 26, 2019",0.878,0.888
"May 1, 2019",,0.887
"May 1, 2019",,0.887
"May 1, 2019",,0.887
"May 1, 2019",,0.887
"May 6, 2019",,0.886
"May 6, 2019",,0.886
"May 6, 2019",,0.886
"May 6, 2019",,0.886
"May 11, 2019",0.894,0.885
"May 11, 2019",0.884,0.885
"May 11, 2019",0.894,0.885
"May 11, 2019",0.888,0.885
"May 16, 2019",,0.883
"May 16, 2019",,0.883
"May 16, 2019",,0.883
"May 16, 2019",,0.883
"May 21, 2019",,0.881
"May 21, 2019",0.842,0.881
"May 21, 2019",,0.881
"May 21, 2019",0.864,0.881
"May 26, 2019",,0.879
"May 26, 2019",,0.879
"May 26, 2019",,0.879
"May 26, 2019",,0.879
"May 31, 2019",0.868,0.876
"May 31, 2019",0.892,0.876
"May 31, 2019",0.88,0.876
"May 31, 2019",0.897,0.876
"Jun 5, 2019",0.886,0.873
"Jun 5, 2019",0.886,0.873
"Jun 5, 2019",0.884,0.873
"Jun 5, 2019",0.888,0.873
"Jun 10, 2019",,0.87
"Jun 10, 2019",,0.87
"Jun 10, 2019",,0.87
"Jun 10, 2019",,0.87
"Jun 15, 2019",,0.867
"Jun 15, 2019",0.724,0.867
"Jun 15, 2019",,0.867
"Jun 15, 2019",0.724,0.867
"Jun 20, 2019",0.886,0.863
"Jun 20, 2019",0.901,0.863
"Jun 20, 2019",0.889,0.863
"Jun 20, 2019",0.901,0.863
"Jun 25, 2019",0.873,0.859
"Jun 25, 2019",0.859,0.859
"Jun 25, 2019",0.886,0.859
"Jun 25, 2019",0.859,0.859
"Jun 30, 2019",,0.855
"Jun 30, 2019",,0.855
"Jun 30, 2019",,0.855
"Jun 30, 2019",,0.855
"Jul 5, 2019",0.867,0.851
"Jul 5, 2019",0.878,0.851
"Jul 5, 2019",0.871,0.851
"Jul 5, 2019",0.89,0.851
"Jul 15, 2019",0.867,0.842
"Jul 15, 2019",0.881,0.842
"Jul 15, 2019",0.868,0.842
"Jul 15, 2019",0.89,0.842
"Jul 20, 2019",,0.838
"Jul 20, 2019",0.881,0.838
"Jul 20, 2019",,0.838
"Jul 20, 2019",0.876,0.838
"Jul 25, 2019",,0.833
"Jul 25, 2019",0.83,0.833
"Jul 25, 2019",,0.833
"Jul 25, 2019",0.839,0.833
"Jul 30, 2019",0.89,0.829
"Jul 30, 2019",0.851,0.829
"Jul 30, 2019",0.893,0.829
"Jul 30, 2019",0.745,0.829
"Aug 4, 2019",,0.824
"Aug 4, 2019",0.819,0.824
"Aug 4, 2019",,0.824
"Aug 4, 2019",0.792,0.824
"Aug 9, 2019",0.884,0.82
"Aug 9, 2019",0.885,0.82
"Aug 9, 2019",0.879,0.82
"Aug 9, 2019",0.881,0.82
"Aug 14, 2019",,0.816
"Aug 14, 2019",,0.816
"Aug 14, 2019",,0.816
"Aug 14, 2019",,0.816
"Aug 19, 2019",0.834,0.812
"Aug 19, 2019",0.851,0.812
"Aug 19, 2019",0.836,0.812
"Aug 19, 2019",0.878,0.812
"Aug 24, 2019",,0.808
"Aug 24, 2019",,0.808
"Aug 24, 2019",,0.808
"Aug 24, 2019",,0.808
"Aug 29, 2019",0.777,0.804
"Aug 29, 2019",0.738,0.804
"Aug 29, 2019",0.779,0.804
"Aug 29, 2019",0.728,0.804
